Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
CANADIAN JOURNAL OF SURGERY,CAN J SURG,0008-428X,"3,251",2.089,2.007,2.727,0.721,61,10.7,7.8,0.00259,0.849,85.25,40.33,0.54374
Canadian Journal of Urology,CAN J UROL,1195-9479,"1,199",1.344,1.336,1.571,0.609,46,6,7.7,0.00195,0.521,80.43,13.889,0.40922
CANADIAN JOURNAL OF VETERINARY RESEARCH-REVUE CANADIENNE DE RECHERCHE VETERINAIRE,CAN J VET RES,****-****,"1,820",1.31,1.276,1.438,0.159,44,14.2,10.3,0.0008,0.334,97.73,42.123,0.16783
CANADIAN JOURNAL OF ZOOLOGY,CAN J ZOOL,0008-4301,"13,230",1.597,1.54,1.637,0.455,88,22.2,14.2,0.00286,0.452,96.59,55.143,0.59958
CANADIAN JOURNAL ON AGING-REVUE CANADIENNE DU VIEILLISSEMENT,CAN J AGING,0714-9808,"1,615",1.608,1.582,2.107,0.5,52,9.8,9,0.00127,0.58,92.31,18.056,0.26778
CANADIAN MATHEMATICAL BULLETIN-BULLETIN CANADIEN DE MATHEMATIQUES,CAN MATH BULL,0008-4395,"1,354",0.721,0.707,0.691,0.878,74,17.3,16.5,0.00219,0.549,100,29.848,0.45918
CANADIAN MEDICAL ASSOCIATION JOURNAL,CAN MED ASSOC J,0820-3946,"19,683",8.262,7.854,10.033,9.876,97,11.2,4.7,0.01496,3.699,88.66,90.828,3.13623
CANADIAN METALLURGICAL QUARTERLY,CAN METALL QUART,0008-4433,"1,767",1.212,1.172,1.248,0.278,36,16.6,13.6,0.00058,0.221,91.67,31.875,0.12289
CANADIAN MINERALOGIST,CAN MINERAL,0008-4476,"5,646",1.165,1.12,1.464,0.548,42,18.9,19.5,0.00158,0.467,97.62,18.333,0.33249
CANADIAN MODERN LANGUAGE REVIEW-REVUE CANADIENNE DES LANGUES VIVANTES,CAN MOD LANG REV,0008-4506,953,0.792,0.708,0.982,0.333,18,14.9,11.7,0.00044,0.393,100,33.42,0.09242
CANADIAN PSYCHOLOGY-PSYCHOLOGIE CANADIENNE,CAN PSYCHOL,0708-5591,"2,336",1.939,1.864,2.828,1,31,12.2,8.2,0.00162,0.908,90.32,43.214,0.34075
CANADIAN PUBLIC ADMINISTRATION-ADMINISTRATION PUBLIQUE DU CANADA,CAN PUBLIC ADMIN,0008-4840,479,0.9,0.75,1.061,0.156,32,10,8.8,0.00043,0.287,100,11.702,0.09165
CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES,CAN PUBLIC POL,0317-0861,867,1.079,0.619,1.371,0.929,56,9,5.1,0.00093,0.488,100,19.186,0.19563
Canadian Respiratory Journal,CAN RESPIR J,1198-2241,"1,893",2.409,2.383,2.459,0.476,63,7.7,6,0.00221,0.71,84.13,21.094,0.46439
Canadian Review of Sociology-Revue Canadienne de Sociologie,CAN REV SOCIOL,1755-6171,766,1.559,1.39,1.443,0.2,35,11.6,8.1,0.00078,0.542,97.14,36.577,0.16383
Canadian Studies in Population,CAN STUD POPUL,0380-1489,182,0.773,0.727,1,0.118,17,9.1,9.2,0.00031,0.517,100,12.069,0.06686
CANADIAN VETERINARY JOURNAL-REVUE VETERINAIRE CANADIENNE,CAN VET J,0008-5286,"4,003",1.008,0.913,1.171,0.15,127,12.9,10.6,0.00177,0.265,92.91,33.219,0.37157
Canadian Water Resources Journal,CAN WATER RESOUR J,0701-1784,961,1.851,1.766,2.259,0.44,25,9.3,10.3,0.00072,0.494,96,25,0.1524
CANCER,CANCER-AM CANCER SOC,0008-543X,"79,706",6.86,6.609,7.921,1.798,625,12.8,6.1,0.0595,2.629,94.24,80.372,12.46688
Cancer & Metabolism,CANCER METAB,****-****,"1,259",5.469,5.438,8.308,1.036,28,5.7,7,0.0018,2.253,89.29,66.01,0.37907
CANCER AND METASTASIS REVIEWS,CANCER METAST REV,0167-7659,"7,809",9.264,9.164,10.016,2.094,85,8.7,7.2,0.00601,2.263,0,86.983,1.25988
Cancer Biology & Medicine,CANCER BIOL MED,2095-3941,"1,987",4.248,4.064,6.29,0.905,74,4,5.7,0.00329,1.329,64.86,53.101,0.69088
CANCER BIOLOGY & THERAPY,CANCER BIOL THER,1538-4047,"9,681",4.742,4.729,4.342,1.324,145,8.5,6.7,0.00628,0.797,91.72,59.711,1.31604
Cancer Biomarkers,CANCER BIOMARK,1574-0153,"3,841",4.388,4.312,3.811,1.038,157,3,5.5,0.00546,0.657,100,53.926,1.14452
CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS,CANCER BIOTHER RADIO,1084-9785,"2,281",3.099,3,2.85,0.723,224,7.2,4.5,0.00163,0.542,98.66,40.795,0.34236
CANCER CAUSES & CONTROL,CANCER CAUSE CONTROL,0957-5243,"8,510",2.506,2.44,2.897,0.483,120,10.1,8.3,0.00678,0.921,91.67,30.571,1.42225
CANCER CELL,CANCER CELL,1535-6108,"50,839",31.743,31.308,35.455,7.865,96,6.9,4.9,0.08104,13.711,80.21,97.346,16.97908
Cancer Cell International,CANCER CELL INT,****-****,"7,159",5.722,5.551,5.449,1.168,579,2.7,4.4,0.00846,0.928,89.29,70.868,1.77324
CANCER CHEMOTHERAPY AND PHARMACOLOGY,CANCER CHEMOTH PHARM,0344-5704,"11,933",3.333,3.219,3.402,0.861,216,7.9,7.1,0.00987,0.75,93.98,39.558,2.06903
Cancer Communications,CANCER COMMUN,****-****,"1,307",10.392,9.542,10.392,1.146,48,1.9,4.5,0.00253,2.05,70.83,88.223,0.53072
Cancer Control,CANCER CONTROL,1073-2748,"1,991",3.302,3.094,3.429,0.368,114,6.3,5.5,0.00226,0.848,87.72,31.612,0.47358
CANCER CYTOPATHOLOGY,CANCER CYTOPATHOL,1934-662X,"3,904",5.284,4.348,4.624,1.929,127,5.2,4.8,0.00435,1.013,81.89,72.89,0.91177
Cancer Discovery,CANCER DISCOV,2159-8274,"27,030",39.397,38.848,39.115,14.874,103,4.3,5,0.07246,16.253,87.38,97.727,15.18244
Cancer Epidemiology,CANCER EPIDEMIOL,1877-7821,"4,347",2.984,2.83,3.29,0.57,151,5.2,7.1,0.00808,0.989,96.69,40.742,1.69348
CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,CANCER EPIDEM BIOMAR,1055-9965,"23,046",4.254,4.078,5.73,1.016,311,10,7.2,0.02191,2.002,95.5,65.382,4.5916
CANCER GENE THERAPY,CANCER GENE THER,0929-1903,"3,768",5.987,5.573,5.358,1.755,163,7.1,6.1,0.00272,0.987,84.05,80.385,0.57081
Cancer Genetics,CANCER GENET-NY,2210-7762,"1,569",2.523,2.362,2.762,0.714,63,5.3,7.5,0.00248,0.728,87.3,25.24,0.5214
Cancer Genomics & Proteomics,CANCER GENOM PROTEOM,1109-6535,"1,541",4.069,3.725,3.691,0.919,74,4.4,6.3,0.00168,0.692,91.89,54.785,0.35217
CANCER IMAGING,CANCER IMAGING,1740-5025,"2,143",3.909,3.79,3.849,0.77,87,6.8,5.7,0.00228,0.933,87.36,58.838,0.47898
CANCER IMMUNOLOGY IMMUNOTHERAPY,CANCER IMMUNOL IMMUN,0340-7004,"11,382",6.968,6.742,6.271,1.235,344,6.6,5.5,0.01219,1.542,89.53,80.26,2.55547
Cancer Immunology Research,CANCER IMMUNOL RES,2326-6066,"11,185",11.151,11.039,12.515,3.264,129,4,6,0.02729,3.945,100,90.873,5.71914
CANCER INVESTIGATION,CANCER INVEST,0735-7907,"3,097",2.176,2.157,2.344,0.75,72,10.4,6.5,0.00149,0.477,79.17,9.711,0.31406
CANCER JOURNAL,CANCER J,1528-9117,"3,408",3.36,3.351,4.013,0.214,70,7.2,4.8,0.00354,1.145,2.86,32.438,0.74355
CANCER LETTERS,CANCER LETT,0304-3835,"42,174",8.679,8.47,8.64,2.751,393,5.8,5.8,0.04013,1.617,74.3,86.157,8.40948
Cancer Management and Research,CANCER MANAG RES,1179-1322,"7,924",3.989,3.859,3.947,0.491,"1,219",2,4.7,0.0131,0.744,91.8,47.314,2.74486
Cancer Medicine,CANCER MED-US,2045-7634,"12,144",4.452,4.365,4.609,1.031,974,2.7,5.8,0.02344,1.05,94.25,55.992,4.91129
Cancer Nanotechnology,CANCER NANOTECHNOL,1868-6958,533,5.095,5,Not Available,0.571,14,4.9,6.5,0.00048,Not Available,78.57,58.997,0.1023
CANCER NURSING,CANCER NURS,0162-220X,"4,131",2.592,2.511,2.98,1.157,83,8.2,8.4,0.00335,0.713,90.36,61.409,0.70191
Cancer Prevention Research,CANCER PREV RES,1940-6207,"6,205",3.491,3.371,4.543,0.981,104,7.5,7.3,0.00552,1.151,91.35,36.57,1.15668
Cancer Radiotherapie,CANCER RADIOTHER,1278-3218,964,1.018,0.773,0.929,0.414,116,4.9,6.3,0.00104,0.18,54.31,5.467,0.21917
CANCER RESEARCH,CANCER RES,0008-5472,"159,236",12.701,12.557,12.843,2.731,453,11.9,6.8,0.10515,3.614,93.38,93.182,22.03134
Cancer Research and Treatment,CANCER RES TREAT,1598-2998,"3,716",4.679,4.559,3.942,1.504,119,3.5,6.7,0.00698,0.98,98.32,58.884,1.4631
CANCER SCIENCE,CANCER SCI,1347-9032,"18,834",6.716,6.555,6.33,1.214,485,5.5,6.4,0.02001,1.327,90.1,79.545,4.19364
CANCER TREATMENT REVIEWS,CANCER TREAT REV,0305-7372,"11,834",12.111,12.023,11.143,3.075,106,5.4,4.9,0.01691,2.971,0,91.942,3.54454
Cancers,CANCERS,****-****,"28,128",6.639,5.84,6.999,1.224,"3,740",1.8,6.1,0.03986,1.319,66.31,79.132,8.35313
CANDOLLEA,CANDOLLEA,0373-2967,420,0.574,0.404,0.59,0.333,27,15.5,18.1,0.00023,0.161,100,7.447,0.04835
Cannabis and Cannabinoid Research,CANNABIS CANNABINOID,2578-5125,"1,039",5.764,5.473,8.541,1.281,57,3.4,6.8,0.0023,2.018,87.72,84.182,0.48317
CARBOHYDRATE POLYMERS,CARBOHYD POLYM,0144-8617,"104,569",9.381,8.363,8.678,2.877,"1,441",5.4,5.9,0.06756,1.08,93.68,96.014,14.15561
CARBOHYDRATE RESEARCH,CARBOHYD RES,0008-6215,"16,809",2.104,2,2.192,0.905,200,15.7,9.7,0.00423,0.415,96,34.686,0.88639
CARBON,CARBON,0008-6223,"97,509",9.594,8.979,8.719,2.905,977,6.2,5.9,0.0788,1.49,97.24,85.627,16.51136
Carbon Balance and Management,CARBON BAL MANAGE,1750-0680,738,3,2.872,Not Available,0.615,26,4.7,7.2,0.00135,Not Available,92.31,49.453,0.2846
Carbon Letters,CARBON LETT,1976-4251,"1,123",1.917,1.553,2.129,0.614,132,4.8,6.8,0.00083,0.285,96.21,29.232,0.17595
Carbon Management,CARBON MANAG,1758-3004,"1,278",3.182,3.081,2.653,0.527,54,6.4,7.6,0.0009,0.444,100,51.186,0.1905
CARBONATES AND EVAPORITES,CARBONATE EVAPORITE,0891-2556,942,1.3,1.132,1.394,0.27,126,6,13.5,0.00088,0.276,98.41,36.458,0.18597
CARCINOGENESIS,CARCINOGENESIS,0143-3334,"22,136",4.944,4.837,5.41,1.959,171,10.9,7.7,0.00901,1.18,92.4,62.19,1.8897
CARDIOLOGY,CARDIOLOGY,0008-6312,"2,852",1.869,1.814,1.998,0.814,97,8.8,7,0.00248,0.559,82.47,19.366,0.52103
CARDIOLOGY CLINICS,CARDIOL CLIN,0733-8651,"1,478",2.213,2.213,2.481,0.396,53,6.7,6.6,0.00194,0.733,24.53,32.746,0.40782
Cardiology in Review,CARDIOL REV,1061-5377,"1,384",2.644,2.622,2.44,0.978,45,6.8,7.7,0.00168,0.757,15.56,40.493,0.35263
CARDIOLOGY IN THE YOUNG,CARDIOL YOUNG,1047-9511,"3,295",1.093,0.993,1.186,0.221,344,5.8,8.3,0.00509,0.359,93.6,5.302,1.06779
Cardiology Journal,CARDIOL J,1897-5593,"1,603",2.737,2.428,1.977,1.924,79,4.8,6,0.00184,0.459,83.54,42.606,0.3863
Cardiology Research and Practice,CARDIOL RES PRACT,2090-8016,"1,119",1.866,1.806,1.906,0.359,117,6.6,7.5,0.00084,0.406,82.91,18.662,0.17697
CardioRenal Medicine,CARDIORENAL MED,1664-3828,652,2.041,1.959,2.023,1.46,50,4.7,7.1,0.00093,0.517,90,27.167,0.19621
CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY,CARDIOVASC INTER RAD,0174-1551,"7,145",2.74,2.401,2.568,1.122,263,6.5,6.3,0.00757,0.629,88.21,45.349,1.58677
Cardiovascular Diabetology,CARDIOVASC DIABETOL,****-****,"8,782",9.951,7.605,7.353,1.32,200,4,4.7,0.01228,1.565,91.5,91.971,2.57349
Cardiovascular Diagnosis and Therapy,CARDIOVASC DIAGN THE,2223-3652,"1,785",2.845,2.777,3.351,0.622,164,3.6,6.3,0.00397,0.941,57.32,44.718,0.83212
CARDIOVASCULAR DRUGS AND THERAPY,CARDIOVASC DRUG THER,0920-3206,"2,744",3.727,3.53,4.138,0.848,164,5.8,6.1,0.00328,1.049,70.73,56.061,0.68775
Cardiovascular Engineering and Technology,CARDIOVASC ENG TECHN,1869-408X,783,2.495,2.381,2.271,0.5,68,3.9,7.8,0.00132,0.56,95.59,35.376,0.27656
Cardiovascular Journal of Africa,CARDIOVASC J AFR,1995-1892,"1,331",1.167,1.023,1.879,0.391,64,5.7,8,0.00216,0.577,95.31,3.169,0.45434
CARDIOVASCULAR PATHOLOGY,CARDIOVASC PATHOL,1054-8807,"2,501",2.185,2.126,2.482,2.593,59,7.7,8,0.00206,0.604,76.27,34.825,0.4324
CARDIOVASCULAR RESEARCH,CARDIOVASC RES,0008-6363,"26,765",10.787,9.977,8.861,9.5,170,9.7,7.2,0.01907,2.437,73.53,91.901,3.99627
Cardiovascular Therapeutics,CARDIOVASC THER,1755-5914,"1,723",3.023,3.023,3.011,0.574,61,6.3,6.6,0.00171,0.631,70.49,45.278,0.35935
Cardiovascular Toxicology,CARDIOVASC TOXICOL,1530-7905,"1,772",3.231,3.077,3.153,0.86,86,5.9,8.2,0.00169,0.631,95.35,49.972,0.35531
Cardiovascular Ultrasound,CARDIOVASC ULTRASOUN,****-****,"1,327",2.062,1.985,2.574,0.261,46,7.4,8,0.00123,0.655,93.48,27.817,0.25863
Career Development and Transition for Exceptional Individuals,CAREER DEV TRANSIT E,2165-1434,924,1.923,1.615,2.958,0.645,31,7.9,7.6,0.00093,0.768,93.55,43.658,0.19548
Career Development International,CAREER DEV INT,1362-0436,"2,848",3.792,3.532,4.03,0.356,45,9.4,11,0.00186,0.909,100,58.864,0.39024
CAREER DEVELOPMENT QUARTERLY,CAREER DEV Q,0889-4019,"1,603",2.491,2.255,2.862,0.385,26,12.2,10.3,0.00093,0.657,100,40.361,0.19562
CARIBBEAN JOURNAL OF SCIENCE,CARIBB J SCI,0008-6452,724,0.944,0.944,0.815,Not Available,0,17,Not Available,0.00003,0.143,Not Available,19.167,0.00833
CARIES RESEARCH,CARIES RES,0008-6568,"5,362",4.056,3.848,3.786,1.264,53,11.4,9.4,0.00294,0.851,86.79,81.868,0.61659
CARNETS DE GEOLOGIE,CARNETS GEOL,1634-0744,240,0.824,0.676,0.862,0.3,20,7,28.2,0.00018,0.191,100,14.988,0.03865
Carpathian Journal of Earth and Environmental Sciences,CARPATH J EARTH ENV,1842-4090,713,1.347,0.96,1.041,0.563,48,6,10.7,0.00053,0.162,100,11.861,0.11182
Carpathian Journal of Mathematics,CARPATHIAN J MATH,1584-2851,570,1.778,1.644,1.607,0.413,46,3.9,12.5,0.00104,0.464,100,75.387,0.21933
Cartilage,CARTILAGE,1947-6035,"1,563",4.634,4.129,4.245,0.843,198,4,8.7,0.00207,1.007,93.43,87.195,0.43466
CARTOGRAPHIC JOURNAL,CARTOGR J,0008-7041,827,1.311,0.978,1.571,0.778,27,9.5,11.9,0.00043,0.32,100,13.529,0.09187
Cartography and Geographic Information Science,CARTOGR GEOGR INF SC,1523-0406,"1,518",3.227,2.947,3.14,0.696,46,7.1,9.6,0.00143,0.777,97.83,62.941,0.30024
CARYOLOGIA,CARYOLOGIA,0008-7114,953,0.918,0.742,0.846,0,31,13,13.8,0.00034,0.141,100,11.69,0.07311
Case Studies in Construction Materials,CASE STUD CONSTR MAT,2214-5095,"1,146",3.328,3.078,Not Available,0.669,151,2.6,7,0.00163,Not Available,100,61.293,0.3435
Case Studies in Thermal Engineering,CASE STUD THERM ENG,2214-157X,"2,844",4.724,4.169,4.7,1.198,232,2.3,5,0.00345,0.678,100,89.516,0.72309
CASTANEA,CASTANEA,0008-7475,437,0.543,0.522,0.608,0,25,18.5,15.3,0.00016,0.164,100,6.17,0.03431
CATALYSIS COMMUNICATIONS,CATAL COMMUN,1566-7367,"16,717",3.626,3.554,3.722,1.201,224,7.3,6.5,0.01068,0.587,100,52.16,2.23877
CATALYSIS LETTERS,CATAL LETT,1011-372X,"14,375",3.186,2.912,3.092,0.802,535,10.1,6.6,0.00766,0.499,99.81,48.457,1.60489
CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,CATAL REV,0161-4940,"4,133",20.217,20.087,15.784,2.094,32,17.5,8,0.00144,2.745,0,95.988,0.30203
Catalysis Science & Technology,CATAL SCI TECHNOL,2044-4753,"27,969",6.119,5.748,6.339,1.052,749,4.3,6.2,0.03811,1.173,94.66,73.148,7.98605
CATALYSIS SURVEYS FROM ASIA,CATAL SURV ASIA,1571-1013,973,3.106,3.021,3.22,0.6,30,9,5.9,0.00054,0.528,76.67,45.988,0.11399
CATALYSIS TODAY,CATAL TODAY,0920-5861,"45,591",6.766,6.494,6.071,2.79,727,8,8.2,0.0286,1.017,87.9,84.104,5.99329
Catalysts,CATALYSTS,****-****,"12,538",4.146,3.538,4.399,0.836,"1,445",2.3,6.4,0.01642,0.659,82.84,58.951,3.4409
CATENA,CATENA,0341-8162,"21,519",5.198,4.776,5.594,1.674,509,5.5,9.9,0.01953,0.995,98.62,86.631,4.09266
CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS,CATHETER CARDIO INTE,1522-1946,"11,415",2.692,2.262,2.461,1.112,795,6.2,5.8,0.01466,0.747,95.72,41.901,3.07231
CATHOLIC UNIVERSITY LAW REVIEW,CATHOL U LAW REV,0008-8390,215,0.511,0.511,0.432,0.133,15,14.6,6.9,0.00035,0.294,100,10.265,0.07492
CATTLE PRACTICE,CATTLE PRACT,0969-1251,127,0.071,0.071,0.057,0,3,12.3,Not Available,0.00004,0.015,100,0.342,0.00893
CBE-Life Sciences Education,CBE-LIFE SCI EDUC,1931-7913,"3,669",3.325,2.522,4.848,0.833,78,5.7,8.5,0.00564,1.41,98.72,78.409,1.1837
Celebrity Studies,CELEBR STUD,1939-2397,564,0.727,0.606,1.656,0.471,51,5.5,8.8,0.00111,0.591,100,41.111,0.23338
CELESTIAL MECHANICS & DYNAMICAL ASTRONOMY,CELEST MECH DYN ASTR,0923-2958,"2,712",1.664,1.394,1.697,0.407,54,16,13.6,0.00217,0.635,100,35.103,0.45652
CELL,CELL,0092-8674,"320,407",41.582,40.975,46.898,29.403,407,8.8,6.1,0.52696,23.88,90.42,99.107,110.40402
Cell Adhesion & Migration,CELL ADHES MIGR,1933-6918,"3,107",3.405,3.338,5.302,0.947,19,7,10.6,0.00296,1.298,78.95,31.026,0.62176
Cell and Bioscience,CELL BIOSCI,****-****,"3,184",7.133,6.98,6.302,2.672,134,3.4,6.8,0.00432,1.281,54.48,84.396,0.90649
CELL AND TISSUE BANKING,CELL TISSUE BANK,1389-9333,"1,360",1.522,1.368,1.968,0.352,91,5.9,8.5,0.00134,0.387,86.81,9.38,0.28273
CELL AND TISSUE RESEARCH,CELL TISSUE RES,0302-766X,"15,506",5.249,5.157,4.588,0.939,229,9.5,10.6,0.01221,1.154,75.98,61.795,2.5592
CELL BIOCHEMISTRY AND BIOPHYSICS,CELL BIOCHEM BIOPHYS,1085-9195,"4,249",2.194,2.111,2.067,0.516,64,7,8.3,0.00259,0.392,90.63,20.571,0.5443
CELL BIOCHEMISTRY AND FUNCTION,CELL BIOCHEM FUNCT,0263-6484,"3,108",3.685,3.649,3.133,0.924,158,8.4,6.6,0.0019,0.586,84.81,39.786,0.39821
CELL BIOLOGY AND TOXICOLOGY,CELL BIOL TOXICOL,0742-2091,"2,298",6.691,6.029,4.877,1.71,69,8,6.1,0.00137,0.825,91.3,84.094,0.2882
CELL BIOLOGY INTERNATIONAL,CELL BIOL INT,1065-6995,"5,772",3.612,3.521,3.055,1.031,295,6.8,6.8,0.00434,0.555,89.15,32.051,0.90939
CELL CALCIUM,CELL CALCIUM,0143-4160,"6,842",6.817,6.469,5.653,1.768,95,8.7,10.2,0.00625,1.397,91.58,76.154,1.31127
Cell Chemical Biology,CELL CHEM BIOL,2451-9448,"5,236",8.116,7.932,8.838,2.984,128,2.9,6.8,0.01805,3.194,82.03,87.416,3.7825
Cell Communication and Signaling,CELL COMMUN SIGNAL,****-****,"4,383",5.712,5.607,6.153,1.511,180,4.2,7.3,0.00529,1.309,80,66.41,1.10995
CELL CYCLE,CELL CYCLE,1538-4101,"20,439",4.534,4.47,4.492,0.931,290,8.5,5.9,0.01608,1.121,90,50.513,3.3702
Cell Death & Disease,CELL DEATH DIS,2041-4889,"40,835",8.469,8.227,8.713,1.363,"1,002",3.3,6.2,0.06377,1.807,94.91,81.282,13.36089
CELL DEATH AND DIFFERENTIATION,CELL DEATH DIFFER,1350-9047,"27,701",15.828,15.497,12.774,4.641,312,6.8,7.7,0.02873,3.185,92.31,94.353,6.01962
Cell Death Discovery,CELL DEATH DISCOV,****-****,"2,469",5.241,5.194,5.302,1.154,130,2.9,6.5,0.00518,1.153,85.38,61.282,1.08712
Cell Discovery,CELL DISCOV,****-****,"3,492",10.849,10.779,8.175,27,60,1.4,6.2,0.00677,2.871,90,86.923,1.41851
Cell Division,CELL DIV,****-****,788,5.13,4.957,5.596,1,10,8.9,10.8,0.00079,1.639,80,59.744,0.16622
Cell Host & Microbe,CELL HOST MICROBE,1931-3128,"28,716",21.023,20.56,22.103,16.105,143,5.2,6,0.06211,9.167,86.01,98.49,13.01271
Cell Journal,CELL J,2228-5806,"1,420",2.479,2.458,2.73,1.143,84,3.9,8.1,0.00196,0.504,96.43,20.769,0.41068
Cell Metabolism,CELL METAB,1550-4131,"52,192",27.287,26.815,30.767,9.53,149,5.9,6.5,0.091,10.858,85.91,97.728,19.06734
CELL PROLIFERATION,CELL PROLIFERAT,0960-7722,"5,130",6.831,6.635,6.154,1.565,232,3.7,5.8,0.00513,1.025,77.59,76.667,1.07503
Cell Reports,CELL REP,2211-1247,"73,442",9.423,9.233,10.394,2.001,"1,296",3.8,7.8,0.2544,4.512,99.61,83.333,53.29965
CELL RESEARCH,CELL RES,1001-0602,"24,108",25.617,25.352,25.924,30.075,93,6,5.8,0.0344,9.438,86.02,96.154,7.20784
Cell Stem Cell,CELL STEM CELL,1934-5909,"32,147",24.633,23.987,26.3,7.241,116,6.1,5.8,0.06278,10.829,88.79,96.958,13.15348
CELL STRESS & CHAPERONES,CELL STRESS CHAPERON,1355-8145,"4,489",3.667,3.438,3.717,1.254,126,6.9,9.8,0.00367,0.732,87.3,33.59,0.76894
CELL STRUCTURE AND FUNCTION,CELL STRUCT FUNCT,0386-7196,"1,194",2.212,2.182,3.059,0.923,13,16.9,9.6,0.00068,0.972,84.62,15.128,0.14257
Cell Systems,CELL SYST,2405-4712,"5,813",10.304,10.126,13.577,2.032,93,3.5,6.5,0.03533,8.289,97.85,88.078,7.40366
CELL TRANSPLANTATION,CELL TRANSPLANT,0963-6897,"7,541",4.064,3.978,4.335,0.387,191,6.2,6.4,0.00725,0.852,91.1,55.874,1.51929
Cells,CELLS-BASEL,****-****,"18,802",6.6,6.109,6.663,1.684,"2,663",1.5,7.5,0.02697,1.282,60.31,73.077,5.65143
CELLS TISSUES ORGANS,CELLS TISSUES ORGANS,1422-6405,"2,531",2.481,2.468,2.783,0.344,32,9.7,8.4,0.00117,0.561,93.75,45.151,0.24558
CELLULAR & MOLECULAR BIOLOGY LETTERS,CELL MOL BIOL LETT,1425-8153,"2,216",5.787,5.583,4.833,1.821,39,4.6,7.9,0.00219,0.868,69.23,72.737,0.46042
Cellular & Molecular Immunology,CELL MOL IMMUNOL,1672-7681,"8,489",11.53,10.629,10.635,10.939,179,3.7,6.4,0.01055,2.669,70.39,92.901,2.21073
Cellular and Molecular Bioengineering,CELL MOL BIOENG,1865-5025,"1,217",2.321,2.296,2.935,0.623,61,5.5,7.5,0.00162,0.729,95.08,22.764,0.33965
CELLULAR AND MOLECULAR BIOLOGY,CELL MOL BIOL,0145-5680,"2,943",1.77,1.445,1.695,0.171,222,4.8,5.4,0.00242,0.239,88.74,9.339,0.5083
Cellular and Molecular Gastroenterology and Hepatology,CELL MOL GASTROENTER,2352-345X,"2,904",9.225,9.042,8.69,3.367,79,2.8,7.5,0.00898,2.881,93.67,86.413,1.88307
CELLULAR AND MOLECULAR LIFE SCIENCES,CELL MOL LIFE SCI,1420-682X,"34,003",9.261,9.149,9.073,2.58,474,7.2,8.2,0.03379,2.226,44.73,86.204,7.07957
CELLULAR AND MOLECULAR NEUROBIOLOGY,CELL MOL NEUROBIOL,0272-4340,"6,220",5.046,4.917,4.78,1.032,283,6,8.5,0.00599,0.985,80.21,63.919,1.25597
CELLULAR IMMUNOLOGY,CELL IMMUNOL,0008-8749,"6,746",4.868,4.773,4.706,1.089,135,7.9,7.9,0.00712,1.263,71.85,57.761,1.49375
CELLULAR MICROBIOLOGY,CELL MICROBIOL,1462-5814,"10,540",3.715,3.492,4.39,1.256,156,9.5,8.7,0.00833,1.283,77.56,45.592,1.74663
CELLULAR ONCOLOGY,CELL ONCOL,2211-3428,"2,462",6.73,5.613,5.839,2.06,100,3.9,6,0.00243,0.929,80,82.044,0.50918
CELLULAR POLYMERS,CELL POLYM,0262-4893,426,2.053,1.737,2.031,0.579,19,9.7,8.9,0.00015,0.236,89.47,25.909,0.03262
Cellular Reprogramming,CELL REPROGRAM,2152-4971,806,1.987,1.921,1.887,0.351,37,5.9,8.2,0.0008,0.368,89.19,14.613,0.16853
CELLULAR SIGNALLING,CELL SIGNAL,0898-6568,"14,052",4.315,4.258,4.206,1.758,285,7.5,8.5,0.01056,0.955,80.7,46.41,2.21281
CELLULOSE,CELLULOSE,0969-0239,"21,933",5.044,4.134,5.271,1.236,804,4.8,6.1,0.01608,0.691,96.64,93.265,3.36988
CELLULOSE CHEMISTRY AND TECHNOLOGY,CELL CHEM TECHNOL,0576-9787,"1,644",1.467,1.041,1.288,0.27,100,7.1,8.3,0.00078,0.144,99,52.273,0.16381
CEMENT & CONCRETE COMPOSITES,CEMENT CONCRETE COMP,0958-9465,"24,627",7.586,6.82,8.642,1.751,321,8,8.1,0.01796,1.704,97.82,90.341,3.76365
CEMENT AND CONCRETE RESEARCH,CEMENT CONCRETE RES,0008-8846,"51,010",10.933,9.541,11.019,1.716,236,13.6,8.6,0.02256,2.117,96.61,93.565,4.72744
Cement Wapno Beton,CEM WAPNO BETON,1425-8129,278,0.828,0.644,0.668,0.024,42,5.9,8.5,0.00021,0.102,100,7.332,0.04597
CENTAURUS,CENTAURUS,0008-8994,289,0.2,0.15,0.382,1.271,59,7.8,15.7,0.00024,0.264,98.31,2.753,0.05077
Central Asian Survey,CENT ASIAN SURV,0263-4937,656,2.208,1.887,1.645,0.282,38,9,10.1,0.00106,0.733,100,88.125,0.22292
