Journal	JournalFullName	ISSN	2022IF	2022AI
EDMETIC	EDMETIC	2254-0059	2.0	0.219
EDUC 3-13	EDUCATION 3-13	0300-4279	1.0	0.236
EDUC ACTION RES	EDUCATIONAL ACTION RESEARCH	0965-0792	1.2	0.408
EDUC ADMIN QUART	EDUCATIONAL ADMINISTRATION QUARTERLY	0013-161X	3.3	1.609
EDUC ASSESS	EDUCATIONAL ASSESSMENT	1062-7197	1.5	0.608
EDUC ASSESS EVAL ACC	EDUCATIONAL ASSESSMENT EVALUATION AND ACCOUNTABILITY	1874-8597	3.9	0.926
EDUC CHANGE	EDUCATION AS CHANGE	1682-3206	0.5	0.344
EDUC CHEM ENG	EDUCATION FOR CHEMICAL ENGINEERS	1749-7728	3.9	0.379
EDUC CITIZSH SOC JUS	EDUCATION CITIZENSHIP AND SOCIAL JUSTICE	1746-1979	0.6	0.326
EDUC DEV PSYCHOL	EDUCATIONAL AND DEVELOPMENTAL PSYCHOLOGIST	2059-0776	1.5	0.331
EDUC ECON	EDUCATION ECONOMICS	0964-5292	1.2	0.653
EDUC EVAL POLICY AN	EDUCATIONAL EVALUATION AND POLICY ANALYSIS	0162-3737	3.4	2.338
EDUC FINANC POLICY	EDUCATION FINANCE AND POLICY	1557-3060	2.1	1.794
EDUC FIS CIENC	EDUCACION FISICA Y CIENCIA	1514-0105	0.1	0.042
EDUC FORMACAO	EDUCACAO & FORMACAO	2448-3583	0.6	0.107
EDUC FORUM	EDUCATIONAL FORUM	0013-1725	1.3	0.439
EDUC GERONTOL	EDUCATIONAL GERONTOLOGY	0360-1277	1.5	0.41
EDUC HEALTH	EDUCATION FOR HEALTH	1357-6283	0.7	0.482
EDUC INF TECHNOL	EDUCATION AND INFORMATION TECHNOLOGIES	1360-2357	5.5	0.815
EDUC INFORM	EDUCATION FOR INFORMATION	0167-8329	0.9	2.04
EDUC KNOWL SOC	EDUCATION IN THE KNOWLEDGE SOCIETY	2444-8729	3.9	0.333
EDUC MANAG ADM LEAD	EDUCATIONAL MANAGEMENT ADMINISTRATION & LEADERSHIP	1741-1432	3.6	0.874
EDUC MEAS-ISSUES PRA	EDUCATIONAL MEASUREMENT-ISSUES AND PRACTICE	0731-1745	2.0	0.802
EDUC MEDIA INT	EDUCATIONAL MEDIA INTERNATIONAL	0952-3987	1.8	0.468
EDUC PHILOS THEORY	EDUCATIONAL PHILOSOPHY AND THEORY	0013-1857	2.0	0.624
EDUC POLICY	EDUCATIONAL POLICY	0895-9048	1.8	1.01
EDUC PRIM CARE	EDUCATION FOR PRIMARY CARE	1473-9879	1.3	0.327
EDUC PSYCHOL MEAS	EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT	0013-1644	2.7	1.471
EDUC PSYCHOL PRACT	EDUCATIONAL PSYCHOLOGY IN PRACTICE	0266-7363	0.8	0.323
EDUC PSYCHOL REV	EDUCATIONAL PSYCHOLOGY REVIEW	1040-726X	10.1	3.393
EDUC PSYCHOL-UK	EDUCATIONAL PSYCHOLOGY	0144-3410	3.2	1.021
EDUC PSYCHOL-US	EDUCATIONAL PSYCHOLOGIST	0046-1520	8.8	4.305
EDUC RES EVAL	EDUCATIONAL RESEARCH AND EVALUATION	1380-3611	1.4	0.868
EDUC RES POLICY PRAC	EDUCATIONAL RESEARCH FOR POLICY AND PRACTICE	1570-2081	1.8	0.387
EDUC RES REV-NETH	EDUCATIONAL RESEARCH REVIEW	1747-938X	11.7	4.172
EDUC RES SOC CHANG	EDUCATIONAL RESEARCH FOR SOCIAL CHANGE	2221-4070	0.5	0.342
EDUC RESEARCHER	EDUCATIONAL RESEARCHER	0013-189X	8.2	3.299
EDUC RES-UK	EDUCATIONAL RESEARCH	0013-1881	3.5	0.93
EDUC REV	EDUCATIONAL REVIEW	0013-1911	3.3	1.054
EDUC REV-CURITIBA	EDUCAR EM REVISTA	0104-4060	0.2	0.169
EDUC SCI	EDUCATION SCIENCES	2227-7102	3.0	0.481
EDUC SIGLO XXI	EDUCATIO SIGLO XXI	1699-2105	0.9	0.165
EDUC STUD MATH	EDUCATIONAL STUDIES IN MATHEMATICS	0013-1954	3.2	1.115
EDUC STUD-AESA	EDUCATIONAL STUDIES-AESA	0013-1946	0.9	0.58
EDUC STUD-UK	EDUCATIONAL STUDIES	0305-5698	1.7	0.473
EDUC TECHNOL SOC	EDUCATIONAL TECHNOLOGY & SOCIETY	1176-3647	4.0	0.974
EDUC THEORY	EDUCATIONAL THEORY	0013-2004	1.0	0.411
EDUC TRAIN	EDUCATION AND TRAINING	0040-0912	3.6	0.561
EDUC TRAIN AUTISM DE	EDUCATION AND TRAINING IN AUTISM AND DEVELOPMENTAL DISABILITIES	2154-1647	1.0	0.456
EDUC TREAT CHILD	EDUCATION AND TREATMENT OF CHILDREN	0748-8491	1.0	0.476
EDUC URBAN SOC	EDUCATION AND URBAN SOCIETY	0013-1245	1.2	0.554
EDUC XX1	EDUCACION XX1	1139-613X	3.6	0.627
EDUCACAO	EDUCACAO	0101-9031	0.1	0.115
EDUCADE	EDUCADE-REVISTA DE EDUCACION EN CONTABILIDAD FINANZAS Y ADMINISTRACION DE EMPRESAS	2173-478X	0.0	0.01
EDUCAR	EDUCAR	0211-819X	1.4	0.236
EDUCATION-CANADA	IN EDUCATION	1927-6117	0.0	0.085
EDUWEB-REV TECNOL IN	EDUWEB-REVISTA DE TECNOLOGIA DE INFORMACION Y COMUNICACION EN EDUCACION	1856-7576	0.4	0.049
EESTI SOOME-UGRI KEE	EESTI JA SOOME-UGRI KEELETEADUSE AJAKIRI-JOURNAL OF ESTONIAN AND FINNO-UGRIC LINGUISTICS	1736-8987	0.2	0.125
EFORT OPEN REV	EFORT OPEN REVIEWS	2396-7544	3.4	1.359
EFSA J	EFSA JOURNAL	1831-4732	3.3	0.523
EGA-REV EXPRES GRAF	EGA-REVISTA DE EXPRESION GRAFICA ARQUITECTONICA	1133-6137	0.2	0.071
EGE ACAD REV	EGE ACADEMIC REVIEW	1303-099X	0.4	0.052
EGE-REV EXPR GRAF ED	EGE-REVISTA DE EXPRESION GRAFICA EN LA EDIFICACION	1888-8143	0.3	0.0
EGIT BILIM	EGITIM VE BILIM-EDUCATION AND SCIENCE	1300-1337	0.5	0.156
EGYPT HEART J	EGYPTIAN HEART JOURNAL	1110-2608	1.1	0.297
EGYPT INFORM J	EGYPTIAN INFORMATICS JOURNAL	1110-8665	5.2	0.617
EGYPT J AGRON	EGYPTIAN JOURNAL OF AGRONOMY	0379-3575	0.5	0.074
EGYPT J ANAESTH	EGYPTIAN JOURNAL OF ANAESTHESIA	1110-1849	0.8	0.251
EGYPT J AQUATIC RES	EGYPTIAN JOURNAL OF AQUATIC RESEARCH	1687-4285	3.5	0.0
EGYPT J ARCHAEOL RES	EGYPTIAN JOURNAL OF ARCHAEOLOGICAL AND RESTORATION STUDIES	2090-4932	0.2	0.023
EGYPT J BIOL PEST CO	EGYPTIAN JOURNAL OF BIOLOGICAL PEST CONTROL	1110-1768	2.4	0.313
EGYPT J BOT	EGYPTIAN JOURNAL OF BOTANY	0375-9237	1.1	0.108
EGYPT J BRONCHOL	EGYPTIAN JOURNAL OF BRONCHOLOGY	1687-8426	1.3	0.0
EGYPT J CHEM	EGYPTIAN JOURNAL OF CHEMISTRY	0449-2285	1.3	0.124
EGYPT J CHEST DIS TU	EGYPTIAN JOURNAL OF CHEST DISEASES AND TUBERCULOSIS	0422-7638	0.1	0.06
EGYPT J CRIT CARE ME	EGYPTIAN JOURNAL OF CRITICAL CARE MEDICINE	2090-7303	0.3	0.056
EGYPT J DERMAT VENER	EGYPTIAN JOURNAL OF DERMATOLOGY AND VENEREOLOGY	1110-6530	0.4	0.0
EGYPT J FORENSIC SCI	EGYPTIAN JOURNAL OF FORENSIC SCIENCES	2090-536X	1.0	0.197
EGYPT J HAEMATOL	EGYPTIAN JOURNAL OF HAEMATOLOGY	1110-1067	0.0	0.029
EGYPT J NEUROL PSYCH	EGYPTIAN JOURNAL OF NEUROLOGY PSYCHIATRY AND NEUROSURGERY	1687-8329	1.3	0.261
EGYPT J NEUROSURG	EGYPTIAN JOURNAL OF NEUROSURGERY	2520-8225	0.2	0.0
EGYPT J OTOLARYNGOL	EGYPTIAN JOURNAL OF OTOLARYNGOLOGY	1012-5574	0.4	0.091
EGYPT J PEDIATR ALLE	EGYPTIAN JOURNAL OF PEDIATRIC ALLERGY AND IMMUNOLOGY	1687-1642	0.3	0.038
EGYPT J RADIOL NUC M	EGYPTIAN JOURNAL OF RADIOLOGY AND NUCLEAR MEDICINE	2090-4762	1.0	0.148
EGYPT J SOIL SCI	EGYPTIAN JOURNAL OF SOIL SCIENCE	0302-6701	1.5	0.0
EGYPT J SURG	EGYPTIAN JOURNAL OF SURGERY	1110-1121	0.1	0.028
EGYPT J VET SCI	EGYPTIAN JOURNAL OF VETERINARY SCIENCE	1110-0222	0.5	0.0
EGYPT LIVER J	EGYPTIAN LIVER JOURNAL	2090-6218	0.8	0.0
EGYPT PEDIATR ASSO	EGYPTIAN PEDIATRIC ASSOCIATION GAZETTE	1110-6638	0.8	0.142
EGYPT RHEUMATOL	EGYPTIAN RHEUMATOLOGIST	1110-1164	0.9	0.126
EGYPT RHEUMATOL REH	EGYPTIAN RHEUMATOLOGY AND REHABILITATION	1110-161X	0.8	0.0
EGYPTIAN J MED HUMAN	EGYPTIAN JOURNAL OF MEDICAL HUMAN GENETICS	1110-8630	1.3	0.0
EIGHTEENTH CENT-THEO	EIGHTEENTH CENTURY-THEORY AND INTERPRETATION	0193-5380	0.1	0.247
EIGHTEENTH-CENT LIFE	EIGHTEENTH-CENTURY LIFE	0098-2601	0.1	0.208
EIGHTEENTH-CENT MUSI	EIGHTEENTH-CENTURY MUSIC	1478-5706	0.1	0.253
EIGHTEENTH-CENT STUD	EIGHTEENTH-CENTURY STUDIES	0013-2586	0.4	0.563
EIGHTEENTH-CENTURY F	EIGHTEENTH-CENTURY FICTION	0840-6286	0.1	0.104
EIGSE-J IRISH STUD	EIGSE-A JOURNAL OF IRISH STUDIES	0013-2608	0.0	0.076
EIKASIA	EIKASIA-REVISTA DE FILOSOFIA	1885-5679	0.1	0.075
EIKASMOS	EIKASMOS-QUADERNI BOLOGNESI DI FILOLOGIA CLASSICA	1121-8819	0.0	0.262
EIKON IMAGO	EIKON IMAGO	2254-8718	0.1	0.054
E-INFORMATICA	E-INFORMATICA SOFTWARE ENGINEERING JOURNAL	1897-7979	0.8	0.17
EINSTEIN-SAO PAULO	EINSTEIN-SAO PAULO	1679-4508	1.4	0.338
EIRE-IRELAND	EIRE-IRELAND	0013-2683	0.6	0.398
EIRENE	EIRENE-STUDIA GRAECA ET LATINA	0046-1628	0.1	0.217
EIXO RODA	EIXO E A RODA-REVISTA DE LITERATURA BRASILEIRA	0102-4809	0.0	0.009
E-J BUS EDUC SCHOLAR	E-JOURNAL OF BUSINESS EDUCATION & SCHOLARSHIP OF TEACHING	1835-9132	0.8	0.198
E-J INT COMP LABOUR	E-JOURNAL OF INTERNATIONAL AND COMPARATIVE LABOUR STUDIES	2280-4056	0.3	0.093
E-J SURF SCI NANOTEC	E-JOURNAL OF SURFACE SCIENCE AND NANOTECHNOLOGY	1348-0391	0.7	0.121
EJNMMI PHYS	EJNMMI PHYSICS	2197-7364	4.0	0.916
EJNMMI RADIOPHARM CH	EJNMMI RADIOPHARMACY AND CHEMISTRY	2365-421X	4.6	0.939
EJNMMI RES	EJNMMI RESEARCH	2191-219X	3.2	0.823
EJOURNAL TAX RES	EJOURNAL OF TAX RESEARCH	1448-2398	0.3	0.136
EJSO-EUR J SURG ONC	EJSO	0748-7983	3.8	1.067
EJVES VASC FORUM	EJVES VASCULAR FORUM	2666-688X	0.6	0.0
EKON CAS	EKONOMICKY CASOPIS	0013-3035	0.4	0.072
EKON MAT METOD	EKONOMIKA I MATEMATICESKIE METODY-ECONOMICS AND MATHEMATICAL METHODS	0424-7388	0.2	0.046
EKON MISAO PRAKSA	EKONOMSKA MISAO I PRAKSA-ECONOMIC THOUGHT AND PRACTICE	1330-1039	0.5	0.033
EKON POLJOPR	EKONOMIKA POLJOPRIVREDA-ECONOMICS OF AGRICULTURE	0352-3462	0.6	0.045
EKON PRAWO	EKONOMIA I PRAWO-ECONOMICS AND LAW	1898-2255	0.3	0.055
EKON PREGL	EKONOMSKI PREGLED	0424-7558	0.5	0.061
EKON REG	ECONOMY OF REGION	2072-6414	0.5	0.072
EKON SROD	EKONOMIA I SRODOWISKO-ECONOMICS AND ENVIRONMENT	0867-8898	0.4	0.031
EKON VJESN	EKONOMSKI VJESNIK	0353-359X	0.4	0.055
EKONOMICHESKAYA POLI	EKONOMICHESKAYA POLITIKA	1994-5124	0.5	0.103
EKONOMISTA	EKONOMISTA	0013-3205	0.2	0.0
EKPRASIS	EKPHRASIS-IMAGES CINEMA THEORY MEDIA	2067-631X	0.0	0.013
EKSP PSIKHOLOGIYA	EKSPERIMENTALNAYA PSIKHOLOGIYA	2072-7593	0.4	0.051
EKSPLOAT NIEZAWODN	EKSPLOATACJA I NIEZAWODNOSC-MAINTENANCE AND RELIABILITY	1507-2711	2.5	0.182
EKSPLORIUM	EKSPLORIUM-BULETIN PUSAT TEKNOLOGI BAHAN GALIAN NUKLIR	0854-1418	0.1	0.011
ELASTOM COMPOS	ELASTOMERS AND COMPOSITES	2092-9676	0.8	0.057
E-LAT	E-LATINA-REVISTA ELECTRONICA DE ESTUDIOS LATINOAMERICANOS	1666-9606	0.0	0.009
E-LEARNING DIGITAL M	E-LEARNING AND DIGITAL MEDIA	2042-7530	1.9	0.0
ELECT LAW J	ELECTION LAW JOURNAL	1533-1296	1.2	0.664
ELECT STUD	ELECTORAL STUDIES	0261-3794	2.3	1.45
ELECTR COMMUN JPN	ELECTRONICS AND COMMUNICATIONS IN JAPAN	1942-9533	0.3	0.079
ELECTR CONTROL COMMU	ELECTRICAL CONTROL AND COMMUNICATION ENGINEERING	2255-9140	0.7	0.098
ELECTR ENG	ELECTRICAL ENGINEERING	0948-7921	1.8	0.257
ELECTR ENG ELECTROME	ELECTRICAL ENGINEERING & ELECTROMECHANICS	2074-272X	0.8	0.03
ELECTR ENG JPN	ELECTRICAL ENGINEERING IN JAPAN	0424-7760	0.4	0.086
ELECTR J INF SYS DEV	ELECTRONIC JOURNAL OF INFORMATION SYSTEMS IN DEVELOPING COUNTRIES	1681-4835	1.3	0.318
ELECTR POW COMPO SYS	ELECTRIC POWER COMPONENTS AND SYSTEMS	1532-5008	1.5	0.219
ELECTR POW SYST RES	ELECTRIC POWER SYSTEMS RESEARCH	0378-7796	3.9	0.666
ELECTRICA	ELECTRICA	2619-9831	0.9	0.12
ELECTROANAL	ELECTROANALYSIS	1040-0397	3.0	0.368
ELECTROCATALYSIS-US	ELECTROCATALYSIS	1868-2529	3.1	0.466
ELECTROCHEM COMMUN	ELECTROCHEMISTRY COMMUNICATIONS	1388-2481	5.4	0.81
ELECTROCHEM ENERGY R	ELECTROCHEMICAL ENERGY REVIEWS	2520-8489	31.3	6.668
ELECTROCHEM SOC INTE	ELECTROCHEMICAL SOCIETY INTERFACE	1064-8208	1.8	0.521
ELECTROCHEMISTRY	ELECTROCHEMISTRY	1344-3542	2.5	0.317
ELECTROCHIM ACTA	ELECTROCHIMICA ACTA	0013-4686	6.6	0.915
ELECTROMAGN BIOL MED	ELECTROMAGNETIC BIOLOGY AND MEDICINE	1536-8378	1.7	0.312
ELECTROMAGNETICS	ELECTROMAGNETICS	0272-6343	0.8	0.157
ELECTRON COMMER R A	ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS	1567-4223	6.0	1.196
ELECTRON COMMER RES	ELECTRONIC COMMERCE RESEARCH	1389-5753	3.9	0.576
ELECTRON COMMUN PROB	ELECTRONIC COMMUNICATIONS IN PROBABILITY	1083-589X	0.5	0.744
ELECTRON J APPL STAT	ELECTRONIC JOURNAL OF APPLIED STATISTICAL ANALYSIS	2070-5948	0.7	0.206
ELECTRON J BIOTECHN	ELECTRONIC JOURNAL OF BIOTECHNOLOGY	0717-3458	2.7	0.447
ELECTRON J COMB	ELECTRONIC JOURNAL OF COMBINATORICS	1077-8926	0.7	0.71
ELECTRON J DIFFER EQ	ELECTRONIC JOURNAL OF DIFFERENTIAL EQUATIONS	1072-6691	0.7	0.308
ELECTRON J E-LEARN	ELECTRONIC JOURNAL OF E-LEARNING	1479-4403	2.2	0.479
ELECTRON J FAC CIV E	ELECTRONIC JOURNAL OF THE FACULTY OF CIVIL ENGINEERING OSIJEK-E-GFOS	1847-8948	0.2	0.035
ELECTRON J GEN MED	ELECTRONIC JOURNAL OF GENERAL MEDICINE	2516-3507	2.1	0.221
ELECTRON J GRAPH THE	ELECTRONIC JOURNAL OF GRAPH THEORY AND APPLICATIONS	2338-2287	0.7	0.203
ELECTRON J LINEAR AL	ELECTRONIC JOURNAL OF LINEAR ALGEBRA	1537-9582	0.7	0.425
ELECTRON J PROBAB	ELECTRONIC JOURNAL OF PROBABILITY	1083-6489	1.4	1.376
ELECTRON J QUAL THEO	ELECTRONIC JOURNAL OF QUALITATIVE THEORY OF DIFFERENTIAL EQUATIONS	1417-3875	1.1	0.371
ELECTRON J RES EDUC	ELECTRONIC JOURNAL OF RESEARCH IN EDUCATIONAL PSYCHOLOGY	1699-5880	0.7	0.204
ELECTRON J STAT	ELECTRONIC JOURNAL OF STATISTICS	1935-7524	1.1	1.368
ELECTRON J STRUCT EN	ELECTRONIC JOURNAL OF STRUCTURAL ENGINEERING	1443-9255	0.6	0.079
ELECTRON LETT	ELECTRONICS LETTERS	0013-5194	1.1	0.246
ELECTRON LIBR	ELECTRONIC LIBRARY	0264-0473	1.9	0.311
ELECTRON MARK	ELECTRONIC MARKETS	1019-6781	8.5	1.288
ELECTRON MATER LETT	ELECTRONIC MATERIALS LETTERS	1738-8090	2.4	0.304
ELECTRON NEWS	ELECTRONIC NEWS	1931-2431	1.0	0.0
ELECTRON RES ARCH	ELECTRONIC RESEARCH ARCHIVE	2688-1594	0.8	0.299
ELECTRON STRUCT	ELECTRONIC STRUCTURE	2516-1075	2.6	0.73
ELECTRON T NUMER ANA	ELECTRONIC TRANSACTIONS ON NUMERICAL ANALYSIS	1068-9613	1.3	0.673
ELECTRONICS-SWITZ	ELECTRONICS	2079-9292	2.9	0.401
ELECTROPHORESIS	ELECTROPHORESIS	0173-0835	2.9	0.442
E-LEG HIST REV	E-LEGAL HISTORY REVIEW	1699-5317	0.0	0.01
ELEKTRON ELEKTROTECH	ELEKTRONIKA IR ELEKTROTECHNIKA	1392-1215	1.3	0.127
ELEKTROTECH INFORMAT	ELEKTROTECHNIK UND INFORMATIONSTECHNIK	0932-383X	0.5	0.115
ELEKTROTEH VESTN	ELEKTROTEHNISKI VESTNIK	0013-5852	0.2	0.033
ELEM SCHOOL J	ELEMENTARY SCHOOL JOURNAL	0013-5984	1.7	0.815
ELEMENT MATH	ELEMENTE DER MATHEMATIK	0013-6018	0.1	0.125
ELEMENTA-SCI ANTHROP	ELEMENTA-SCIENCE OF THE ANTHROPOCENE	2325-1026	3.9	1.496
ELEMENTS	ELEMENTS	1811-5209	4.5	1.73
ELEUTHERA	ELEUTHERA	2011-4532	0.2	0.092
ELH	ELH	0013-8304	0.5	0.858
ELIA-ESTUD LINGUIST	ELIA-ESTUDIOS DE LINGUISTICA INGLESA APLICADA	1576-5059	0.6	0.255
ELIFE	ELIFE	2050-084X	7.7	3.913
ELOS	ELOS-REVISTA DE LITERATURA INFANTIL E XUVENIL	2386-7620	0.1	0.065
ELT J	ELT JOURNAL	0951-0893	2.5	1.008
EM QUESTAO	EM QUESTAO	1807-8893	0.1	0.086
EMAKEELE SELTSI AAST	EMAKEELE SELTSI AASTARAAMAT-THE YEARBOOK OF THE ESTONIAN MOTHER TONGUE SOCIETY	0206-3735	0.3	0.085
EMBO J	EMBO JOURNAL	0261-4189	11.4	4.699
EMBO MOL MED	EMBO MOLECULAR MEDICINE	1757-4676	11.1	3.513
EMBO REP	EMBO REPORTS	1469-221X	7.7	3.173
E-MENTOR	E-MENTOR	1731-6758	0.4	0.049
EMER CARE J	EMERGENCY CARE JOURNAL	1826-9826	0.5	0.031
EMERG ADULTHOOD	EMERGING ADULTHOOD	2167-6968	2.6	0.601
EMERG CONTAM	EMERGING CONTAMINANTS	2405-6650	6.0	0.0
EMERG INFECT DIS	EMERGING INFECTIOUS DISEASES	1080-6040	11.8	2.98
EMERG MARK FINANC TR	EMERGING MARKETS FINANCE AND TRADE	1540-496X	4.0	0.476
EMERG MARK REV	EMERGING MARKETS REVIEW	1566-0141	4.8	0.896
EMERG MATER RES	EMERGING MATERIALS RESEARCH	2046-0147	2.2	0.197
EMERG MED AUSTRALAS	EMERGENCY MEDICINE AUSTRALASIA	1742-6731	2.3	0.641
EMERG MED CLIN N AM	EMERGENCY MEDICINE CLINICS OF NORTH AMERICA	0733-8627	1.2	0.59
EMERG MED INT	EMERGENCY MEDICINE INTERNATIONAL	2090-2840	1.2	0.344
EMERG MED J	EMERGENCY MEDICINE JOURNAL	1472-0205	3.1	1.042
EMERG MICROBES INFEC	EMERGING MICROBES & INFECTIONS	2222-1751	13.2	2.403
EMERG RADIOL	EMERGENCY RADIOLOGY	1070-3004	2.2	0.41
EMERG THEMES EPIDEMI	EMERGING THEMES IN EPIDEMIOLOGY	1742-7622	2.3	1.629
EMERG TOP LIFE SCI	EMERGING TOPICS IN LIFE SCIENCES	2397-8554	3.8	1.005
EMERGENCIAS	EMERGENCIAS	1137-6821	5.5	0.562
EMERGENT MATER	EMERGENT MATERIALS	2522-5731	3.8	0.476
EMERITA	EMERITA	0013-6662	0.1	0.171
EMILY DICKINSON J	EMILY DICKINSON JOURNAL	1059-6879	0.2	0.088
EMINAK	EMINAK	1998-4634	0.1	0.0
EMIR J FOOD AGR	EMIRATES JOURNAL OF FOOD AND AGRICULTURE	2079-052X	1.1	0.171
EMISS CONTR SCI TECH	EMISSION CONTROL SCIENCE AND TECHNOLOGY	2199-3629	1.6	0.0
EMITTER	EMITTER-INTERNATIONAL JOURNAL OF ENGINEERING TECHNOLOGY	2355-391X	0.5	0.063
EMOT BEHAV DIFFIC	EMOTIONAL AND BEHAVIOURAL DIFFICULTIES	1363-2752	1.0	0.342
EMOT REV	EMOTION REVIEW	1754-0739	5.4	2.967
EMOT SPACE SOC	EMOTION SPACE AND SOCIETY	1755-4586	1.8	0.799
EMOTION	EMOTION	1528-3542	4.2	1.575
EMOTION SOC	EMOTIONS AND SOCIETY	2631-6897	1.3	0.74
EMOTIONS	EMOTIONS-HISTORY CULTURE SOCIETY	2206-7485	0.5	0.34
EMPEDOCLES	EMPEDOCLES-EUROPEAN JOURNAL FOR THE PHILOSOPHY OF COMMUNICATION	1757-1952	0.0	0.077
EMPIR ECON	EMPIRICAL ECONOMICS	0377-7332	3.2	0.623
EMPIR RES VOCAT EDUC	EMPIRICAL RESEARCH IN VOCATIONAL EDUCATION AND TRAINING	1877-6345	1.3	0.427
EMPIR SOFTW ENG	EMPIRICAL SOFTWARE ENGINEERING	1382-3256	4.1	0.882
EMPIR STUD ARTS	EMPIRICAL STUDIES OF THE ARTS	0276-2374	1.5	0.544
EMPIRIA	EMPIRIA	1139-5737	0.7	0.37
EMPIRICA	EMPIRICA	0340-8744	1.3	0.373
EMPL RELAT	EMPLOYEE RELATIONS	0142-5455	3.4	0.579
EMPLOY RESPONSIB RIG	EMPLOYEE RESPONSIBILITIES AND RIGHTS JOURNAL	0892-7545	1.1	0.318
EMS SURV MATH SCI	EMS SURVEYS IN MATHEMATICAL SCIENCES	2308-2151	2.3	2.958
EMU	EMU-AUSTRAL ORNITHOLOGY	0158-4197	1.3	0.466
ENCEPHALE	ENCEPHALE-REVUE DE PSYCHIATRIE CLINIQUE BIOLOGIQUE ET THERAPEUTIQUE	0013-7006	2.7	0.387
ENCONTROS BIBLI	ENCONTROS BIBLI-REVISTA ELETRONICA DE BIBLIOTECONOMIA E CIENCIA DA INFORMACAO	1518-2924	0.3	0.084
ENCOUNT THEORY HIST	ENCOUNTERS IN THEORY AND HISTORY OF EDUCATION	1494-4936	0.4	0.126
ENCRUC AM	ENCRUCIJADA AMERICANA	0719-3432	0.1	0.012
ENCRUCIJADAS	ENCRUCIJADAS-REVISTA CRITICA DE CIENCIAS SOCIALES	2174-7148	0.2	0.116
ENCUENTRO	ENCUENTRO-REVISTA DE INVESTIGACION E INNOVACION EN LA CLASE DE IDIOMAS	1989-0796	0.6	0.093
ENDANGER SPECIES RES	ENDANGERED SPECIES RESEARCH	1863-5407	3.1	0.705
ENDEAVOUR	ENDEAVOUR	0160-9327	0.6	0.262
ENDOCR CONNECT	ENDOCRINE CONNECTIONS	2049-3614	2.9	0.767
ENDOCR DIAB MET C R	ENDOCRINOLOGY DIABETES AND METABOLISM CASE REPORTS	2052-0573	0.9	0.206
ENDOCR J	ENDOCRINE JOURNAL	0918-8959	2.0	0.503
ENDOCR METAB IMMUNE	ENDOCRINE METABOLIC & IMMUNE DISORDERS-DRUG TARGETS	1871-5303	1.9	0.316
ENDOCR PATHOL	ENDOCRINE PATHOLOGY	1046-3976	4.4	0.825
ENDOCR PRACT	ENDOCRINE PRACTICE	1530-891X	4.2	1.092
ENDOCR RES	ENDOCRINE RESEARCH	0743-5800	2.1	0.368
ENDOCR REV	ENDOCRINE REVIEWS	0163-769X	20.3	7.463
ENDOCRIN METAB CLIN	ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA	0889-8529	4.5	1.445
ENDOCRINE	ENDOCRINE	1355-008X	3.7	0.849
ENDOCRINOL DIAB NUTR	ENDOCRINOLOGIA DIABETES Y NUTRICION	2530-0180	1.9	0.366
ENDOCRINOL METAB	ENDOCRINOLOGY AND METABOLISM	2093-596X	3.4	0.868
ENDOCRINOLOGY	ENDOCRINOLOGY	0013-7227	4.8	1.172
ENDOCR-RELAT CANCER	ENDOCRINE-RELATED CANCER	1351-0088	3.9	1.127
ENDOKRYNOL POL	ENDOKRYNOLOGIA POLSKA	0423-104X	2.1	0.307
ENDOSC INT OPEN	ENDOSCOPY INTERNATIONAL OPEN	2364-3722	2.6	0.922
ENDOSC ULTRASOUND	ENDOSCOPIC ULTRASOUND	2303-9027	4.5	1.023
ENDOSCOPY	ENDOSCOPY	0013-726X	9.3	3.232
ENDOXA-SER-FILOS	ENDOXA-SERIES FILOSOFICAS	1133-5351	0.1	0.064
ENERG BUILDINGS	ENERGY AND BUILDINGS	0378-7788	6.7	0.981
ENERG CONVERS MANAGE	ENERGY CONVERSION AND MANAGEMENT	0196-8904	10.4	1.583
ENERG CONVERS MAN-X	ENERGY CONVERSION AND MANAGEMENT-X	2590-1745	6.3	1.059
ENERG ECON	ENERGY ECONOMICS	0140-9883	12.8	1.833
ENERG EFFIC	ENERGY EFFICIENCY	1570-646X	3.1	0.553
ENERG ENVIRON SCI	ENERGY & ENVIRONMENTAL SCIENCE	1754-5692	32.5	8.93
ENERG ENVIRON-UK	ENERGY & ENVIRONMENT	0958-305X	4.2	0.47
ENERG EXPLOR EXPLOIT	ENERGY EXPLORATION & EXPLOITATION	0144-5987	2.7	0.408
ENERG FUEL	ENERGY & FUELS	0887-0624	5.3	0.632
ENERG J	ENERGY JOURNAL	0195-6574	2.9	1.017
ENERG POLICY	ENERGY POLICY	0301-4215	9.0	1.539
ENERG SOURCE PART A	ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS	1556-7036	2.9	0.326
ENERG SOURCE PART B	ENERGY SOURCES PART B-ECONOMICS PLANNING AND POLICY	1556-7249	3.9	0.446
ENERGIES	ENERGIES	1996-1073	3.2	0.435
ENERGY	ENERGY	0360-5442	9.0	1.237
