Full title,Abbreviation,Country,SCIE,SSCI,AHCI,ESCI
CODAS,CODAS,BRAZIL,,,,X
CODESIGN-INTERNATIONAL JOURNAL OF COCREATION IN DESIGN AND THE ARTS,CODESIGN,ENGLAND,,,X,
CODEX AQUILARENSIS,CODEX AQUILAR,SPAIN,,,,X
CODRUL COSMINULUI,CODRUL COSMIN,ROMANIA,,,,X
COGENT ARTS & HUMANITIES,COGENT ARTS HUMANITE,ENGLAND,,,,X
COGENT BUSINESS & MANAGEMENT,COGENT BUS MANAG,ENGLAND,,,,X
COGENT ECONOMICS & FINANCE,COGENT ECON FINANC,ENGLAND,,,,X
COGENT EDUCATION,COGENT EDUC,ENGLAND,,,,X
COGENT ENGINEERING,COGENT ENG,ENGLAND,,,,X
COGENT FOOD & AGRICULTURE,COGENT FOOD AGR,ENGLAND,X,,,
COGENT PSYCHOLOGY,COGENT PSYCHOL,ENGLAND,,,,X
COGENT SOCIAL SCIENCES,COGENT SOC SCI,ENGLAND,,,,X
COGNITEXTES,COGNITEXTES,FRANCE,,,,X
COGNITION,COGNITION,NETHERLANDS,,X,,
COGNITION & EMOTION,COGNITION EMOTION,ENGLAND,,X,,
COGNITION AND INSTRUCTION,COGNITION INSTRUCT,UNITED STATES,,X,,
COGNITION TECHNOLOGY & WORK,COGN TECHNOL WORK,ENGLAND,X,X,,
COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE,COGN AFFECT BEHAV NE,UNITED STATES,X,,,
COGNITIVE AND BEHAVIORAL NEUROLOGY,COGN BEHAV NEUROL,UNITED STATES,X,,,
COGNITIVE AND BEHAVIORAL PRACTICE,COGN BEHAV PRACT,UNITED STATES,,X,,
COGNITIVE BEHAVIOUR THERAPIST,COGN BEH THER,ENGLAND,,,,X
COGNITIVE BEHAVIOUR THERAPY,COGN BEHAV THERAPY,ENGLAND,,X,,
COGNITIVE COMPUTATION,COGN COMPUT,UNITED STATES,X,,,
COGNITIVE COMPUTATION AND SYSTEMS,COGN COMPUT SYST,ENGLAND,,,,X
COGNITIVE DEVELOPMENT,COGNITIVE DEV,UNITED STATES,,X,,
COGNITIVE LINGUISTIC STUDIES,COGN LINGUIST STUD,NETHERLANDS,,,,X
COGNITIVE LINGUISTICS,COGN LINGUIST,UNITED STATES,,X,X,
COGNITIVE NEURODYNAMICS,COGN NEURODYNAMICS,NETHERLANDS,X,,,
COGNITIVE NEUROPSYCHIATRY,COGN NEUROPSYCHIATRY,ENGLAND,X,X,,
COGNITIVE NEUROPSYCHOLOGY,COGN NEUROPSYCHOL,ENGLAND,X,X,,
COGNITIVE NEUROSCIENCE,COGN NEUROSCI-UK,ENGLAND,X,,,
COGNITIVE PROCESSING,COGN PROCESS,GERMANY,,X,,
COGNITIVE PSYCHOLOGY,COGNITIVE PSYCHOL,UNITED STATES,X,X,,
COGNITIVE RESEARCH-PRINCIPLES AND IMPLICATIONS,COGN RES,UNITED STATES,,X,,
COGNITIVE SCIENCE,COGNITIVE SCI,UNITED STATES,,X,,
COGNITIVE SEMANTICS,COGN SEMANT,PEOPLES R CHINA,,,,X
COGNITIVE STUDIES-ETUDES COGNITIVES,COGN STUD-POLAND,POLAND,,,,X
COGNITIVE SYSTEMS RESEARCH,COGN SYST RES,NETHERLANDS,X,X,,
COGNITIVE THERAPY AND RESEARCH,COGNITIVE THER RES,UNITED STATES,,X,,
CO-HERENCIA,CO-HERENCIA,COLOMBIA,,,X,
COKE AND CHEMISTRY,COKE CHEM,UNITED STATES,,,,X
COLD REGIONS SCIENCE AND TECHNOLOGY,COLD REG SCI TECHNOL,NETHERLANDS,X,,,
COLD SPRING HARBOR PERSPECTIVES IN BIOLOGY,CSH PERSPECT BIOL,UNITED STATES,X,,,
COLD SPRING HARBOR PERSPECTIVES IN MEDICINE,CSH PERSPECT MED,UNITED STATES,X,,,
COLD WAR HISTORY,COLD WAR HIST,ENGLAND,,X,X,
COLEOPTERISTS BULLETIN,COLEOPTS BULL,UNITED STATES,X,,,
COLLABRA-PSYCHOLOGY,COLLABRA-PSYCHOL,UNITED STATES,,X,,
COLLAGEN AND LEATHER,COLLAGEN LEATHER,PEOPLES R CHINA,,,,X
COLLECTANEA CHRISTIANA ORIENTALIA,COLLECT CHRIST ORIEN,SPAIN,,,,X
COLLECTANEA MATHEMATICA,COLLECT MATH,SPAIN,X,,,
COLLECTANEA PHILOLOGICA,COLLECTANEA PHILOL,POLAND,,,,X
COLLECTION AND CURATION,COLLECT CURATION,ENGLAND,,,,X
COLLECTION MANAGEMENT,COLLECT MANAG,UNITED STATES,,,,X
COLLECTIVUS-REVISTA DE CIENCIAS SOCIALES,COLLECTIVUS,COLOMBIA,,,,X
COLLEGE & RESEARCH LIBRARIES,COLL RES LIBR,UNITED STATES,,X,,
COLLEGE & UNDERGRADUATE LIBRARIES,COLL UNDERGRAD LIBR,ENGLAND,,,,X
COLLEGE COMPOSITION AND COMMUNICATION,COLL COMPOS COMMUN,UNITED STATES,,,X,
COLLEGE ENGLISH,COLL ENGL,UNITED STATES,,,X,
COLLEGE LITERATURE,COLL LITERATURE,UNITED STATES,,,X,
COLLEGIAN,COLLEGIAN,NETHERLANDS,X,X,,
COLLNET JOURNAL OF SCIENTOMETRICS AND INFORMATION MANAGEMENT,COLLNET J SCIENTOMET,INDIA,,,,X
COLLOID AND INTERFACE SCIENCE COMMUNICATIONS,COLLOID INTERFAC SCI,NETHERLANDS,X,,,
COLLOID AND POLYMER SCIENCE,COLLOID POLYM SCI,GERMANY,X,,,
COLLOID JOURNAL,COLLOID J+,RUSSIA,X,,,
COLLOIDS AND INTERFACES,COLLOID INTERFAC,SWITZERLAND,,,,X
COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,COLLOID SURFACE A,NETHERLANDS,X,,,
COLLOIDS AND SURFACES B-BIOINTERFACES,COLLOID SURFACE B,NETHERLANDS,X,,,
COLLOQUIA GERMANICA,COLLOQ GERMANICA,SWITZERLAND,,,X,
COLLOQUIA HUMANISTICA,COLLOQ HUMAN-POLAND,POLAND,,,,X
COLLOQUIUM MATHEMATICUM,COLLOQ MATH-WARSAW,POLAND,X,,,
COLMENA-REVISTA DE LA UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,COLMENA,MEXICO,,,,X
COLOMBIA INTERNACIONAL,COLOMB INT,COLOMBIA,,,,X
COLOMBIA MEDICA,COLOMB MEDICA,COLOMBIA,X,,,
COLOMBIAN APPLIED LINGUISTICS JOURNAL,COLOMB APPL LINGUIST,COLOMBIA,,,,X
COLONIAL LATIN AMERICAN REVIEW,COLON LAT AM REV,ENGLAND,,,X,
COLOPROCTOLOGY,COLOPROCTOLOGY,GERMANY,,,,X
COLOQUIO-LETRAS,COLOQUIO-LETRAS,PORTUGAL,,,X,
COLOR RESEARCH AND APPLICATION,COLOR RES APPL,UNITED STATES,X,,,
COLORATION TECHNOLOGY,COLOR TECHNOL,ENGLAND,X,,,
COLORECTAL CANCER,COLORECTAL CANCER-UK,ENGLAND,,,,X
COLORECTAL DISEASE,COLORECTAL DIS,ENGLAND,X,,,
COLUMBIA JOURNAL OF LAW AND SOCIAL PROBLEMS,COLUMBIA J LAW SOC P,UNITED STATES,,X,,
COLUMBIA JOURNAL OF TRANSNATIONAL LAW,COLUMBIA J TRANS LAW,UNITED STATES,,X,,
COLUMBIA LAW REVIEW,COLUMBIA LAW REV,UNITED STATES,,X,,
COMBINATORIAL CHEMISTRY & HIGH THROUGHPUT SCREENING,COMB CHEM HIGH T SCR,U ARAB EMIRATES,X,,,
COMBINATORIAL THEORY,COMBINATORIAL THEOR,UNITED STATES,,,,X
COMBINATORICA,COMBINATORICA,GERMANY,X,,,
COMBINATORICS AND NUMBER THEORY,COMB NUMBER THEOR,UNITED STATES,,,,X
COMBINATORICS PROBABILITY AND COMPUTING,COMB PROBAB COMPUT,UNITED STATES,X,,,
COMBUSTION AND FLAME,COMBUST FLAME,UNITED STATES,X,,,
COMBUSTION EXPLOSION AND SHOCK WAVES,COMBUST EXPLO SHOCK+,RUSSIA,X,,,
COMBUSTION SCIENCE AND TECHNOLOGY,COMBUST SCI TECHNOL,UNITED STATES,X,,,
COMBUSTION THEORY AND MODELLING,COMBUST THEOR MODEL,ENGLAND,X,,,
COMECHINGONIA,COMECHINGONIA,ARGENTINA,,,,X
COMEDIA PERFORMANCE,COMEDIA PERFORM,UNITED STATES,,,,X
COMICS GRID-JOURNAL OF COMICS SCHOLARSHIP,COMICS GRID-J COMICS,ENGLAND,,,,X
COMITATUS-A JOURNAL OF MEDIEVAL AND RENAISSANCE STUDIES,COMITATUS,UNITED STATES,,,X,
COMMENTARII MATHEMATICI HELVETICI,COMMENT MATH HELV,SWITZERLAND,X,,,
COMMENTS ON INORGANIC CHEMISTRY,COMMENT INORG CHEM,ENGLAND,X,,,
COMMON KNOWLEDGE,COMMON KNOWL,UNITED STATES,,,X,
COMMON MARKET LAW REVIEW,COMMON MKT LAW REV,NETHERLANDS,,X,,
COMMONWEALTH & COMPARATIVE POLITICS,COMMONW COMP POLIT,ENGLAND,,,,X
COMMONWEALTH JOURNAL OF LOCAL GOVERNANCE,COMMONW J LOCAL GOV,AUSTRALIA,,,,X
COMMUNICABLE DISEASES INTELLIGENCE,COMMUN DIS INTELL,AUSTRALIA,,,,X
COMMUNICARE-JOURNAL FOR COMMUNICATION SCIENCES IN SOUTHERN AFRICA,COMMUNICARE,SOUTH AFRICA,,,,X
COMMUNICATION & SOCIETY-SPAIN,COMMUN SOC-SPAIN,SPAIN,,,,X
COMMUNICATION & SPORT,COMMUN SPORT,UNITED STATES,,X,,
COMMUNICATION AND CRITICAL-CULTURAL STUDIES,COMMUN CRIT-CULT STU,UNITED STATES,,X,X,
COMMUNICATION AND THE PUBLIC,COMMUN PUBLIC,UNITED STATES,,,,X
COMMUNICATION CULTURE & CRITIQUE,COMMUN CULT CRIT,UNITED STATES,,X,,
COMMUNICATION DISORDERS QUARTERLY,COMMUN DISORD Q,UNITED STATES,,X,,
COMMUNICATION EDUCATION,COMMUN EDUC,ENGLAND,,,,X
COMMUNICATION LAW AND POLICY,COMMUN LAW POLICY,UNITED STATES,,,,X
COMMUNICATION METHODS AND MEASURES,COMMUN METHODS MEAS,ENGLAND,,X,,
COMMUNICATION MONOGRAPHS,COMMUN MONOGR,ENGLAND,,X,,
COMMUNICATION QUARTERLY,COMMUN Q,UNITED STATES,,,,X
COMMUNICATION REPORTS,COMMUN REP,UNITED STATES,,,,X
COMMUNICATION RESEARCH,COMMUN RES,UNITED STATES,,X,,
COMMUNICATION RESEARCH AND PRACTICE,COMMUN RES PRACT,AUSTRALIA,,,,X
COMMUNICATION RESEARCH REPORTS,COMMUN RES REP,UNITED STATES,,,,X
COMMUNICATION REVIEW,COMMUN REV,ENGLAND,,,,X
COMMUNICATION SCIENCES AND DISORDERS-CSD,COMMUN SCI DISORD-CS,SOUTH KOREA,,,,X
COMMUNICATION STUDIES,COMMUN STUD,ENGLAND,,,,X
COMMUNICATION TEACHER,COMMUN TEACH,UNITED STATES,,,,X
COMMUNICATION THEORY,COMMUN THEOR,UNITED STATES,,X,,
COMMUNICATION TODAY,COMMUN TODAY,SLOVAKIA,,,,X
COMMUNICATIONS BIOLOGY,COMMUN BIOL,ENGLAND,X,,,
COMMUNICATIONS CHEMISTRY,COMMUN CHEM,ENGLAND,X,,,
COMMUNICATIONS EARTH & ENVIRONMENT,COMMUN EARTH ENVIRON,ENGLAND,X,,,
COMMUNICATIONS ENGINEERING,COMMUN ENG-LONDON,ENGLAND,,,,X
COMMUNICATIONS FACULTY OF SCIENCES UNIVERSITY OF ANKARA-SERIES A1 MATHEMATICS AND STATISTICS,COMMUN FAC SCI UNIV,TURKIYE,,,,X
COMMUNICATIONS FOR STATISTICAL APPLICATIONS AND METHODS,COMMUN STAT APPL MET,SOUTH KOREA,,,,X
COMMUNICATIONS IN ALGEBRA,COMMUN ALGEBRA,UNITED STATES,X,,,
COMMUNICATIONS IN ANALYSIS AND GEOMETRY,COMMUN ANAL GEOM,UNITED STATES,X,,,
COMMUNICATIONS IN ANALYSIS AND MECHANICS,COMMUN ANAL MECH,UNITED STATES,X,,,
COMMUNICATIONS IN APPLIED AND INDUSTRIAL MATHEMATICS,COMMUN APPL IND MATH,ITALY,,,,X
COMMUNICATIONS IN APPLIED MATHEMATICS AND COMPUTATIONAL SCIENCE,COMM APP MATH COM SC,UNITED STATES,X,,,
COMMUNICATIONS IN COMBINATORICS AND OPTIMIZATION,COMMUN COMB OPTIM,IRAN,,,,X
COMMUNICATIONS IN COMPUTATIONAL PHYSICS,COMMUN COMPUT PHYS,HONG KONG,X,,,
COMMUNICATIONS IN CONTEMPORARY MATHEMATICS,COMMUN CONTEMP MATH,SINGAPORE,X,,,
COMMUNICATIONS IN INFORMATION AND SYSTEMS,COMMUN INF SYST,UNITED STATES,,,,X
COMMUNICATIONS IN INFORMATION LITERACY,COMMUN INF LIT,UNITED STATES,,,,X
COMMUNICATIONS IN MATHEMATICAL BIOLOGY AND NEUROSCIENCE,COMMUN MATH BIOL NEU,ENGLAND,,,,X
COMMUNICATIONS IN MATHEMATICAL PHYSICS,COMMUN MATH PHYS,GERMANY,X,,,
COMMUNICATIONS IN MATHEMATICAL SCIENCES,COMMUN MATH SCI,UNITED STATES,X,,,
COMMUNICATIONS IN MATHEMATICS AND APPLICATIONS,COMMUN MATH APPL,INDIA,,,,X
COMMUNICATIONS IN MATHEMATICS AND STATISTICS,COMMUN MATH STAT,PEOPLES R CHINA,X,,,
COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION,COMMUN NONLINEAR SCI,NETHERLANDS,X,,,
COMMUNICATIONS IN NUMBER THEORY AND PHYSICS,COMMUN NUMBER THEORY,UNITED STATES,X,,,
COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS,COMMUN PART DIFF EQ,UNITED STATES,X,,,
COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,COMMUN SOIL SCI PLAN,UNITED STATES,X,,,
COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION,COMMUN STAT-SIMUL C,UNITED STATES,X,,,
COMMUNICATIONS IN STATISTICS-THEORY AND METHODS,COMMUN STAT-THEOR M,UNITED STATES,X,,,
COMMUNICATIONS IN THEORETICAL PHYSICS,COMMUN THEOR PHYS,PEOPLES R CHINA,X,,,
COMMUNICATIONS IN TRANSPORTATION RESEARCH,COMMUN TRANSP RES,PEOPLES R CHINA,X,X,,
COMMUNICATIONS MATERIALS,COMMUN MATER,ENGLAND,,,,X
COMMUNICATIONS MEDICINE,COMMUN MED-LONDON,ENGLAND,,,,X
COMMUNICATIONS OF THE ACM,COMMUN ACM,UNITED STATES,X,,,
COMMUNICATIONS OF THE ASSOCIATION FOR INFORMATION SYSTEMS,COMMUN ASSOC INF SYS,UNITED STATES,,,,X
COMMUNICATIONS OF THE KOREAN MATHEMATICAL SOCIETY,COMMUN KOREAN MATH S,SOUTH KOREA,,,,X
COMMUNICATIONS ON ANALYSIS AND COMPUTATION,COMMUN ANAL COMPUT,UNITED STATES,,,,X
COMMUNICATIONS ON APPLIED MATHEMATICS AND COMPUTATION,COM APPL MATH COMPUT,PEOPLES R CHINA,,,,X
COMMUNICATIONS ON PURE AND APPLIED ANALYSIS,COMMUN PUR APPL ANAL,UNITED STATES,X,,,
COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,COMMUN PUR APPL MATH,UNITED STATES,X,,,
COMMUNICATIONS PHYSICS,COMMUN PHYS-UK,ENGLAND,X,,,
COMMUNICATIONS PSYCHOLOGY,COMMUN PSYCHOL,ENGLAND,,,,X
COMMUNICATIONS-EUROPEAN JOURNAL OF COMMUNICATION RESEARCH,COMMUNICATIONS-GER,GERMANY,,X,,
COMMUNICATIO-SOUTH AFRICAN JOURNAL FOR COMMUNICATION THEORY AND RESEARCH,COMMUNICAT-S AFR J C,SOUTH AFRICA,,,,X
COMMUNIO VIATORUM,COMMUNIO VIAT,CZECH REPUBLIC,,,X,
COMMUNIQUER,COMMUNIQUER,CANADA,,,,X
COMMUNIST AND POST-COMMUNIST STUDIES,COMMUNIS POST-COMMUN,UNITED STATES,,X,,
COMMUNITAS,COMMUNITAS,SOUTH AFRICA,,,,X
COMMUNITY COLLEGE JOURNAL OF RESEARCH AND PRACTICE,COMMUNITY COLL J RES,UNITED STATES,,,,X
COMMUNITY COLLEGE REVIEW,COMMUNITY COLL REV,UNITED STATES,,,,X
COMMUNITY DENTAL HEALTH,COMMUNITY DENT HLTH,ENGLAND,X,,,
COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY,COMMUNITY DENT ORAL,DENMARK,X,,,
COMMUNITY DEVELOPMENT,COMMUNITY DEV,ENGLAND,,,,X
COMMUNITY DEVELOPMENT JOURNAL,COMMUNITY DEV J,ENGLAND,,X,,
COMMUNITY ECOLOGY,COMMUNITY ECOL,GERMANY,X,,,
COMMUNITY HEALTH EQUITY RESEARCH & POLICY,COMMUNITY HLTH EQUIT,UNITED STATES,,,,X
COMMUNITY MENTAL HEALTH JOURNAL,COMMUNITY MENT HLT J,NETHERLANDS,,X,,
COMMUNITY WORK & FAMILY,COMMUNITY WORK FAM,ENGLAND,,,,X
COMPANY AND SECURITIES LAW JOURNAL,CO SECUR LAW J,AUSTRALIA,,,,X
COMPARATIST,COMPARATIST,UNITED STATES,,,,X
COMPARATIVE AMERICAN STUDIES,COMP AM STUD,ENGLAND,,,,X
COMPARATIVE AND CONTINENTAL PHILOSOPHY,COMP CONT PHILOS,UNITED STATES,,,,X
COMPARATIVE AND INTERNATIONAL LAW JOURNAL OF SOUTHERN AFRICA-CILSA,COMP INT LAW J SOUTH,SOUTH AFRICA,,,,X
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,COMP BIOCHEM PHYS A,UNITED STATES,X,,,
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,COMP BIOCHEM PHYS B,UNITED STATES,X,,,
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,COMP BIOCHEM PHYS C,UNITED STATES,X,,,
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY D-GENOMICS & PROTEOMICS,COMP BIOCHEM PHYS D,UNITED STATES,X,,,
COMPARATIVE COGNITION & BEHAVIOR REVIEWS,COMP COGN BEHAV REV,CANADA,,,,X
COMPARATIVE CRITICAL STUDIES,COMP CRIT STUD,ENGLAND,,,X,
COMPARATIVE CYTOGENETICS,COMP CYTOGENET,RUSSIA,X,,,
COMPARATIVE DRAMA,COMP DRAMA,UNITED STATES,,,X,
COMPARATIVE ECONOMIC RESEARCH-CENTRAL AND EASTERN EUROPE,COMP ECON RES,POLAND,,,,X
COMPARATIVE ECONOMIC STUDIES,COMP ECON STUD,ENGLAND,,,,X
COMPARATIVE EDUCATION,COMP EDUC,ENGLAND,,X,,
COMPARATIVE EDUCATION REVIEW,COMP EDUC REV,UNITED STATES,,X,,
COMPARATIVE EUROPEAN POLITICS,COMP EUR POLIT,ENGLAND,,X,,
COMPARATIVE EXERCISE PHYSIOLOGY,COMP EXERC PHYSIOL,NETHERLANDS,,,,X
COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES,COMP IMMUNOL MICROB,ENGLAND,X,,,
COMPARATIVE IMMUNOLOGY REPORTS,COMP IMMUNOL REP,ENGLAND,,,,X
COMPARATIVE LEGAL HISTORY,COMP LEG HIST,ENGLAND,,,,X
COMPARATIVE LITERATURE,COMP LITERATURE,UNITED STATES,,,X,
COMPARATIVE LITERATURE STUDIES,COMP LITERATURE STUD,UNITED STATES,,,X,
COMPARATIVE LITERATURE-EAST & WEST,COMP LIT- E W,PEOPLES R CHINA,,,,X
COMPARATIVE MIGRATION STUDIES,COMP MIGR STUD,SWITZERLAND,,X,,
COMPARATIVE PARASITOLOGY,COMP PARASITOL,UNITED STATES,X,,,
COMPARATIVE PHILOSOPHY-AN INTERNATIONAL JOURNAL OF CONSTRUCTIVE ENGAGEMENT OF DISTINCT APPROACHES TOWARD WORLD PHILOSOPHY,COMP PHILOS,UNITED STATES,,,,X
COMPARATIVE POLITICAL STUDIES,COMP POLIT STUD,UNITED STATES,,X,,
COMPARATIVE POLITICS,COMP POLIT,UNITED STATES,,X,,
COMPARATIVE POPULATION STUDIES,COMP POPUL STUD,GERMANY,,,,X
COMPARATIVE SOCIOLOGY,COMP SOCIOL,NETHERLANDS,,,,X
COMPARATIVE SOUTHEAST EUROPEAN STUDIES,COMP SE EUR STUD,GERMANY,,,,X
COMPARATIVE STUDIES IN SOCIETY AND HISTORY,COMP STUD SOC HIST,UNITED STATES,,X,X,
COMPARATIVE STUDIES OF SOUTH ASIA AFRICA AND THE MIDDLE EAST,COMP STUD SOUTH ASIA,UNITED STATES,,,,X
COMPARE-A JOURNAL OF COMPARATIVE AND INTERNATIONAL EDUCATION,COMPARE,ENGLAND,,X,,
COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,COMPEL,ENGLAND,X,,,
COMPETITION & CHANGE,COMPET CHANG,ENGLAND,,X,,
COMPETITIVENESS REVIEW,COMPET REV,ENGLAND,,,,X
COMPLEMENTARY MEDICINE RESEARCH,COMPLEMENT MED RES,GERMANY,X,,,
COMPLEMENTARY THERAPIES IN CLINICAL PRACTICE,COMPLEMENT THER CLIN,NETHERLANDS,X,,,
COMPLEMENTARY THERAPIES IN MEDICINE,COMPLEMENT THER MED,ENGLAND,X,,,
COMPLEX & INTELLIGENT SYSTEMS,COMPLEX INTELL SYST,SAUDI ARABIA,X,,,
COMPLEX ANALYSIS AND OPERATOR THEORY,COMPLEX ANAL OPER TH,SWITZERLAND,X,,,
COMPLEX MANIFOLDS,COMPLEX MANIFOLDS,POLAND,,,,X
COMPLEX SYSTEM MODELING AND SIMULATION,COMPLEX SYST MODEL S,PEOPLES R CHINA,,,,X
COMPLEX SYSTEMS,COMPLEX SYST,UNITED STATES,,,,X
COMPLEX VARIABLES AND ELLIPTIC EQUATIONS,COMPLEX VAR ELLIPTIC,ENGLAND,X,,,
COMPLEXITY,COMPLEXITY,UNITED STATES,X,,,
COMPLUTENSE JOURNAL OF ENGLISH STUDIES,COMPLUT J ENGL STUD,SPAIN,,,,X
COMPLUTUM,COMPLUTUM,SPAIN,,,X,
COMPOSITE INTERFACES,COMPOS INTERFACE,NETHERLANDS,X,,,
COMPOSITE STRUCTURES,COMPOS STRUCT,ENGLAND,X,,,
COMPOSITES AND ADVANCED MATERIALS,COMPOS ADV MATER,ENGLAND,X,,,
COMPOSITES COMMUNICATIONS,COMPOS COMMUN,ENGLAND,X,,,
COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING,COMPOS PART A-APPL S,ENGLAND,X,,,
COMPOSITES PART B-ENGINEERING,COMPOS PART B-ENG,ENGLAND,X,,,
COMPOSITES PART C: OPEN ACCESS,COMPOS PART C-OPEN,NETHERLANDS,,,,X
COMPOSITES RESEARCH,COMPOS RES,SOUTH KOREA,,,,X
COMPOSITES SCIENCE AND TECHNOLOGY,COMPOS SCI TECHNOL,ENGLAND,X,,,
COMPOSITES THEORY AND PRACTICE,COMPOS THEORY PRACT,POLAND,,,,X
COMPOSITES-MECHANICS COMPUTATIONS APPLICATIONS,COMPOS-MECH COMPUT A,UNITED STATES,,,,X
COMPOSITIO MATHEMATICA,COMPOS MATH,NETHERLANDS,X,,,
COMPOST SCIENCE & UTILIZATION,COMPOST SCI UTIL,UNITED STATES,X,,,
COMPOUNDS,COMPOUNDS-BASEL,SWITZERLAND,,,,X
COMPREHENSIVE CHILD AND ADOLESCENT NURSING-BUILDING EVIDENCE FOR PRACTICE,COMPR CHILD ADOLES N,UNITED STATES,,,,X
COMPREHENSIVE PHYSIOLOGY,COMPR PHYSIOL,UNITED STATES,X,,,
COMPREHENSIVE PLANT BIOLOGY,COMPR PLANT BIOL,SERBIA,X,,,
COMPREHENSIVE PSYCHIATRY,COMPR PSYCHIAT,UNITED STATES,X,X,,
COMPREHENSIVE PSYCHONEUROENDOCRINOLOGY,COMPR PSYCHONEUROEND,ENGLAND,,,,X
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,COMPR REV FOOD SCI F,UNITED STATES,X,,,
COMPTABILITE CONTROLE AUDIT,COMPTAB CONTROL AUDI,FRANCE,,X,,
COMPTES RENDUS BIOLOGIES,CR BIOL,FRANCE,X,,,
COMPTES RENDUS CHIMIE,CR CHIM,FRANCE,X,,,
COMPTES RENDUS DE L ACADEMIE BULGARE DES SCIENCES,CR ACAD BULG SCI,BULGARIA,X,,,
COMPTES RENDUS GEOSCIENCE,CR GEOSCI,FRANCE,X,,,
COMPTES RENDUS MATHEMATIQUE,CR MATH,FRANCE,X,,,
COMPTES RENDUS MECANIQUE,CR MECANIQUE,FRANCE,X,,,
COMPTES RENDUS PALEVOL,CR PALEVOL,FRANCE,X,,,
COMPTES RENDUS PHYSIQUE,CR PHYS,FRANCE,X,,,
COMPUTABILITY-THE JOURNAL OF THE ASSOCIATION CIE,COMPUTABILITY,NETHERLANDS,,,,X
COMPUTACION Y SISTEMAS,COMPUT SIST,MEXICO,,,,X
COMPUTATION,COMPUTATION,SWITZERLAND,,,,X
COMPUTATIONAL & APPLIED MATHEMATICS,COMPUT APPL MATH,BRAZIL,X,,,
COMPUTATIONAL AND MATHEMATICAL METHODS,COMPUT MATH METHODS,ENGLAND,,,,X
COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY,COMPUT MATH ORGAN TH,UNITED STATES,X,X,,
COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,COMPUT STRUCT BIOTEC,SWEDEN,X,,,
COMPUTATIONAL AND THEORETICAL CHEMISTRY,COMPUT THEOR CHEM,NETHERLANDS,X,,,
COMPUTATIONAL BIOLOGY AND CHEMISTRY,COMPUT BIOL CHEM,ENGLAND,X,,,
COMPUTATIONAL COMPLEXITY,COMPUT COMPLEX,SWITZERLAND,X,,,
COMPUTATIONAL CONDENSED MATTER,COMPUT CONDENS MATTE,NETHERLANDS,,,,X
COMPUTATIONAL ECONOMICS,COMPUT ECON,NETHERLANDS,X,X,,
COMPUTATIONAL GEOMETRY-THEORY AND APPLICATIONS,COMP GEOM-THEOR APPL,NETHERLANDS,X,,,
COMPUTATIONAL GEOSCIENCES,COMPUTAT GEOSCI,NETHERLANDS,X,,,
COMPUTATIONAL INTELLIGENCE,COMPUT INTELL-US,UNITED STATES,X,,,
COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST,UNITED STATES,X,X,X,
COMPUTATIONAL MANAGEMENT SCIENCE,COMPUT MANAG SCI,GERMANY,,,,X
COMPUTATIONAL MATERIALS SCIENCE,COMP MATER SCI,NETHERLANDS,X,,,
COMPUTATIONAL MATHEMATICS AND MATHEMATICAL PHYSICS,COMP MATH MATH PHYS+,BRITISH VIRGIN ISL,X,,,
COMPUTATIONAL MECHANICS,COMPUT MECH,GERMANY,X,,,
COMPUTATIONAL METHODS AND FUNCTION THEORY,COMPUT METH FUNCT TH,GERMANY,X,,,
COMPUTATIONAL METHODS FOR DIFFERENTIAL EQUATIONS,COMPUT METHODS DIFFE,IRAN,,,,X
COMPUTATIONAL METHODS IN APPLIED MATHEMATICS,COMPUT METH APPL MAT,GERMANY,X,,,
COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,COMPUT OPTIM APPL,UNITED STATES,X,,,
