JournalFullName,ISSN,2022IF,2022AI,
CURRENT RESEARCH IN NUTRITION AND FOOD SCIENCE,2347-467X,0.8,0.179,
CURRENT RESEARCH IN SOCIAL PSYCHOLOGY,1088-7423,0.2,0.093,
CURRENT RESEARCH IN STRUCTURAL BIOLOGY,2665-928X,2.8,0.766,
CURRENT RESEARCH IN TOXICOLOGY,2666-027X,3.3,0.625,
CURRENT RESEARCH IN TRANSLATIONAL MEDICINE,2452-3186,4.1,0.805,
CURRENT RESPIRATORY MEDICINE REVIEWS,1573-398X,0.2,0.029,
CURRENT REVIEWS IN CLINICAL AND EXPERIMENTAL PHARMACOLOGY,2772-4328,1.1,0.25,
CURRENT REVIEWS IN MUSCULOSKELETAL MEDICINE,1935-973X,4.1,1.392,
CURRENT RHEUMATOLOGY REPORTS,1523-3774,5,1.354,
CURRENT RHEUMATOLOGY REVIEWS,1573-3971,1.5,0.427,
CURRENT SCIENCE,0011-3891,1,0.224,
CURRENT SEXUAL HEALTH REPORTS,1548-3584,2,0,
CURRENT SLEEP MEDICINE REPORTS,2198-6401,1.8,0,
CURRENT SOCIOLOGY,0011-3921,2,1.025,
CURRENT SPORTS MEDICINE REPORTS,1537-890X,1.8,0.579,
CURRENT STEM CELL REPORTS,2198-7866,1.4,0.393,
CURRENT STEM CELL RESEARCH & THERAPY,1574-888X,2.7,0.502,
CURRENT SURGERY REPORTS,2167-4817,0.6,0.204,
CURRENT THERAPEUTIC RESEARCH-CLINICAL AND EXPERIMENTAL,0011-393X,1.9,0.431,
CURRENT TOPICS IN MEDICINAL CHEMISTRY,1568-0266,3.4,0.517,
CURRENT TOPICS IN NUTRACEUTICAL RESEARCH,1540-7535,0.5,0.053,
CURRENT TRADITIONAL MEDICINE,2215-0838,0.6,0.072,
CURRENT TRANSPLANTATION REPORTS,2196-3029,2.1,0,
CURRENT TRAUMA REPORTS,2198-6096,0.7,0.215,
CURRENT TREATMENT OPTIONS IN ALLERGY,2196-3053,1.1,0,
CURRENT TREATMENT OPTIONS IN INFECTIOUS DISEASES,1534-6250,2,0,
CURRENT TREATMENT OPTIONS IN NEUROLOGY,1092-8480,2,0.861,
CURRENT TREATMENT OPTIONS IN ONCOLOGY,1527-2729,4.3,1.13,
CURRENT TREATMENT OPTIONS IN RHEUMATOLOGY,2198-6002,1.2,0,
CURRENT TRENDS IN TRANSLATION TEACHING AND LEARNING E,2342-7205,0.5,0.249,
CURRENT TROPICAL MEDICINE REPORTS,2196-3045,5.4,0,
CURRENT UROLOGY,1661-7649,1.6,0,
CURRENT UROLOGY REPORTS,1527-2737,2.6,0.785,
CURRENT VASCULAR PHARMACOLOGY,1570-1611,4.5,0.711,
CURRENT WOMENS HEALTH REVIEWS,1573-4048,0.4,0.086,
CURRENT WRITING-TEXT AND RECEPTION IN SOUTHERN AFRICA,1013-929X,0.1,0.079,
CURRENT ZOOLOGY,1674-5507,2.2,0.708,
CURRENTS IN BIBLICAL RESEARCH,1476-993X,0.6,1.3,
CURRENTS IN PHARMACY TEACHING AND LEARNING,1877-1297,1.2,0.399,
CURRICULUM INQUIRY,0362-6784,1.7,1.007,
CURRICULUM JOURNAL,0958-5176,1.6,0.555,
CURRICULUM MATTERS,1177-1828,0.1,0.16,
CURRICULUM STUDIES IN HEALTH AND PHYSICAL EDUCATION,2574-2981,1.9,0,
CURVED AND LAYERED STRUCTURES,2353-7396,1.5,0.186,
CUSTOS E AGRONEGOCIO ON LINE,1808-2882,0.3,0.037,
CUTANEOUS AND OCULAR TOXICOLOGY,1556-9527,1.6,0.296,
CUTIS,0011-4162,1.6,0.402,
CVIR ENDOVASCULAR,2520-8934,1.2,0.381,
CYBERGEO-EUROPEAN JOURNAL OF GEOGRAPHY,1278-3366,0.4,0.123,
CYBERNETICS AND INFORMATION TECHNOLOGIES,1311-9702,1.2,0.16,
CYBERNETICS AND SYSTEMS,0196-9722,1.7,0.267,
CYBERNETICS AND SYSTEMS ANALYSIS,1060-0396,0.5,0.051,
CYBERPSYCHOLOGY BEHAVIOR AND SOCIAL NETWORKING,2152-2715,6.6,1.538,
CYBERPSYCHOLOGY-JOURNAL OF PSYCHOSOCIAL RESEARCH ON CYBERSPACE,1802-7962,2.9,1.151,
CYBERSECURITY,2523-3246,3.1,0.775,
CYBIUM,0399-0974,0.7,0.167,
CYPRUS JOURNAL OF MEDICAL SCIENCES,2149-7893,0.3,0.047,
CYTA-JOURNAL OF FOOD,1947-6337,2.1,0.33,
CYTOGENETIC AND GENOME RESEARCH,1424-8581,1.7,0.324,
CYTOJOURNAL,0974-5963,1.9,0.499,
CYTOKINE,1043-4666,3.8,0.742,
CYTOKINE & GROWTH FACTOR REVIEWS,1359-6101,13,2.126,
CYTOLOGIA,0011-4545,1,0.083,
CYTOLOGY AND GENETICS,0095-4527,0.5,0.088,
CYTOMETRY PART A,1552-4922,3.7,0.955,
CYTOMETRY PART B-CLINICAL CYTOMETRY,1552-4949,3.4,0.665,
CYTOPATHOLOGY,0956-5507,1.3,0.364,
CYTOSKELETON,1949-3584,2.9,0.763,
CYTOTECHNOLOGY,0920-9069,2.2,0.369,
CYTOTHERAPY,1465-3249,4.5,1.053,
CZECH JOURNAL OF ANIMAL SCIENCE,1212-1819,1.2,0.17,
CZECH JOURNAL OF FOOD SCIENCES,1212-1800,1.3,0.228,
CZECH JOURNAL OF GENETICS AND PLANT BREEDING,1212-1975,0.9,0.172,
CZECH JOURNAL OF INTERNATIONAL RELATIONS-MEZINARODNI VZTAHY,0323-1844,0.4,0,
CZECH POLAR REPORTS,1805-0689,1,0,
CZECH-POLISH HISTORICAL AND PEDAGOGICAL JOURNAL,1803-6546,0.1,0.067,
CZECHOSLOVAK MATHEMATICAL JOURNAL,0011-4642,0.5,0.247,
DACOROMANIA,1582-4438,0,0,
DADOS-REVISTA DE CIENCIAS SOCIAIS,0011-5258,0.5,0.406,
DAEDALUS,0011-5266,1.7,1.273,
DAIMON-REVISTA INTERNACIONAL DE FILOSOFIA,1130-0507,0.2,0.182,
DALHOUSIE JOURNAL OF INTERDISCIPLINARY MANAGEMENT,1923-6530,0,0.083,
DALHOUSIE REVIEW,0011-5827,0,0.128,
DALTON TRANSACTIONS,1477-9226,4,0.576,
DANCE CHRONICLE,0147-2526,0.4,0.362,
DANCE MAGAZINE,0011-6009,0.1,0.031,
DANCE RESEARCH,0264-2875,0.3,0.286,
DANCE RESEARCH JOURNAL,0149-7677,0.6,0.459,
DANISH MEDICAL JOURNAL,2245-1919,1.6,0.429,
DANZA E RICERCA-LABORATORIO DI STUDI SCRITTURE VISIONI,2036-1599,0,0.024,
DAO-A JOURNAL OF COMPARATIVE PHILOSOPHY,1540-3009,0.4,0.373,
DAPHNIS-ZEITSCHRIFT FUR MITTLERE DEUTSCHE LITERATUR,0300-693X,0.1,0.142,
DARU-JOURNAL OF PHARMACEUTICAL SCIENCES,2008-2231,3.6,0.634,
DATA,2306-5729,2.6,0.615,
DATA & KNOWLEDGE ENGINEERING,0169-023X,2.5,0.377,
DATA & POLICY,2632-3249,2.6,0.691,
DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS,0095-0033,2.8,0.612,
DATA IN BRIEF,2352-3409,1.2,0.195,
DATA INTELLIGENCE,2641-435X,3.9,0.896,
DATA MINING AND KNOWLEDGE DISCOVERY,1384-5810,4.8,1.268,
DATA SCIENCE AND ENGINEERING,2364-1185,4.2,0.782,
DATA TECHNOLOGIES AND APPLICATIONS,2514-9288,1.6,0.311,
DATA-CENTRIC ENGINEERING,2632-6736,3.6,0.672,
DATABASE-THE JOURNAL OF BIOLOGICAL DATABASES AND CURATION,1758-0463,5.8,1.427,
DDS-DIE DEUTSCHE SCHULE,0012-0731,0.4,0.075,
DE ARTE,0004-3389,0.1,0.111,
DE COMPUTIS-REVISTA ESPANOLA DE HISTORIA DE LA CONTABILIDAD,1886-1881,0.2,0.069,
DE MEDIO AEVO,2255-5889,0.2,0.201,
DEAD SEA DISCOVERIES,0929-0761,0.1,0.376,
DEAFNESS & EDUCATION INTERNATIONAL,1464-3154,1.4,0.438,
DEARQ,2215-969X,0.3,0.109,
DEATH STUDIES,0748-1187,3.8,0.697,
DEBATES,1414-7939,0.1,0.05,
DEBATES EN SOCIOLOGIA,0254-9220,0.2,0.046,
DEBATS-REVISTA DE CULTURA PODER I SOCIETAT,0212-0585,0.4,0.175,
DECISION,0304-0941,1.5,0.238,
DECISION ANALYSIS,1545-8490,1.9,0.6,
DECISION SCIENCE LETTERS,1929-5804,1.9,0,
DECISION SCIENCES,0011-7315,5.5,1.126,
DECISION SCIENCES-JOURNAL OF INNOVATIVE EDUCATION,1540-4595,1.9,0.249,
DECISION SUPPORT SYSTEMS,0167-9236,7.5,1.539,
DECISION-WASHINGTON,2325-9965,1.5,0,
DECISIONS IN ECONOMICS AND FINANCE,1593-8883,1.1,0.23,
DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,0967-0637,2.4,0.813,
DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,0967-0645,3,0.777,
DEFENCE AND PEACE ECONOMICS,1024-2694,1.6,0.438,
DEFENCE AND SECURITY ANALYSIS,1475-1798,0.6,0.262,
DEFENCE SCIENCE JOURNAL,0011-748X,0.9,0.117,
DEFENCE TECHNOLOGY,2096-3459,5.1,0.751,
DEGENERATIVE NEUROLOGICAL AND NEUROMUSCULAR DISEASE,1179-9900,4,1.344,
DEGRES-REVUE DE SYNTHESE A ORIENTATION SEMIOLOGIQUE,0376-8163,0.1,0.013,
DELEUZE AND GUATTARI STUDIES,2398-9777,0.2,0.247,
DEMENTIA AND GERIATRIC COGNITIVE DISORDERS,1420-8008,2.4,0.744,
DEMENTIA AND GERIATRIC COGNITIVE DISORDERS EXTRA,1664-5464,2.3,0.743,
DEMENTIA-INTERNATIONAL JOURNAL OF SOCIAL RESEARCH AND PRACTICE,1471-3012,2.4,0.609,
DEMOCRACY & SECURITY,1741-9166,0.5,0.484,
DEMOCRATIC THEORY-AN INTERDISCIPLINARY JOURNAL,2332-8894,2.9,0.848,
DEMOCRATIZATION,1351-0347,3.2,1.564,
DEMOGRAFIE,0011-8265,0.5,0.101,
DEMOGRAPHIC RESEARCH,1435-9871,2.1,1.038,
DEMOGRAPHY,0070-3370,3.5,2.685,
DEMONSTRATIO MATHEMATICA,0420-1213,2,0.348,
DENDROBIOLOGY,1641-1307,0.9,0.185,
DENDROCHRONOLOGIA,1125-7865,3,0.629,
DENKMALPFLEGE,0947-031X,0.1,0,
DENTAL AND MEDICAL PROBLEMS,1644-387X,2.6,0.276,
DENTAL CADMOS,0011-8524,,,
"DENTISTRY, ORAL SURGERY & MEDICINE - ESCI",90,0,57,
DENTAL HYPOTHESES,2155-8213,0.5,0,
DENTAL MATERIALS,0109-5641,5,1.036,
DENTAL MATERIALS JOURNAL,0287-4547,2.5,0.443,
DENTAL TRAUMATOLOGY,1600-4469,2.5,0.467,
DENTISTRY JOURNAL,2304-6767,2.6,0,
DENTOMAXILLOFACIAL RADIOLOGY,0250-832X,3.3,0.657,
DENVER LAW REVIEW,2469-6463,0.4,0.321,
DEPARTURES IN CRITICAL QUALITATIVE RESEARCH,2333-9497,0.3,0.167,
DEPENDENCE MODELING,2300-2298,0.7,0.485,
DEPOSITIONAL RECORD,2055-4877,2.4,0.812,
DEPRESSION AND ANXIETY,1091-4269,7.4,2.376,
DERECHO PENAL Y CRIMINOLOGIA,0121-0483,0.1,0.014,
DERECHO PUCP,0251-3420,0.1,0.078,
DERECHO Y CIENCIAS SOCIALES,1853-0982,0.1,0.09,
DERECHOS Y LIBERTADES,1133-0937,0.2,0.057,
DERMATITIS,1710-3568,5.2,1.244,
DERMATOLOGIC CLINICS,0733-8635,2.4,0.953,
DERMATOLOGIC SURGERY,1076-0512,2.4,0.65,
DERMATOLOGIC THERAPY,1396-0296,3.6,0.681,
DERMATOLOGICA SINICA,1027-8117,2.5,0.325,
DERMATOLOGIE,2731-7005,0.8,0.14,
DERMATOLOGIE IN BERUF UND UMWELT,1438-776X,0.6,0,
DERMATOLOGY,1018-8665,3.4,0.913,
DERMATOLOGY AND THERAPY,2193-8210,3.4,0.821,
DERMATOLOGY PRACTICAL & CONCEPTUAL,2160-9381,2.8,0,
DERMATOLOGY REPORTS,2036-7392,1.1,0.222,
DERMATOLOGY RESEARCH AND PRACTICE,1687-6105,1.5,0.498,
DERMATOPATHOLOGY,2296-3529,1.9,0.301,
DERRIDA TODAY,1754-8500,0.2,0.199,
DESAFIOS,0124-4035,0.6,0.315,
DESALINATION,0011-9164,9.9,1.225,
DESALINATION AND WATER TREATMENT,1944-3994,1.1,0.113,
DESDE EL JARDIN DE FREUD-REVISTA DE PSICOANALISIS,1657-3986,0,0.032,
DESENVOLVIMENTO E MEIO AMBIENTE,1518-952X,0.5,0.168,
DESIDOC JOURNAL OF LIBRARY & INFORMATION TECHNOLOGY,0974-0643,0.9,0.143,
DESIGN AND CULTURE,1754-7075,0.7,0.519,
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,0929-5585,1.4,0.273,
DESIGN JOURNAL,1460-6925,1,0.195,
DESIGN SCIENCE,2053-4701,2.4,0.646,
DESIGN STUDIES,0142-694X,3.5,1.017,
DESIGNED MONOMERS AND POLYMERS,1385-772X,1.6,0.313,
DESIGNIS,1578-4223,0,0.041,
DESIGNS CODES AND CRYPTOGRAPHY,0925-1022,1.6,0.862,
DETRITUS,2611-4127,1.7,0.218,
DETUROPE-THE CENTRAL EUROPEAN JOURNAL OF REGIONAL DEVELOPMENT AND TOURISM,1821-2506,1,0.062,
DEUTSCH ALS FREMDSPRACHE-ZEITSCHRIFT ZUR THEORIE UND PRAXIS DES FACHES DEUTSCH ALS FREMDSPRACHE,0011-9741,0,0,
DEUTSCHE ENTOMOLOGISCHE ZEITSCHRIFT,1435-1951,0.8,0.272,
DEUTSCHE MEDIZINISCHE WOCHENSCHRIFT,0012-0472,0.6,0.095,
DEUTSCHE SPRACHE,0340-9341,0.2,0.167,
DEUTSCHE VIERTELJAHRSSCHRIFT FUR LITERATURWISSENSCHAFT UND GEISTESGESCHICHTE,0012-0936,0.3,0.589,
DEUTSCHE ZEITSCHRIFT FUR AKUPUNKTUR,0415-6412,0.1,0.014,
DEUTSCHE ZEITSCHRIFT FUR PHILOSOPHIE,0012-1045,0.2,0.107,
DEUTSCHES ARZTEBLATT INTERNATIONAL,1866-0452,7.7,1.787,
DEVELOPING ECONOMIES,0012-1533,2.2,0.404,
DEVELOPING WORLD BIOETHICS,1471-8731,2.2,0.68,
DEVELOPMENT,0950-1991,4.6,2.478,
DEVELOPMENT AND CHANGE,0012-155X,3,1.441,
DEVELOPMENT AND PSYCHOPATHOLOGY,0954-5794,3.3,1.317,
DEVELOPMENT GENES AND EVOLUTION,0949-944X,2.4,0.492,
DEVELOPMENT GROWTH & DIFFERENTIATION,0012-1592,2.5,0.805,
DEVELOPMENT IN PRACTICE,0961-4524,1,0.282,
DEVELOPMENT POLICY REVIEW,0950-6764,1.7,0.583,
DEVELOPMENT SOUTHERN AFRICA,0376-835X,1.4,0.375,
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,0145-305X,2.9,0.548,
DEVELOPMENTAL BIOLOGY,0012-1606,2.7,1.047,
DEVELOPMENTAL CELL,1534-5807,11.8,5.453,
DEVELOPMENTAL COGNITIVE NEUROSCIENCE,1878-9293,4.7,2.585,
DEVELOPMENTAL DYNAMICS,1058-8388,2.5,0.825,
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,0012-1622,3.8,1.328,
DEVELOPMENTAL NEUROBIOLOGY,1932-8451,3,1.171,
DEVELOPMENTAL NEUROPSYCHOLOGY,8756-5641,1.5,0.616,
DEVELOPMENTAL NEUROREHABILITATION,1751-8423,1.3,0.425,
DEVELOPMENTAL NEUROSCIENCE,0378-5866,2.9,0.71,
DEVELOPMENTAL PSYCHOBIOLOGY,0012-1630,2.2,0.644,
DEVELOPMENTAL PSYCHOLOGY,0012-1649,4,1.776,
DEVELOPMENTAL REVIEW,0273-2297,6.6,3.31,
DEVELOPMENTAL SCIENCE,1363-755X,3.7,1.85,
DEVELOPMENTS IN THE BUILT ENVIRONMENT,2666-1659,8.2,1.32,
DEVELOPPEMENT DURABLE & TERRITOIRES,1772-9971,0.4,0.071,
DEVIANCE ET SOCIETE,0378-7931,0.2,0.497,
DEVIANT BEHAVIOR,0163-9625,1.6,0.505,
DEVICES AND METHODS OF MEASUREMENTS,2220-9506,0.4,0.045,
DIABETES,0012-1797,7.7,2.549,
DIABETES & METABOLIC SYNDROME-CLINICAL RESEARCH & REVIEWS,1871-4021,10,1.184,
DIABETES & METABOLISM,1262-3636,7.2,1.518,
DIABETES & METABOLISM JOURNAL,2233-6079,5.9,1.19,
DIABETES & VASCULAR DISEASE RESEARCH,1479-1641,2.4,0.713,
DIABETES CARE,0149-5992,16.2,5.56,
DIABETES EDUCATOR,0145-7217,3.9,0.968,
DIABETES MELLITUS,2072-0351,0.5,0.053,
DIABETES METABOLIC SYNDROME AND OBESITY-TARGET & THERAPY,1178-7007,3.3,0.717,
DIABETES OBESITY & METABOLISM,1462-8902,5.8,1.815,
DIABETES RESEARCH AND CLINICAL PRACTICE,0168-8227,5.1,1.44,
DIABETES STOFFWECHSEL UND HERZ,1861-7603,0.2,0.024,
DIABETES TECHNOLOGY & THERAPEUTICS,1520-9156,5.4,2.166,
DIABETES THERAPY,1869-6953,3.8,1.024,
DIABETES-METABOLISM RESEARCH AND REVIEWS,1520-7552,8,1.478,
DIABETIC MEDICINE,0742-3071,3.5,1.257,
DIABETOLOGIA,0012-186X,8.2,3.034,
DIABETOLOGIE,2731-7447,0.4,0.049,
DIABETOLOGIE UND STOFFWECHSEL,1861-9002,0.7,0.075,
DIABETOLOGY & METABOLIC SYNDROME,1758-5996,4.8,1.009,
DIABETOLOGY INTERNATIONAL,2190-1678,2.2,0.522,
DIACHRONICA,0176-4225,0.7,0.494,
DIACRITICS-A REVIEW OF CONTEMPORARY CRITICISM,0300-7162,0.1,0.498,
DIAGNOSIS,2194-8011,3.5,0.982,
DIAGNOSTIC AND INTERVENTIONAL IMAGING,2211-5684,5.5,0.866,
DIAGNOSTIC AND INTERVENTIONAL RADIOLOGY,1305-3612,2.1,0.537,
DIAGNOSTIC CYTOPATHOLOGY,8755-1039,1.3,0.319,
DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE,0732-8893,2.9,0.662,
DIAGNOSTIC PATHOLOGY,1746-1596,2.6,0.605,
DIAGNOSTICA,0012-1924,0.7,0.354,
DIAGNOSTICS,2075-4418,3.6,0.668,
DIALECTICAL ANTHROPOLOGY,0304-4092,1.1,0.585,
DIALECTOLOGIA,2013-2247,0.1,0.06,
DIALECTOLOGIA ET GEOLINGUISTICA,0942-4040,0,0.079,
DIALOG SO VREMENEM-DIALOGUE WITH TIME,2073-7564,0.2,0.219,
DIALOG-A JOURNAL OF THEOLOGY,0012-2033,0.2,0.166,
DIALOGIA,1677-1303,0.2,0.077,
DIALOGIC PEDAGOGY,2325-3290,0.9,0.285,
DIALOGO,1519-3640,0.2,0.137,
DIALOGO DAS LETRAS,2316-1795,0,1.00E-03,
DIALOGUE-CANADIAN PHILOSOPHICAL REVIEW,0012-2173,0.3,0.185,
DIALOGUES IN CLINICAL NEUROSCIENCE,1294-8322,8.3,3.212,
DIALOGUES IN HUMAN GEOGRAPHY,2043-8206,27.5,8.639,
DIALOGUES IN PHILOSOPHY MENTAL AND NEURO SCIENCES,2035-0031,0.3,0.033,
DIAMETROS,1733-5566,0.3,0.137,
DIAMOND AND RELATED MATERIALS,0925-9635,4.1,0.493,
DIASPORA STUDIES,0973-9572,1,0,
DIATOM RESEARCH,0269-249X,1.8,0.415,
DICENDA-CUADERNOS DE FILOLOGIA HISPANICA,0212-2952,0,0.094,
DICKENS QUARTERLY,0742-5473,0.6,0.068,
DICKENS STUDIES ANNUAL,0084-9812,0.8,0,
DICKENSIAN,0012-2440,0.5,0.128,
DIDACTICA DE LAS CIENCIAS EXPERIMENTALES Y SOCIALES,0214-4379,0.2,0.139,
DIDACTICA-LENGUA Y LITERATURA,1130-0531,0.2,0.06,
DIFFERENCES-A JOURNAL OF FEMINIST CULTURAL STUDIES,1040-7391,0.3,0.531,
DIFFERENTIAL AND INTEGRAL EQUATIONS,0893-4983,1.4,0.659,
DIFFERENTIAL EQUATIONS,0012-2661,0.6,0.221,
DIFFERENTIAL EQUATIONS & APPLICATIONS,1847-120X,0.3,0.229,
DIFFERENTIAL EQUATIONS AND DYNAMICAL SYSTEMS,0971-3514,1,0.254,
DIFFERENTIAL GEOMETRY AND ITS APPLICATIONS,0926-2245,0.5,0.378,
DIFFERENTIATION,0301-4681,2.9,0.686,
DIGEST JOURNAL OF NANOMATERIALS AND BIOSTRUCTURES,1842-3582,0.9,0.097,
DIGEST OF MIDDLE EAST STUDIES,1060-4367,0.4,0.157,
DIGESTION,0012-2823,3.2,0.775,
DIGESTIVE AND LIVER DISEASE,1590-8658,4.5,1.085,
DIGESTIVE DISEASES,0257-2753,2.3,0.626,
DIGESTIVE DISEASES AND SCIENCES,0163-2116,3.1,0.861,
DIGESTIVE ENDOSCOPY,0915-5635,5.3,1.534,
DIGESTIVE SURGERY,0253-4886,2.7,0.676,
DIGITAL COMMUNICATIONS AND NETWORKS,2468-5925,7.9,1.255,
DIGITAL CREATIVITY,1462-6268,1.1,0.176,
DIGITAL EDUCATION REVIEW,2013-9144,2.1,0.347,
DIGITAL HEALTH,2055-2076,3.9,1.108,
DIGITAL HUMANITIES QUARTERLY,1938-4122,0.4,0.23,
DIGITAL JOURNALISM,2167-0811,5.4,2.117,
DIGITAL LIBRARY PERSPECTIVES,2059-5816,1.7,0.31,
DIGITAL POLICY REGULATION AND GOVERNANCE,2398-5038,1.8,0.393,
DIGITAL SCHOLARSHIP IN THE HUMANITIES,2055-7671,0.8,0.379,
DIGITAL SIGNAL PROCESSING,1051-2004,2.9,0.673,
DIGITHUM,1575-2275,0.4,0.139,
DIMENSION EMPRESARIAL,1692-8563,0.2,0.056,
DIMENSIONS OF CRITICAL CARE NURSING,0730-4625,1.7,0.533,
DINBILIMLERI AKADEMIK ARASTIRMA DERGISI-JOURNAL OF ACADEMIC RESEARCH IN RELIGIOUS SCIENCES,1303-9199,0.1,0.059,
DIPLOMACY & STATECRAFT,0959-2296,0.4,0.383,
DIPLOMATIC HISTORY,0145-2096,0.4,0.639,
DIPLOMATICA,2589-1766,0.8,0.46,
DIRASAT HISPANICAS-REVISTA TUNECINA DE ESTUDIOS HISPANICOS,2286-5977,0,0.174,
DIRECCION Y ORGANIZACION,1132-175X,0.4,0.042,
DIREITO E PRAXIS,2179-8966,0.2,0.111,
DIRITTI UMANI E DIRITTO INTERNAZIONALE,1971-7105,0.1,0.045,
DISABILITY & SOCIETY,0968-7599,2.4,0.767,
DISABILITY AND HEALTH JOURNAL,1936-6574,4.5,1.289,
DISABILITY AND REHABILITATION,0963-8288,2.2,0.617,
DISABILITY AND REHABILITATION-ASSISTIVE TECHNOLOGY,1748-3107,2.2,0.442,
DISASTER MEDICINE AND PUBLIC HEALTH PREPAREDNESS,1935-7893,2.7,0.556,
DISASTER PREVENTION AND MANAGEMENT,0965-3562,1.9,0.495,
DISASTERS,0361-3666,3.2,0.944,
DISCOURS-REVUE DE LINGUISTIQUE PSYCHOLINGUISTIQUE ET INFORMATIQUE,1963-1723,0.5,0.596,
DISCOURSE & COMMUNICATION,1750-4813,1.9,0.953,
DISCOURSE & SOCIETY,0957-9265,2.2,1.061,
DISCOURSE CONTEXT & MEDIA,2211-6958,2,0.959,
DISCOURSE PROCESSES,0163-853X,2.2,1.039,
DISCOURSE STUDIES,1461-4456,1.8,1.053,
DISCOURSE-JOURNAL FOR THEORETICAL STUDIES IN MEDIA AND CULTURE,1522-5321,0.5,0.627,
DISCOURSE-STUDIES IN THE CULTURAL POLITICS OF EDUCATION,0159-6306,1.7,0.796,
DISCOVER ONCOLOGY,1868-8497,2.2,0.382,
DISCOVER SUSTAINABILITY,2662-9984,2.6,0.46,
DISCOVERY MEDICINE,1539-6509,1.4,0.55,
DISCRETE & COMPUTATIONAL GEOMETRY,0179-5376,0.8,0.812,
DISCRETE ANALYSIS,2397-3129,1.1,1.557,
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS,1078-0947,1.1,0.869,
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES B,1531-3492,1.2,0.515,
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES S,1937-1632,1.8,0.493,
DISCRETE APPLIED MATHEMATICS,0166-218X,1.1,0.54,
DISCRETE DYNAMICS IN NATURE AND SOCIETY,1026-0226,1.4,0.176,
DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,0924-6703,2,0.844,
DISCRETE MATHEMATICS,0012-365X,0.8,0.575,
DISCRETE MATHEMATICS ALGORITHMS AND APPLICATIONS,1793-8309,1.2,0.239,
DISCRETE MATHEMATICS AND APPLICATIONS,0924-9265,0.5,0.224,
DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,1462-7264,0.7,0.601,
DISCRETE MATHEMATICS LETTERS,2664-2557,0.8,0.302,
DISCRETE OPTIMIZATION,1572-5286,1.1,0.669,
DISCUSSIONES MATHEMATICAE GRAPH THEORY,1234-3099,0.7,0.341,
DISEASE MODELS & MECHANISMS,1754-8403,4.3,1.345,
DISEASES,2079-9721,3.7,0,
DISEASES OF AQUATIC ORGANISMS,0177-5103,1.4,0.343,
DISEASES OF THE COLON & RECTUM,0012-3706,3.9,1.422,
DISEASES OF THE ESOPHAGUS,1120-8694,2.6,0.971,
DISEGNARECON,1828-5961,0.2,0.128,
DISP,0251-3625,1.3,0.298,
DISPARIDADES-REVISTA DE ANTROPOLOGIA,2659-6881,0.1,0.089,
DISPLAYS,0141-9382,4.3,0.439,
DISPUTATIO-INTERNATIONAL JOURNAL OF PHILOSOPHY,0873-626X,0.3,0.373,
DISPUTATIO-PHILOSOPHICAL RESEARCH BULLETIN,2254-0601,0.1,0.089,
DISSENT,0012-3846,0.5,0.5,
DISSERTATIONES MATHEMATICAE,0012-3862,1.8,1.332,
DISSOLUTION TECHNOLOGIES,1521-298X,0.6,0.079,
DISTANCE EDUCATION,0158-7919,7.3,1.512,
DISTINKTION-JOURNAL OF SOCIAL THEORY,1600-910X,0.7,0,
DISTRIBUTED AND PARALLEL DATABASES,0926-8782,1.2,0.163,
DISTRIBUTED COMPUTING,0178-2770,1.3,0.726,
DIVERSITY AND DISTRIBUTIONS,1366-9516,4.6,1.403,
DIVERSITY-BASEL,1424-2818,2.4,0.527,
DIVING AND HYPERBARIC MEDICINE,1833-3516,0.9,0.838,
DIX-NEUF,1478-7318,0.1,0.265,
DIX-SEPTIEME SIECLE,0012-4273,0,0.098,
DIXI,0124-7255,0.1,0.053,
DIXIT,1688-3497,0,0.106,
DM DISEASE-A-MONTH,0011-5029,4,0.722,
DNA AND CELL BIOLOGY,1044-5498,3.1,0.506,
DNA REPAIR,1568-7864,3.8,1.347,
DNA RESEARCH,1340-2838,4.1,0.955,
DOCTOR VIRTUALIS-RIVISTA DI STORIA DELLA FILOSOFIA MEDIEVALE,2035-7362,0,0.104,
DOCUMENTA ET INSTRUMENTA,1697-4328,0,0.111,
DOCUMENTA MATHEMATICA,1431-0643,0.9,1.15,
DOCUMENTA OPHTHALMOLOGICA,0012-4486,1.4,0.371,
DOCUMENTACION DE LAS CIENCIAS DE LA INFORMACION,0210-4210,0.2,0.044,
DOCUMENTATION ET BIBLIOTHEQUES,0315-2340,0.2,0.007,
