Journal	JournalFullName	ISSN	2024IF	2024AI
COMMUN COMPUT PHYS	COMMUNICATIONS IN COMPUTATIONAL PHYSICS	1815-2406	3.1	1.199
COMMUN CONTEMP MATH	COMMUNICATIONS IN CONTEMPORARY MATHEMATICS	0219-1997	1.2	1.019
COMMUN CRIT-CULT STU	COMMUNICATION AND CRITICAL-CULTURAL STUDIES	1479-1420	1.4	0.786
COMMUN CULT CRIT	COMMUNICATION CULTURE & CRITIQUE	1753-9129	1.8	0.998
COMMUN DIS INTELL	COMMUNICABLE DISEASES INTELLIGENCE	N/A	1.6	0.394
COMMUN DISORD Q	COMMUNICATION DISORDERS QUARTERLY	1525-7401	0.6	0.297
COMMUN EARTH ENVIRON	COMMUNICATIONS EARTH & ENVIRONMENT	N/A	8.9	3.294
COMMUN EDUC	COMMUNICATION EDUCATION	0363-4523	0.8	0.372
COMMUN FAC SCI UNIV	COMMUNICATIONS FACULTY OF SCIENCES UNIVERSITY OF ANKARA-SERIES A1 MATHEMATICS AND STATISTICS	1303-5991	0.5	0.156
COMMUN INF LIT	COMMUNICATIONS IN INFORMATION LITERACY	1933-5954	1.1	0.291
COMMUN INF SYST	COMMUNICATIONS IN INFORMATION AND SYSTEMS	1526-7555	0.8	0.253
COMMUN KOREAN MATH S	COMMUNICATIONS OF THE KOREAN MATHEMATICAL SOCIETY	1225-1763	0.5	0.176
COMMUN LAW POLICY	COMMUNICATION LAW AND POLICY	1081-1680	0.2	0.077
COMMUN MATER	COMMUNICATIONS MATERIALS	N/A	9.6	2.353
COMMUN MATH APPL	COMMUNICATIONS IN MATHEMATICS AND APPLICATIONS	0976-5905	0.3	0.072
COMMUN MATH BIOL NEU	COMMUNICATIONS IN MATHEMATICAL BIOLOGY AND NEUROSCIENCE	2052-2541	0.8	0.118
COMMUN MATH PHYS	COMMUNICATIONS IN MATHEMATICAL PHYSICS	0010-3616	2.6	2.055
COMMUN MATH SCI	COMMUNICATIONS IN MATHEMATICAL SCIENCES	1539-6746	1.3	0.77
COMMUN MATH STAT	COMMUNICATIONS IN MATHEMATICS AND STATISTICS	2194-6701	1.0	0.478
COMMUN MED-LONDON	COMMUNICATIONS MEDICINE	2730-664X	6.3	2.39
COMMUN METHODS MEAS	COMMUNICATION METHODS AND MEASURES	1931-2458	3.7	3.109
COMMUN MONOGR	COMMUNICATION MONOGRAPHS	0363-7751	1.5	0.87
COMMUN NONLINEAR SCI	COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION	1007-5704	3.8	0.787
COMMUN NUMBER THEORY	COMMUNICATIONS IN NUMBER THEORY AND PHYSICS	1931-4523	1.7	1.103
COMMUN PART DIFF EQ	COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS	0360-5302	1.7	2.092
COMMUN PHYS-UK	COMMUNICATIONS PHYSICS	2399-3650	5.8	2.003
COMMUN PUBLIC	COMMUNICATION AND THE PUBLIC	2057-0473	1.5	1.361
COMMUN PUR APPL ANAL	COMMUNICATIONS ON PURE AND APPLIED ANALYSIS	1534-0392	0.9	0.602
COMMUN PUR APPL MATH	COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS	0010-3640	2.7	3.833
COMMUN Q	COMMUNICATION QUARTERLY	0146-3373	1.0	0.455
COMMUN REP	COMMUNICATION REPORTS	0893-4215	1.6	0.764
COMMUN RES	COMMUNICATION RESEARCH	0093-6502	3.2	2.093
COMMUN RES PRACT	COMMUNICATION RESEARCH AND PRACTICE	2204-1451	0.9	0.498
COMMUN RES REP	COMMUNICATION RESEARCH REPORTS	0882-4096	1.6	0.409
COMMUN REV	COMMUNICATION REVIEW	1071-4421	1.9	0.582
COMMUN SCI DISORD-CS	COMMUNICATION SCIENCES AND DISORDERS-CSD	2288-1328	0.5	0.053
COMMUN SOC-SPAIN	COMMUNICATION & SOCIETY-SPAIN	2386-7876	1.7	0.406
COMMUN SOIL SCI PLAN	COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS	0010-3624	1.4	0.252
COMMUN SPORT	COMMUNICATION & SPORT	2167-4795	2.8	0.952
COMMUN STAT APPL MET	COMMUNICATIONS FOR STATISTICAL APPLICATIONS AND METHODS	2287-7843	0.6	0.173
COMMUN STAT-SIMUL C	COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION	0361-0918	0.8	0.285
COMMUN STAT-THEOR M	COMMUNICATIONS IN STATISTICS-THEORY AND METHODS	0361-0926	0.8	0.271
COMMUN STUD	COMMUNICATION STUDIES	1051-0974	1.3	0.516
COMMUN TEACH	COMMUNICATION TEACHER	1740-4622	0.4	0.12
COMMUN THEOR	COMMUNICATION THEORY	1050-3293	6.2	2.065
COMMUN THEOR PHYS	COMMUNICATIONS IN THEORETICAL PHYSICS	0253-6102	2.9	0.435
COMMUN TODAY	COMMUNICATION TODAY	1338-130X	1.6	0.259
COMMUN TRANSP RES	COMMUNICATIONS IN TRANSPORTATION RESEARCH	2772-4247	14.5	3.282
COMMUNICARE	COMMUNICARE-JOURNAL FOR COMMUNICATION SCIENCES IN SOUTHERN AFRICA	0259-0069	0.7	0.121
COMMUNICATIONS-GER	COMMUNICATIONS-EUROPEAN JOURNAL OF COMMUNICATION RESEARCH	0341-2059	2.3	0.65
COMMUNICAT-S AFR J C	COMMUNICATIO-SOUTH AFRICAN JOURNAL FOR COMMUNICATION THEORY AND RESEARCH	0250-0167	0.4	0.232
COMMUNIO VIAT	COMMUNIO VIATORUM	0010-3713	0.0	0.012
COMMUNIQUER	COMMUNIQUER	N/A	0.1	0.041
COMMUNIS POST-COMMUN	COMMUNIST AND POST-COMMUNIST STUDIES	0967-067X	1.3	0.502
COMMUNITAS	COMMUNITAS	1023-0556	0.4	0.106
COMMUNITY COLL J RES	COMMUNITY COLLEGE JOURNAL OF RESEARCH AND PRACTICE	1066-8926	0.6	0.253
COMMUNITY COLL REV	COMMUNITY COLLEGE REVIEW	0091-5521	1.5	0.495
COMMUNITY DENT HLTH	COMMUNITY DENTAL HEALTH	0265-539X	1.0	0.263
COMMUNITY DENT ORAL	COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY	0301-5661	2.1	0.595
COMMUNITY DEV	COMMUNITY DEVELOPMENT	1557-5330	1.4	0.284
COMMUNITY DEV J	COMMUNITY DEVELOPMENT JOURNAL	0010-3802	1.1	0.42
COMMUNITY ECOL	COMMUNITY ECOLOGY	1585-8553	2.0	0.486
COMMUNITY HLTH EQUIT	COMMUNITY HEALTH EQUITY RESEARCH & POLICY	2752-535X	1.8	0.47
COMMUNITY MENT HLT J	COMMUNITY MENTAL HEALTH JOURNAL	0010-3853	1.7	0.705
COMMUNITY WORK FAM	COMMUNITY WORK & FAMILY	1366-8803	1.5	0.689
COMP AM STUD	COMPARATIVE AMERICAN STUDIES	1477-5700	0.2	0.097
COMP BIOCHEM PHYS A	COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY	1095-6433	2.2	0.524
COMP BIOCHEM PHYS B	COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY	1096-4959	1.8	0.414
COMP BIOCHEM PHYS C	COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY	1532-0456	4.3	0.684
COMP BIOCHEM PHYS D	COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY D-GENOMICS & PROTEOMICS	1744-117X	2.4	0.524
COMP COGN BEHAV REV	COMPARATIVE COGNITION & BEHAVIOR REVIEWS	1911-4745	2.9	1.019
COMP CONT PHILOS	COMPARATIVE AND CONTINENTAL PHILOSOPHY	1757-0638	0.3	0.354
COMP CRIT STUD	COMPARATIVE CRITICAL STUDIES	1744-1854	0.2	0.35
COMP CYTOGENET	COMPARATIVE CYTOGENETICS	1993-0771	0.9	0.2
COMP DRAMA	COMPARATIVE DRAMA	0010-4078	0.2	0.131
COMP ECON RES	COMPARATIVE ECONOMIC RESEARCH-CENTRAL AND EASTERN EUROPE	1508-2008	0.5	0.108
COMP ECON STUD	COMPARATIVE ECONOMIC STUDIES	0888-7233	1.5	0.408
COMP EDUC	COMPARATIVE EDUCATION	0305-0068	3.7	0.972
COMP EDUC REV	COMPARATIVE EDUCATION REVIEW	0010-4086	1.6	0.791
COMP EUR POLIT	COMPARATIVE EUROPEAN POLITICS	1472-4790	2.2	0.946
COMP EXERC PHYSIOL	COMPARATIVE EXERCISE PHYSIOLOGY	1755-2540	0.8	0.159
COMP GEOM-THEOR APPL	COMPUTATIONAL GEOMETRY-THEORY AND APPLICATIONS	0925-7721	0.7	0.265
COMP IMMUNOL MICROB	COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES	0147-9571	2.0	0.452
COMP IMMUNOL REP	COMPARATIVE IMMUNOLOGY REPORTS	N/A	0.0	0.0
COMP INT LAW J SOUTH	COMPARATIVE AND INTERNATIONAL LAW JOURNAL OF SOUTHERN AFRICA-CILSA	0010-4051	0.0	0.058
COMP LEG HIST	COMPARATIVE LEGAL HISTORY	2049-677X	0.5	0.416
COMP LIT- E W	COMPARATIVE LITERATURE-EAST & WEST	N/A	0.3	0.12
COMP LITERATURE	COMPARATIVE LITERATURE	0010-4124	0.4	0.348
COMP LITERATURE STUD	COMPARATIVE LITERATURE STUDIES	0010-4132	0.2	0.351
COMP M BIO BIO E-IV	COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING-IMAGING AND VISUALIZATION	2168-1163	1.3	0.248
COMP MATER SCI	COMPUTATIONAL MATERIALS SCIENCE	0927-0256	3.3	0.711
COMP MATH MATH PHYS+	COMPUTATIONAL MATHEMATICS AND MATHEMATICAL PHYSICS	0965-5425	0.7	0.217
COMP MIGR STUD	COMPARATIVE MIGRATION STUDIES	N/A	3.7	2.197
COMP PARASITOL	COMPARATIVE PARASITOLOGY	1525-2647	0.4	0.096
COMP PHILOS	COMPARATIVE PHILOSOPHY-AN INTERNATIONAL JOURNAL OF CONSTRUCTIVE ENGAGEMENT OF DISTINCT APPROACHES TOWARD WORLD PHILOSOPHY	N/A	0.3	0.228
COMP POLIT	COMPARATIVE POLITICS	0010-4159	2.3	1.39
COMP POLIT STUD	COMPARATIVE POLITICAL STUDIES	0010-4140	3.4	3.692
COMP POPUL STUD	COMPARATIVE POPULATION STUDIES	1869-8980	1.6	0.721
COMP SE EUR STUD	COMPARATIVE SOUTHEAST EUROPEAN STUDIES	2701-8199	1.0	0.444
COMP SOCIOL	COMPARATIVE SOCIOLOGY	1569-1322	0.4	0.177
COMP STUD SOC HIST	COMPARATIVE STUDIES IN SOCIETY AND HISTORY	0010-4175	1.1	0.895
COMP STUD SOUTH ASIA	COMPARATIVE STUDIES OF SOUTH ASIA AFRICA AND THE MIDDLE EAST	1089-201X	0.6	0.547
COMPARATIST	COMPARATIST	0195-7678	0.2	0.207
COMPARATIVE MED	COMPARATIVE MEDICINE	1532-0820	1.1	0.389
COMPARE	COMPARE-A JOURNAL OF COMPARATIVE AND INTERNATIONAL EDUCATION	0305-7925	1.9	0.626
COMPEL	COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING	0332-1649	1.0	0.168
COMPET CHANG	COMPETITION & CHANGE	1024-5294	3.4	1.587
COMPET REV	COMPETITIVENESS REVIEW	1059-5422	3.2	0.469
COMPLEMENT MED RES	COMPLEMENTARY MEDICINE RESEARCH	2504-2092	0.8	0.32
COMPLEMENT THER CLIN	COMPLEMENTARY THERAPIES IN CLINICAL PRACTICE	1744-3881	3.0	0.72
COMPLEMENT THER MED	COMPLEMENTARY THERAPIES IN MEDICINE	0965-2299	3.5	0.796
COMPLEX ANAL OPER TH	COMPLEX ANALYSIS AND OPERATOR THEORY	1661-8254	0.8	0.46
COMPLEX INTELL SYST	COMPLEX & INTELLIGENT SYSTEMS	2199-4536	4.6	0.924
COMPLEX MANIFOLDS	COMPLEX MANIFOLDS	2300-7443	0.5	0.402
COMPLEX SYST	COMPLEX SYSTEMS	0891-2513	0.5	0.119
COMPLEX VAR ELLIPTIC	COMPLEX VARIABLES AND ELLIPTIC EQUATIONS	1747-6933	0.6	0.351
COMPLEXITY	COMPLEXITY	1076-2787	1.7	0.299
COMPLUT J ENGL STUD	COMPLUTENSE JOURNAL OF ENGLISH STUDIES	2386-3935	0.3	0.124
COMPLUTUM	COMPLUTUM	1131-6993	0.4	0.171
COMPOS ADV MATER	COMPOSITES AND ADVANCED MATERIALS	N/A	2.1	0.321
COMPOS COMMUN	COMPOSITES COMMUNICATIONS	2452-2139	7.7	1.044
COMPOS INTERFACE	COMPOSITE INTERFACES	0927-6440	2.4	0.329
COMPOS MATH	COMPOSITIO MATHEMATICA	0010-437X	1.4	2.297
COMPOS PART A-APPL S	COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING	1359-835X	8.9	1.472
COMPOS PART B-ENG	COMPOSITES PART B-ENGINEERING	1359-8368	14.2	2.018
COMPOS PART C-OPEN	COMPOSITES PART C: OPEN ACCESS	2666-6820	7.0	1.064
COMPOS RES	COMPOSITES RESEARCH	2288-2103	0.4	0.034
COMPOS SCI TECHNOL	COMPOSITES SCIENCE AND TECHNOLOGY	0266-3538	9.8	1.474
COMPOS STRUCT	COMPOSITE STRUCTURES	0263-8223	7.1	1.129
COMPOS THEORY PRACT	COMPOSITES THEORY AND PRACTICE	2084-6096	0.7	0.097
COMPOS-MECH COMPUT A	COMPOSITES-MECHANICS COMPUTATIONS APPLICATIONS	2152-2057	0.4	0.05
COMPOST SCI UTIL	COMPOST SCIENCE & UTILIZATION	1065-657X	0.9	0.269
COMPOUNDS-BASEL	COMPOUNDS	N/A	2.3	0.283
COMPR CHILD ADOLES N	COMPREHENSIVE CHILD AND ADOLESCENT NURSING-BUILDING EVIDENCE FOR PRACTICE	2469-4193	1.4	0.415
COMPR PHYSIOL	COMPREHENSIVE PHYSIOLOGY	2040-4603	5.2	2.346
COMPR PSYCHIAT	COMPREHENSIVE PSYCHIATRY	0010-440X	4.2	1.459
COMPR PSYCHONEUROEND	COMPREHENSIVE PSYCHONEUROENDOCRINOLOGY	2666-4976	2.5	0.788
COMPR REV FOOD SCI F	COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY	1541-4337	14.1	2.588
COMPTAB CONTROL AUDI	COMPTABILITE CONTROLE AUDIT	1262-2788	0.3	0.113
COMPUT AIDED DESIGN	COMPUTER-AIDED DESIGN	0010-4485	3.1	0.943
COMPUT AIDED GEOM D	COMPUTER AIDED GEOMETRIC DESIGN	0167-8396	1.7	0.558
COMPUT ANIMAT VIRT W	COMPUTER ANIMATION AND VIRTUAL WORLDS	1546-4261	1.7	0.325
COMPUT APPL ENG EDUC	COMPUTER APPLICATIONS IN ENGINEERING EDUCATION	1061-3773	2.2	0.408
COMPUT APPL MATH	COMPUTATIONAL & APPLIED MATHEMATICS	2238-3603	2.5	0.549
COMPUT ASSIST LANG L	COMPUTER ASSISTED LANGUAGE LEARNING	0958-8221	6.6	1.772
COMPUT ASSIST SURG	COMPUTER ASSISTED SURGERY	N/A	1.9	0.512
COMPUT BIOL CHEM	COMPUTATIONAL BIOLOGY AND CHEMISTRY	1476-9271	3.1	0.491
COMPUT BIOL MED	COMPUTERS IN BIOLOGY AND MEDICINE	0010-4825	6.3	1.333
COMPUT CHEM ENG	COMPUTERS & CHEMICAL ENGINEERING	0098-1354	3.9	0.683
COMPUT COMMUN	COMPUTER COMMUNICATIONS	0140-3664	4.3	0.815
COMPUT COMPLEX	COMPUTATIONAL COMPLEXITY	1016-3328	1.0	0.679
COMPUT CONCRETE	COMPUTERS AND CONCRETE	1598-8198	3.3	0.336
COMPUT CONDENS MATTE	COMPUTATIONAL CONDENSED MATTER	2352-2143	3.9	0.438
COMPUT ECON	COMPUTATIONAL ECONOMICS	0927-7099	2.2	0.417
COMPUT EDUC	COMPUTERS & EDUCATION	0360-1315	10.5	2.492
COMPUT EDUC OPEN	COMPUTERS AND EDUCATION OPEN	2666-5573	5.7	1.231
COMPUT ELECTR ENG	COMPUTERS & ELECTRICAL ENGINEERING	0045-7906	4.9	0.701
COMPUT ELECTRON AGR	COMPUTERS AND ELECTRONICS IN AGRICULTURE	0168-1699	8.9	1.319
COMPUT ENVIRON URBAN	COMPUTERS ENVIRONMENT AND URBAN SYSTEMS	0198-9715	8.3	1.709
COMPUT FLUIDS	COMPUTERS & FLUIDS	0045-7930	3.0	0.771
COMPUT GEOSCI-UK	COMPUTERS & GEOSCIENCES	0098-3004	4.4	1.18
COMPUT GEOTECH	COMPUTERS AND GEOTECHNICS	0266-352X	6.2	1.226
COMPUT GRAPH FORUM	COMPUTER GRAPHICS FORUM	0167-7055	2.9	1.247
COMPUT GRAPH-UK	COMPUTERS & GRAPHICS-UK	0097-8493	2.8	0.655
COMPUT HUM BEHAV	COMPUTERS IN HUMAN BEHAVIOR	0747-5632	8.9	2.381
COMPUT HUM BEHAV REP	COMPUTERS IN HUMAN BEHAVIOR REPORTS	2451-9588	5.8	1.457
COMPUT IND	COMPUTERS IN INDUSTRY	0166-3615	9.1	1.716
COMPUT IND ENG	COMPUTERS & INDUSTRIAL ENGINEERING	0360-8352	6.5	1.253
COMPUT INFORM	COMPUTING AND INFORMATICS	1335-9150	1.7	0.178
COMPUT INTELL-US	COMPUTATIONAL INTELLIGENCE	0824-7935	1.7	0.362
COMPUT J	COMPUTER JOURNAL	0010-4620	1.5	0.31
COMPUT LAW SECUR REV	COMPUTER LAW & SECURITY REVIEW	0267-3649	3.2	1.041
COMPUT LINGUIST	COMPUTATIONAL LINGUISTICS	0891-2017	5.3	1.659
COMPUT MANAG SCI	COMPUTATIONAL MANAGEMENT SCIENCE	1619-697X	1.3	0.377
COMPUT MATH APPL	COMPUTERS & MATHEMATICS WITH APPLICATIONS	0898-1221	2.5	0.733
COMPUT MATH METHODS	COMPUTATIONAL AND MATHEMATICAL METHODS	N/A	1.2	0.204
COMPUT MATH ORGAN TH	COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY	1381-298X	1.5	0.506
COMPUT MECH	COMPUTATIONAL MECHANICS	0178-7675	3.8	1.033
COMPUT MED IMAG GRAP	COMPUTERIZED MEDICAL IMAGING AND GRAPHICS	0895-6111	4.9	1.371
COMPUT METH APPL MAT	COMPUTATIONAL METHODS IN APPLIED MATHEMATICS	1609-4840	1.2	0.511
COMPUT METH FUNCT TH	COMPUTATIONAL METHODS AND FUNCTION THEORY	1617-9447	0.7	0.482
COMPUT METH PROG BIO	COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE	0169-2607	4.8	1.128
COMPUT METHOD APPL M	COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING	0045-7825	7.3	1.801
COMPUT METHOD BIOMEC	COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING	1025-5842	1.6	0.367
COMPUT METHODS DIFFE	COMPUTATIONAL METHODS FOR DIFFERENTIAL EQUATIONS	2345-3982	1.3	0.151
COMPUT NETW	COMPUTER NETWORKS	1389-1286	4.6	0.874
COMPUT OPER RES	COMPUTERS & OPERATIONS RESEARCH	0305-0548	4.3	1.162
COMPUT OPT	COMPUTER OPTICS	0134-2452	1.2	0.119
COMPUT OPTIM APPL	COMPUTATIONAL OPTIMIZATION AND APPLICATIONS	0926-6003	2.0	1.145
COMPUT PART MECH	COMPUTATIONAL PARTICLE MECHANICS	2196-4378	2.8	0.67
COMPUT PHYS COMMUN	COMPUTER PHYSICS COMMUNICATIONS	0010-4655	3.4	1.998
COMPUT SCH	COMPUTERS IN THE SCHOOLS	0738-0569	1.9	0.447
COMPUT SCI EDUC	COMPUTER SCIENCE EDUCATION	0899-3408	2.2	0.571
COMPUT SCI ENG	COMPUTING IN SCIENCE & ENGINEERING	1521-9615	1.9	0.625
COMPUT SCI INF SYST	COMPUTER SCIENCE AND INFORMATION SYSTEMS	1820-0214	1.8	0.222
COMPUT SCI J MOLD	COMPUTER SCIENCE JOURNAL OF MOLDOVA	1561-4042	0.3	0.033
COMPUT SCI REV	COMPUTER SCIENCE REVIEW	1574-0137	12.7	3.168
COMPUT SCI-AGH	COMPUTER SCIENCE-AGH	1508-2806	0.6	0.072
COMPUT SECUR	COMPUTERS & SECURITY	0167-4048	5.4	0.991
COMPUT SIST	COMPUTACION Y SISTEMAS	1405-5546	0.4	0.062
COMPUT SPEECH LANG	COMPUTER SPEECH AND LANGUAGE	0885-2308	3.4	0.699
COMPUT STAND INTER	COMPUTER STANDARDS & INTERFACES	0920-5489	3.1	0.593
COMPUT STAT DATA AN	COMPUTATIONAL STATISTICS & DATA ANALYSIS	0167-9473	1.6	0.896
COMPUT STRUCT	COMPUTERS & STRUCTURES	0045-7949	4.8	1.034
COMPUT STRUCT BIOTEC	COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL	2001-0370	4.1	1.423
COMPUT SUPP COOP W J	COMPUTER SUPPORTED COOPERATIVE WORK-THE JOURNAL OF COLLABORATIVE COMPUTING AND WORK PRACTICES	0925-9724	2.3	0.59
COMPUT THEOR CHEM	COMPUTATIONAL AND THEORETICAL CHEMISTRY	2210-271X	2.8	0.379
COMPUT THERM SCI	COMPUTATIONAL THERMAL SCIENCES	1940-2503	0.9	0.138
COMPUT TOXICOL	COMPUTATIONAL TOXICOLOGY	2468-1113	2.9	0.0
COMPUT URBAN SCI	COMPUTATIONAL URBAN SCIENCE	N/A	3.2	0.65
COMPUT VIS IMAGE UND	COMPUTER VISION AND IMAGE UNDERSTANDING	1077-3142	3.5	1.112
COMPUT VIS MEDIA	COMPUTATIONAL VISUAL MEDIA	2096-0433	18.3	3.415
COMPUTABILITY	COMPUTABILITY-THE JOURNAL OF THE ASSOCIATION CIE	2211-3568	0.7	0.321
COMPUT-AIDED CIV INF	COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING	1093-9687	9.1	1.831
COMPUTAT GEOSCI	COMPUTATIONAL GEOSCIENCES	1420-0597	2.0	0.634
COMPUTATION	COMPUTATION	N/A	1.9	0.34
COMPUTATION STAT	COMPUTATIONAL STATISTICS	0943-4062	1.4	0.584
COMPUTER	COMPUTER	0018-9162	2.3	0.53
COMPUTERS	COMPUTERS	2073-431X	4.2	0.55
COMPUTING	COMPUTING	0010-485X	2.8	0.548
COMPUTIS	DE COMPUTIS-REVISTA ESPANOLA DE HISTORIA DE LA CONTABILIDAD	1886-1881	0.1	0.086
COMUN FILOS	COMUNICAZIONE FILOSOFICA	1128-9082	0.2	0.121
COMUN HOMBRE	COMUNICACION Y HOMBRE	1885-365X	0.0	0.08
COMUN MEDIOS	COMUNICACION Y MEDIOS	0716-3991	0.6	0.223
COMUN SOC-GUADALAJ	COMUNICACION Y SOCIEDAD-GUADALAJARA	0188-252X	0.4	0.0
COMUNICACIO	COMUNICACIO-REVISTA DE RECERCA I D ANALISI	2014-0304	0.1	0.046
COMUNIDAD SALUD	COMUNIDAD Y SALUD	1690-3293	0.2	0.007
CON A ANIMAC	CON A DE ANIMACION	2173-6049	0.3	0.091
CONCENTRIC	CONCENTRIC-LITERARY AND CULTURAL STUDIES	1729-6897	0.1	0.127
CONCENTRIC-STUD LING	CONCENTRIC-STUDIES IN LINGUISTICS	1810-7478	0.4	0.124
CONCEPT MAGN RESON A	CONCEPTS IN MAGNETIC RESONANCE PART A	1546-6086	0.4	0.051
CONCR OPERATORS	CONCRETE OPERATORS	2299-3282	0.4	0.316
CONCURR COMP-PRACT E	CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE	1532-0626	1.5	0.247
CONDENS MATTER	CONDENSED MATTER	2410-3896	1.5	0.359
CONDENS MATTER PHYS	CONDENSED MATTER PHYSICS	1607-324X	1.0	0.145
CONFIGURATIONS	CONFIGURATIONS	1063-1801	0.3	0.292
CONFINS	CONFINS-REVUE FRANCO-BRESILIENNE DE GEOGRAPHIE-REVISTA FRANCO-BRASILEIRA DE GEOGRAFIA	1958-9212	0.1	0.048
CONFL HEALTH	CONFLICT AND HEALTH	1752-1505	3.4	1.27
CONFL RESOLUT Q	CONFLICT RESOLUTION QUARTERLY	1536-5581	1.1	0.408
CONFL SECUR DEV	CONFLICT SECURITY & DEVELOPMENT	1467-8802	1.4	0.746
CONFL STUD Q	CONFLICT STUDIES QUARTERLY	2285-7605	0.2	0.071
CONFLICT MANAG PEACE	CONFLICT MANAGEMENT AND PEACE SCIENCE	0738-8942	1.4	1.429
CONFLUENCIA	CONFLUENCIA-REVISTA HISPANICA DE CULTURA Y LITERATURA	0888-6091	0.2	0.126
CONFLUENZE	CONFLUENZE-RIVISTA DI STUDI IBEROAMERICANI	2036-0967	0.1	0.164
CONFORM GEOM DYN	CONFORMAL GEOMETRY AND DYNAMICS	1088-4173	0.2	0.278
CONGENIT ANOM	CONGENITAL ANOMALIES	0914-3505	1.6	0.369
CONGENIT HEART DIS	CONGENITAL HEART DISEASE	1747-079X	1.2	0.435
CONGR PRESIDENCY	CONGRESS & THE PRESIDENCY-A JOURNAL OF CAPITAL STUDIES	0734-3469	0.7	0.66
CONIMBRIGA	CONIMBRIGA-REVISTA DE ARQUEOLOGIA	0084-9189	0.3	0.157
CONN INSUR LAW J	CONNECTICUT INSURANCE LAW JOURNAL	1081-9436	0.1	0.064
CONNAISSANCE ARTS	CONNAISSANCE DES ARTS	0293-9274	0.0	0.0
CONNECT SCI	CONNECTION SCIENCE	0954-0091	3.4	0.546
CONNECT TISSUE RES	CONNECTIVE TISSUE RESEARCH	0300-8207	2.1	0.614
CONNECTIST	CONNECTIST-ISTANBUL UNIVERSITY JOURNAL OF COMMUNICATION SCIENCES	N/A	0.4	0.093
CONSCIOUS COGN	CONSCIOUSNESS AND COGNITION	1053-8100	2.0	0.975
CONSERV BIOL	CONSERVATION BIOLOGY	0888-8892	5.5	2.113
CONSERV GENET	CONSERVATION GENETICS	1566-0621	1.7	0.632
CONSERV GENET RESOUR	CONSERVATION GENETICS RESOURCES	1877-7252	0.9	0.215
CONSERV LETT	CONSERVATION LETTERS	1755-263X	5.9	2.736
CONSERV MANAGE ARCHA	CONSERVATION AND MANAGEMENT OF ARCHAEOLOGICAL SITES	1350-5033	0.8	0.0
CONSERV PATRIM	CONSERVAR PATRIMONIO	1646-043X	0.4	0.105
CONSERV PHYSIOL	CONSERVATION PHYSIOLOGY	2051-1434	2.5	0.711
CONSERV SCI CULT HER	CONSERVATION SCIENCE IN CULTURAL HERITAGE	1974-4951	0.3	0.036
CONSERV SCI PRACT	CONSERVATION SCIENCE AND PRACTICE	N/A	2.8	0.994
CONSERV SOC	CONSERVATION & SOCIETY	0972-4923	2.1	0.716
CONSERVATION-BASEL	CONSERVATION	N/A	1.9	0.334
CONST POLITICAL ECON	CONSTITUTIONAL POLITICAL ECONOMY	1043-4062	0.7	0.326
CONSTELACIONES	CONSTELACIONES	2340-177X	0.0	0.071
CONSTELACIONES-REV T	CONSTELACIONES-REVISTA DE TEORIA CRITICA	2172-9506	0.0	0.037
CONSTELLATIONS	CONSTELLATIONS-AN INTERNATIONAL JOURNAL OF CRITICAL AND DEMOCRATIC THEORY	1351-0487	1.2	0.992
CONSTR APPROX	CONSTRUCTIVE APPROXIMATION	0176-4276	1.2	1.265
CONSTR BUILD MATER	CONSTRUCTION AND BUILDING MATERIALS	0950-0618	8.0	1.096
CONSTR ECON BUILD	CONSTRUCTION ECONOMICS AND BUILDING	1835-6354	1.1	0.281
CONSTR FOUND	CONSTRUCTIVIST FOUNDATIONS	1782-348X	2.8	0.851
CONSTR FRAMES	CONSTRUCTIONS AND FRAMES	1876-1933	0.5	0.537
