Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
3719,English Teaching-Practice and Critique,ENGL TEACH-PRACT CRI,1175-8708,303,0.648,0.407,0.588,0.167,30,8.5,9.2,0.00026,0.155,93.33,25.184,0.03254
3720,English Today,ENGL TODAY,0266-0784,461,0.645,0.581,0.605,0.333,36,10.4,12.6,0.0003,0.14,83.33,37.701,0.03708
3721,English World-Wide,ENGL WORLD-WIDE,0172-8865,217,0.583,0.5,0.607,0,12,11.4,12.6,0.00014,0.202,100,32.353,0.01742
3722,Ensenanza de Las Ciencias,ENSEN CIENC,0212-4521,553,1.183,0.9,1.094,0.067,30,8.6,9.6,0.00013,0.054,96.67,30.989,0.01601
3723,ENT-EAR NOSE & THROAT JOURNAL,ENT-EAR NOSE THROAT,0145-5613,"1,623",0.859,0.832,1.149,0.133,98,13.2,10.3,0.00108,0.292,90.82,10.714,0.13257
3724,ENTERPRISE & SOCIETY,ENTERP SOC,1467-2227,310,0.483,0.4,0.671,0.171,35,9.3,15.7,0.00051,0.289,97.14,21.991,0.06243
3725,Enterprise Information Systems,ENTERP INF SYST-UK,1751-7575,963,2.145,1.641,2.56,1.271,59,3.9,6.9,0.00104,0.344,94.92,43.269,0.12787
3726,Entertainment Computing,ENTERTAIN COMPUT,1875-9521,365,1.341,1.195,Not Available,0.211,38,5.3,8.6,0.00041,Not Available,94.74,28.637,0.05106
3727,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,ENTOMOL EXP APPL,0013-8703,"5,805",1.696,1.607,1.731,0.489,92,14.3,11.4,0.00347,0.477,89.13,68.812,0.4237
3728,ENTOMOLOGIA GENERALIS,ENTOMOL GEN,0171-8177,445,4.333,3.511,2.636,0.488,41,3.2,9.1,0.00062,0.566,95.12,96.535,0.07668
3729,Entomologica Americana,ENTOMOL AM-NY,1947-5136,49,0.259,0.259,0.358,0,4,Not Available,16.8,0.00014,0.172,100,0.495,0.0177
3730,ENTOMOLOGICA FENNICA,ENTOMOL FENNICA,0785-8760,291,0.372,0.302,0.545,0.05,20,13.3,14.8,0.00022,0.178,95,5.446,0.02762
3731,ENTOMOLOGICAL NEWS,ENTOMOL NEWS,0013-872X,743,0.437,0.425,0.418,0.189,53,28.2,15.1,0.00039,0.148,100,7.426,0.04844
3732,ENTOMOLOGICAL RESEARCH,ENTOMOL RES,1738-2297,467,0.807,0.684,0.697,0.305,59,7.6,13.1,0.00041,0.135,94.92,32.178,0.05018
3733,ENTOMOLOGICAL SCIENCE,ENTOMOL SCI,1343-8786,753,1.074,1.053,1.107,0.676,34,7.6,12.5,0.00109,0.331,91.18,44.059,0.13377
3734,ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,ENTREP REGION DEV,0898-5626,"3,135",2.885,2.299,4.108,0.72,50,9,10.5,0.0015,0.645,96,68.088,0.18382
3735,Entrepreneurship Research Journal,ENTREP RES J,2194-6175,239,1.643,1.464,2.194,0.526,19,4.8,12.1,0.00024,0.295,100,24.013,0.03047
3736,ENTREPRENEURSHIP THEORY AND PRACTICE,ENTREP THEORY PRACT,1042-2587,"11,864",10.75,10.5,11.035,2.25,48,10.4,12.5,0.00771,2.693,100,99.013,0.94171
3737,Entropy,ENTROPY-SWITZ,****-****,"9,810",2.494,1.841,2.53,0.702,"1,212",3,7.9,0.01719,0.477,97.11,61.765,2.09808
3738,ENVIRONMENT,ENVIRONMENT,0013-9157,"1,236",2.281,2.25,3.267,0.6,15,11.7,7.4,0.00074,0.792,100,48.084,0.09145
3740,ENVIRONMENT AND BEHAVIOR,ENVIRON BEHAV,0013-9165,"6,805",5.141,4.941,5.474,2.475,40,15,11.5,0.00393,1.368,97.5,91.477,0.48034
3741,ENVIRONMENT AND DEVELOPMENT ECONOMICS,ENVIRON DEV ECON,1355-770X,"1,550",1.429,1.4,1.73,0.24,25,11,10.1,0.00131,0.585,96,32.112,0.16037
3742,ENVIRONMENT AND HISTORY,ENVIRON HIST-UK,0967-3407,293,0.698,0.674,0.806,0.3,20,9.6,23.9,0.00041,0.318,100,42.705,0.05053
3743,Environment and Planning A-Economy and Space,ENVIRON PLANN A,0308-518X,"10,306",2.855,2.698,3.214,0.578,102,10.7,8.8,0.00905,1.018,100,69.519,1.10434
3744,Environment and Planning B-Urban Analytics and City Science,ENVIRON PLAN B-URBAN,2399-8083,"3,861",2.822,2.561,2.944,0.925,93,11.9,11.1,0.00223,0.656,100,67.804,0.27276
3745,Environment and Planning C-Politics and Space,ENVIRON PLAN C-POLIT,2399-6544,"2,679",2.601,2.514,2.691,0.553,76,7.2,9,0.00383,0.764,100,64.158,0.46832
3746,ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,ENVIRON PLANN D,0263-7758,"4,333",3.681,3.31,3.841,1.033,60,9.6,7.8,0.00583,1.496,100,82.165,0.71206
3747,ENVIRONMENT AND URBANIZATION,ENVIRON URBAN,0956-2478,"2,325",3.273,3.045,3.591,0.281,32,10.7,7.3,0.00208,0.966,100,77.831,0.25438
3748,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,ENVIRON DEV SUSTAIN,1387-585X,"2,211",2.191,2.085,Not Available,0.944,125,4.8,9.3,0.00221,Not Available,89.6,37.98,0.27028
3749,ENVIRONMENT INTERNATIONAL,ENVIRON INT,0160-4120,"29,467",7.577,6.71,8.925,1.61,864,5.4,6.4,0.03784,1.812,89.7,93.396,4.61703
3750,Environment Protection Engineering,ENVIRON PROT ENG,0324-8828,528,0.812,0.769,0.763,0.152,33,6.5,8.8,0.00038,0.108,100,8.491,0.04644
3751,ENVIRONMENTAL & ENGINEERING GEOSCIENCE,ENVIRON ENG GEOSCI,1078-7275,559,0.755,0.623,0.785,0.13,23,12.8,12.6,0.00026,0.171,100,6.459,0.03191
3752,ENVIRONMENTAL & RESOURCE ECONOMICS,ENVIRON RESOUR ECON,0924-6460,"5,017",2.286,2.119,2.49,0.72,161,10.1,10.3,0.00534,0.827,100,63.612,0.65191
3753,ENVIRONMENTAL AND ECOLOGICAL STATISTICS,ENVIRON ECOL STAT,1352-8505,805,0.981,0.981,0.909,0.125,16,12,10.3,0.00094,0.455,100,26.191,0.11493
3754,ENVIRONMENTAL AND EXPERIMENTAL BOTANY,ENVIRON EXP BOT,0098-8472,"11,971",4.027,3.721,4.744,1.258,291,8,9,0.0104,0.928,96.22,81.249,1.26912
3755,ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,ENVIRON MOL MUTAGEN,0893-6692,"3,500",3.131,2.923,3.264,1.385,65,9.5,9.9,0.00284,0.691,92.31,60.356,0.34705
3756,ENVIRONMENTAL ARCHAEOLOGY,ENVIRON ARCHAEOL,1461-4103,504,1.475,1.377,1.422,1.083,24,6.3,13.2,0.00078,0.421,100,26.75,0.09533
3757,ENVIRONMENTAL BIOLOGY OF FISHES,ENVIRON BIOL FISH,0378-1909,"6,263",1.516,1.384,1.593,0.682,110,16.2,12.9,0.00371,0.452,100,44.41,0.45289
3758,Environmental Chemistry,ENVIRON CHEM,1448-2517,"2,669",1.91,1.85,3.339,0.964,56,7.3,7.8,0.00313,0.778,89.29,39.036,0.38221
3759,Environmental Chemistry Letters,ENVIRON CHEM LETT,1610-3653,"3,610",5.922,4.721,5.249,1.613,142,5.3,7.1,0.00325,0.757,46.48,83.881,0.39758
3760,Environmental Communication-A Journal of Nature and Culture,ENVIRON COMMUN,1752-4032,917,1.787,1.484,2.329,0.622,74,4.6,8.5,0.00159,0.563,91.89,43.237,0.19513
3761,ENVIRONMENTAL CONSERVATION,ENVIRON CONSERV,0376-8929,"3,579",2.434,2.361,2.401,0.55,40,15.8,8.5,0.00186,0.768,95,60.077,0.22723
3762,Environmental Development,ENVIRON DEV,2211-4645,"1,151",2.4,2.295,Not Available,0.479,48,4.5,7.4,0.00194,Not Available,100,50,0.23744
3763,Environmental Earth Sciences,ENVIRON EARTH SCI,1866-6280,"17,065",2.18,2.002,2.253,0.377,687,4.5,9.7,0.02534,0.389,98.84,49.418,3.09218
3764,Environmental Education Research,ENVIRON EDUC RES,1350-4622,"3,168",2.266,1.702,2.932,1.768,99,8,9.8,0.00201,0.453,96.97,62.279,0.24629
3765,Environmental Engineering Research,ENVIRON ENG RES,1226-1025,720,1.438,1.366,Not Available,0.65,80,4.4,8.9,0.00077,Not Available,92.5,18.679,0.09431
3766,ENVIRONMENTAL ENGINEERING SCIENCE,ENVIRON ENG SCI,1092-8758,"2,819",1.61,1.508,1.875,0.36,114,7.8,7.3,0.00257,0.368,97.37,22.075,0.31444
3767,ENVIRONMENTAL ENTOMOLOGY,ENVIRON ENTOMOL,0046-225X,"8,246",1.586,1.463,1.813,0.491,165,13.8,11.6,0.00566,0.497,95.76,65.842,0.69111
3768,ENVIRONMENTAL ETHICS,ENVIRON ETHICS,0163-4275,449,0.275,0.25,0.514,0.2,5,19.9,13.1,0.00022,0.16,100,4.701,0.02739
3769,Environmental Evidence,ENVIRON EVID,****-****,553,3.708,2.708,Not Available,0.853,34,3.6,6.2,0.00145,Not Available,64.71,71.132,0.17706
3770,ENVIRONMENTAL FLUID MECHANICS,ENVIRON FLUID MECH,1567-7419,"1,185",1.512,1.425,1.733,0.718,71,6.1,14,0.00191,0.493,98.59,30.213,0.23328
3771,ENVIRONMENTAL FORENSICS,ENVIRON FORENSICS,1527-5922,645,0.726,0.629,1.077,0.154,26,11.1,10.3,0.00041,0.21,100,5.094,0.05011
3772,ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,ENVIRON GEOCHEM HLTH,0269-4042,"4,375",3.472,2.938,3.662,0.936,188,6.1,9.3,0.00377,0.549,94.68,73.498,0.46076
3773,Environmental Geotechnics,ENVIRON GEOTECH,2051-803X,376,1.621,1.364,1.765,1.617,47,3.1,13.9,0.00067,0.332,100,19.231,0.08291
3774,Environmental Hazards-Human and Policy Dimensions,ENVIRON HAZARDS-UK,1747-7891,808,1.133,1,1.5,0.296,27,11,9.3,0.00041,0.312,100,9.35,0.05095
3775,Environmental Health,ENVIRON HEALTH-GLOB,****-****,"5,870",4.69,4.557,5.469,0.641,103,6,7.9,0.00954,1.443,92.23,85.349,1.16506
3776,Environmental Health and Preventive Medicine,ENVIRON HEALTH PREV,1342-078X,"1,591",2.71,2.174,2.223,0.769,78,6.2,8.1,0.00198,0.492,89.74,74.438,0.24168
3778,ENVIRONMENTAL HEALTH PERSPECTIVES,ENVIRON HEALTH PERSP,0091-6765,"42,865",8.382,8.01,10.081,1.102,128,10.3,6.5,0.03449,2.702,95.31,97.186,4.20833
3779,ENVIRONMENTAL HISTORY,ENVIRON HIST-US,1084-5453,529,0.593,0.556,0.75,0.154,26,12.9,15.3,0.00046,0.285,100,34.579,0.05624
3780,ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,ENVIRON IMPACT ASSES,0195-9255,"4,368",4.135,3.618,4.261,0.689,74,7.7,7.1,0.00337,0.721,94.59,81.707,0.41196
3781,Environmental Innovation and Societal Transitions,ENVIRON INNOV SOC TR,2210-4224,"2,103",8.4,7.613,Not Available,1.365,52,4.1,7,0.0038,Not Available,100,96.785,0.46417
3783,ENVIRONMENTAL MANAGEMENT,ENVIRON MANAGE,0364-152X,"10,444",2.561,2.483,2.81,0.613,119,10.5,8.9,0.00751,0.659,99.16,53.774,0.91636
3784,ENVIRONMENTAL MICROBIOLOGY,ENVIRON MICROBIOL,1462-2912,"24,004",4.933,4.675,5.453,1.052,324,7.6,8.4,0.03481,1.64,95.68,80.37,4.24747
3785,Environmental Microbiology Reports,ENV MICROBIOL REP,1758-2229,"3,558",2.975,2.937,3.392,0.793,87,6.2,7.9,0.00594,1.015,89.66,56.226,0.72533
3786,Environmental Microbiome,ENVIRON MICROBIOME,****-****,3,Not Available,0,Not Available,0.429,7,Not Available,7.5,0,Not Available,100,Not Available,0
3787,ENVIRONMENTAL MODELING & ASSESSMENT,ENVIRON MODEL ASSESS,1420-2026,"1,040",1.634,1.624,1.479,0.702,47,8.4,9.9,0.00086,0.291,100,26.604,0.10497
3788,ENVIRONMENTAL MODELLING & SOFTWARE,ENVIRON MODELL SOFTW,1364-8152,"14,577",4.807,4.234,5.317,1.385,252,6.2,8.2,0.01861,1.173,94.84,81.658,2.27057
3789,ENVIRONMENTAL MONITORING AND ASSESSMENT,ENVIRON MONIT ASSESS,0167-6369,"20,930",1.903,1.72,2.273,0.512,808,7,9,0.01806,0.391,98.64,36.415,2.20333
3790,Environmental Policy and Governance,ENVIRON POLICY GOV,1756-932X,"1,018",2.618,2.434,2.599,1,30,6.3,8.1,0.00142,0.637,96.67,58.943,0.1738
3791,ENVIRONMENTAL POLITICS,ENVIRON POLIT,0964-4016,"2,705",4.32,3.68,3.784,2.653,49,6.9,7.3,0.00399,1.198,100,90.972,0.48739
3792,Environmental Pollutants and Bioavailability,ENV POLLUT BIOAVAIL,2639-5932,3,Not Available,0,Not Available,0.079,38,Not Available,7.9,0,Not Available,94.74,Not Available,0
3793,ENVIRONMENTAL POLLUTION,ENVIRON POLLUT,0269-7491,"60,363",6.792,6.062,6.939,1.28,"1,615",5.3,6.8,0.06848,1.229,95.23,92.264,8.35523
3794,Environmental Progress & Sustainable Energy,ENVIRON PROG SUSTAIN,1944-7442,"3,229",1.989,1.757,1.928,0.534,341,4.4,7.4,0.00384,0.285,97.65,34.821,0.46903
3795,ENVIRONMENTAL RESEARCH,ENVIRON RES,0013-9351,"19,947",5.715,5.14,5.735,1.27,697,4.5,6.7,0.03179,1.222,89.81,90.489,3.8788
3796,Environmental Research Letters,ENVIRON RES LETT,1748-9326,"19,933",6.096,5.662,6.672,0.716,542,4.4,5.8,0.05863,2.341,92.44,92.043,7.15393
3797,ENVIRONMENTAL REVIEWS,ENVIRON REV,1208-6053,"2,373",4.176,4.015,4.744,4.061,33,8,8,0.00229,1.137,0,76.415,0.28024
3798,ENVIRONMENTAL SCIENCE & POLICY,ENVIRON SCI POLICY,1462-9011,"9,558",4.767,4.445,5.335,1.191,235,5,6.7,0.01555,1.229,90.64,82.075,1.89777
3799,ENVIRONMENTAL SCIENCE & TECHNOLOGY,ENVIRON SCI TECHNOL,0013-936X,"187,990",7.864,6.952,8.543,1.194,"1,484",7.9,7,0.17044,1.724,97.04,92.075,20.79481
3800,Environmental Science & Technology Letters,ENVIRON SCI TECH LET,2328-8930,"3,696",7.678,7.449,8.018,0.942,121,3.1,6,0.01179,2.104,96.69,90.755,1.43934
3801,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,ENVIRON SCI POLLUT R,0944-1344,"46,033",3.056,2.628,3.306,0.766,"3,097",3.4,7.3,0.07286,0.522,95.9,62.83,8.88906
3802,Environmental Science-Nano,ENVIRON SCI-NANO,2051-8153,"5,669",7.683,7.002,7.913,1.479,284,2.5,6.2,0.01255,1.5,94.01,86.99,1.53179
3803,Environmental Science-Processes & Impacts,ENVIRON SCI-PROC IMP,2050-7887,"3,839",3.238,3.074,3.489,0.673,168,4.6,8.2,0.00843,0.772,93.45,68.303,1.02902
3804,Environmental Science-Water Research & Technology,ENVIRON SCI-WAT RES,2053-1400,"1,953",3.449,3.257,4.132,0.562,185,2.8,7.7,0.0046,0.815,94.59,69.221,0.56135
3805,Environmental Sciences Europe,ENVIRON SCI EUR,2190-4707,"1,279",5.394,4.592,Not Available,1.589,90,3.4,6.5,0.00222,Not Available,91.11,85.849,0.27179
3806,ENVIRONMENTAL TECHNOLOGY,ENVIRON TECHNOL,0959-3330,"7,947",2.213,2.084,2.022,1.163,363,6.2,9.1,0.00642,0.305,100,46.226,0.78397
3807,Environmental Technology & Innovation,ENVIRON TECHNOL INNO,2352-1864,"1,019",3.356,3.189,3.404,0.705,132,2.2,8,0.00168,0.489,90.15,62.367,0.20499
3808,ENVIRONMENTAL TOXICOLOGY,ENVIRON TOXICOL,1520-4081,"4,682",3.118,2.956,2.665,1.087,126,6.2,8.1,0.00472,0.46,99.21,66.643,0.57599
3809,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,ENVIRON TOXICOL CHEM,0730-7268,"20,351",3.152,2.842,3.325,0.698,245,10.6,9.3,0.01286,0.633,94.69,62.876,1.56911
3810,ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,ENVIRON TOXICOL PHAR,1382-6689,"7,255",3.292,3.212,3.162,0.986,143,5.4,7.7,0.00862,0.555,93.01,66.634,1.05253
3811,ENVIRONMENTAL VALUES,ENVIRON VALUE,0963-2719,951,2.158,1.544,2.047,1.414,29,8.7,10,0.0009,0.486,100,64.021,0.11081
3812,ENVIRONMETRICS,ENVIRONMETRICS,1180-4009,"1,843",1.039,0.883,1.722,0.469,49,11.4,9.9,0.00221,0.84,100,29.028,0.27043
3813,ENZYME AND MICROBIAL TECHNOLOGY,ENZYME MICROB TECH,0141-0229,"11,375",3.448,3.3,3.225,0.746,138,13.1,9,0.00528,0.597,100,68.91,0.64441
3814,EPE Journal,EPE J,0939-8368,127,0.344,0.344,0.25,0.143,14,13.6,7.6,0.00004,0.035,100,3.195,0.0049
3815,Epidemics,EPIDEMICS-NETH,1755-4365,882,2.976,2.768,3.269,0.764,55,4.3,6.3,0.00322,1.405,96.36,54.301,0.39391
3816,Epidemiologia & Prevenzione,EPIDEMIOL PREV,1120-9763,617,1.071,0.965,1.143,1.333,3,5.5,6.3,0.00091,0.252,100,15.213,0.11143
3818,EPIDEMIOLOGIC REVIEWS,EPIDEMIOL REV,0193-936X,"3,447",8.16,8.16,8.767,Not Available,0,12.2,Not Available,0.00304,4.014,Not Available,96.632,0.37101
3819,EPIDEMIOLOGIE MIKROBIOLOGIE IMUNOLOGIE,EPIDEMIOL MIKROBI IM,1210-7913,117,0.379,0.31,0.36,0.08,25,5.6,8.1,0.00019,0.088,88,4.074,0.02424
3820,EPIDEMIOLOGY,EPIDEMIOLOGY,1044-3983,"13,412",5.071,4.83,5.834,1.099,131,10.5,8,0.01717,2.533,95.42,93.779,2.09497
3822,EPIDEMIOLOGY AND INFECTION,EPIDEMIOL INFECT,0950-2688,"9,139",2.152,2.08,2.136,0.471,280,7.4,6.9,0.01732,0.796,91.43,41.08,2.11391
3823,Epidemiology and Psychiatric Sciences,EPIDEMIOL PSYCH SCI,2045-7960,"1,584",5.876,5.619,5.461,3.37,54,3.1,8.6,0.00477,1.852,87.04,90.922,0.58198
3825,Epigenetics,EPIGENETICS-US,1559-2294,"5,512",4.251,4.183,4.78,0.951,81,6,6.6,0.00977,1.398,90.12,74.448,1.19302
3826,Epigenetics & Chromatin,EPIGENET CHROMATIN,****-****,"1,889",4.237,4.141,4.763,0.734,79,4.1,7.1,0.00755,2.084,93.67,77.119,0.92147
3827,Epigenomics,EPIGENOMICS-UK,1750-1911,"2,981",4.112,3.951,4.871,0.838,111,4,5.4,0.0076,1.367,90.99,74.859,0.92836
3828,EPILEPSIA,EPILEPSIA,0013-9580,"26,560",6.04,5.519,5.715,1.045,243,9.3,7.3,0.02979,1.769,88.48,90.441,3.63474
3829,EPILEPSY & BEHAVIOR,EPILEPSY BEHAV,1525-5050,"11,202",2.508,1.975,2.676,0.566,458,6,8.7,0.01695,0.674,80.13,50.919,2.06861
3830,Epilepsy Currents,EPILEPSY CURR,1535-7597,889,3.345,3.207,5.576,1.385,13,7.5,6.1,0.00153,2.056,30.77,68.382,0.18687
3831,EPILEPSY RESEARCH,EPILEPSY RES,0920-1211,"6,607",2.208,2.074,2.265,0.537,147,8.6,8.7,0.00868,0.697,89.8,37.5,1.05902
3832,EPILEPTIC DISORDERS,EPILEPTIC DISORD,1294-9361,"1,383",1.276,1.173,1.769,0.342,76,6.4,8.5,0.00244,0.546,90.79,11.52,0.2988
3833,EPISODES,EPISODES,0705-3797,"2,306",1.393,1.339,1.522,0.3,30,13.3,11.2,0.00089,0.451,100,23.25,0.10913
3834,EPJ Data Science,EPJ DATA SCI,****-****,629,2.873,2.696,3.278,0.378,37,3.6,6.9,0.00197,0.99,100,83.921,0.24104
3836,EPJ Quantum Technology,EPJ QUANTUM TECHNOL,2662-4400,186,3,3,Not Available,0.167,6,4,7.5,0.00092,Not Available,100,68.689,0.11319
3837,EPL,EPL-EUROPHYS LETT,0295-5075,"21,850",1.958,1.852,1.798,0.474,359,9.5,8.8,0.02589,0.601,100,51.176,3.15943
3838,EPMA Journal,EPMA J,1878-5077,987,4.901,3.451,Not Available,0.472,36,4,5.4,0.00111,Not Available,72.22,80.797,0.13614
3839,EQUINE VETERINARY EDUCATION,EQUINE VET EDUC,0957-7734,"1,229",0.717,0.617,0.92,0.644,87,8.3,12.7,0.00135,0.246,87.36,34.155,0.16546
3840,EQUINE VETERINARY JOURNAL,EQUINE VET J,0425-1644,"7,200",2.477,1.745,2.571,1.367,120,13,9.6,0.00453,0.612,96.67,94.014,0.55334
3841,ERDE,ERDE,0013-9998,238,0.737,0.737,0.99,0.611,18,6.3,7.4,0.00027,0.217,83.33,7.187,0.03314
3843,Erdkunde,ERDKUNDE,0014-0015,531,1.639,1.528,1.389,0.5,20,9.2,7.3,0.00042,0.35,95,34.631,0.05126
3845,ERGODIC THEORY AND DYNAMICAL SYSTEMS,ERGOD THEOR DYN SYST,0143-3857,"2,413",1.211,1.072,1.028,0.382,123,14,17.3,0.00717,1.047,100,63.405,0.87583
3846,ERGONOMICS,ERGONOMICS,0014-0139,"8,747",2.19,1.886,2.548,0.672,122,14.2,10.7,0.00577,0.627,98.36,51.59,0.70486
3848,ERNAHRUNGS UMSCHAU,ERNAHRUNGS UMSCHAU,0174-0008,252,0.742,0.495,0.563,0.3,50,4.2,6.3,0.00031,0.099,94,9.551,0.03888
3849,Erwerbs-Obstbau,ERWERBS-OBSTBAU,0014-0309,264,1.044,0.791,1.139,0.155,58,3.7,12.5,0.0004,0.194,100,45.833,0.04922
3850,ESAIM-CONTROL OPTIMISATION AND CALCULUS OF VARIATIONS,ESAIM CONTR OPTIM CA,1292-8119,"1,301",1.181,1.141,1.3,0.389,72,8.5,12.7,0.00402,1.029,100,37.59,0.49162
3851,ESAIM-MATHEMATICAL MODELLING AND NUMERICAL ANALYSIS-MODELISATION MATHEMATIQUE ET ANALYSE NUMERIQUE,ESAIM-MATH MODEL NUM,0764-583X,"2,117",1.353,1.269,1.992,0.356,90,8,11.4,0.00643,1.323,100,60.962,0.78457
3852,ESAIM-Probability and Statistics,ESAIM-PROBAB STAT,1292-8100,368,0.515,0.515,0.766,0.167,36,9.4,13.2,0.00123,0.714,100,2.823,0.15069
3853,ESC Heart Failure,ESC HEART FAIL,2055-5822,"1,276",3.902,3.21,Not Available,0.557,149,2.2,5.6,0.00412,Not Available,92.62,68.478,0.50323
3854,ESMO Open,ESMO OPEN,****-****,"1,286",5.329,4.57,Not Available,0.919,74,2.5,3.9,0.00415,Not Available,54.05,78.074,0.50666
3855,Esophagus,ESOPHAGUS-TOKYO,1612-9059,543,3.13,2.779,1.688,0.82,50,2.9,8.6,0.0012,0.426,94,46.023,0.14703
3856,Essays in Biochemistry,ESSAYS BIOCHEM,0071-1365,"2,383",6.966,6.948,6.809,0.726,62,4,6.7,0.00506,2.017,0,88.384,0.61825
3857,Estonian Journal of Earth Sciences,EST J EARTH SCI,1736-4728,270,0.744,0.674,0.891,0.313,16,6.4,18.9,0.00046,0.271,100,7.75,0.05728
3858,Estuaries and Coasts,ESTUAR COAST,1559-2723,"4,351",2.319,2.067,2.576,0.579,145,6.4,11.8,0.00676,0.7,98.62,62.028,0.82522
3859,ESTUARINE COASTAL AND SHELF SCIENCE,ESTUAR COAST SHELF S,0272-7714,"17,632",2.333,2.101,2.889,0.591,428,10.6,11.6,0.01472,0.706,97.43,70.826,1.79663
3860,Estudios Atacamenos,ESTUD ATACAMENOS,0718-1043,417,0.671,0.644,0.745,0.087,46,12.3,13.6,0.00036,0.198,100,55.806,0.04415
3861,Estudios de Economia,ESTUD ECONOMIA,0718-5286,82,0.227,0.227,0.426,0.2,10,Not Available,14.6,0.00009,0.134,100,1.213,0.01112
3862,Estudios de Psicologia,ESTUD PSICOL-MADRID,0210-9395,196,0.527,0.491,0.49,0,27,7.1,10.9,0.00016,0.089,85.19,9.783,0.01962
3863,ESTUDIOS FILOLOGICOS,ESTUD FILOL-VALDIVIA,0071-1713,60,0.105,0.105,0.127,0,29,Not Available,14.4,0.00001,0.012,100,2.406,0.00212
3864,ESTUDIOS GEOLOGICOS-MADRID,ESTUD GEOL-MADRID,0367-0449,424,0.577,0.5,0.612,0.297,37,14.4,14.6,0.00019,0.183,100,9.574,0.02392
3865,Ethical Perspectives,ETHICAL PERSPECT,1370-0049,144,0.163,0.14,0.279,0.048,21,10.2,11.2,0.00006,0.046,100,2.727,0.00737
3866,ETHICS,ETHICS,0014-1704,"2,856",1.892,1.73,1.92,0.471,17,20.8,9.7,0.00101,0.533,94.12,77.273,0.12325
3867,ETHICS & BEHAVIOR,ETHICS BEHAV,1050-8422,802,1.12,1.013,1.23,0.686,35,10.4,9.9,0.0006,0.271,100,43.475,0.07427
3868,Ethics & Global Politics,ETHICS GLOB POLIT,1654-4951,127,0.263,0.211,0.708,0.474,19,7.5,8.7,0.00012,0.213,100,5.543,0.01571
3869,Ethics & International Affairs,ETHICS INT AFF,0892-6794,589,0.906,0.83,1.113,0.346,26,9.2,5.4,0.00095,0.498,88.46,31.63,0.11593
3870,Ethics and Information Technology,ETHICS INF TECHNOL,1388-1957,854,2.068,1.932,2.263,0.231,26,8.6,6.7,0.00075,0.507,96.15,71.536,0.09222
3871,Ethik in der Medizin,ETHIK MED,0935-7335,115,0.556,0.472,0.505,0.2,20,6.8,5.7,0.0001,0.082,100,9.375,0.01227
3872,Ethiopian Journal of Health Development,ETHIOP J HEALTH DEV,1021-6790,622,0.469,0.457,0.717,0.026,39,11.3,7.7,0.00025,0.149,97.44,2.713,0.0316
3874,ETHNIC AND RACIAL STUDIES,ETHNIC RACIAL STUD,0141-9870,"5,287",1.72,1.563,2.073,0.786,145,8.8,9.6,0.00765,0.736,99.31,61.75,0.93338
3875,Ethnicities,ETHNICITIES,1468-7968,949,1.295,1.167,1.589,0.614,57,7.5,10.9,0.00131,0.544,100,47.5,0.16086
3876,ETHNICITY & DISEASE,ETHNIC DIS,1049-510X,"2,269",1.228,1.132,1.491,0.987,75,10.6,5.8,0.00215,0.539,100,19.43,0.26254
3877,ETHNICITY & HEALTH,ETHNIC HEALTH,1355-7858,"1,558",2.554,2.554,2.729,1.031,65,7.1,9.8,0.00253,0.939,95.38,79.022,0.30959
3879,Ethnography,ETHNOGRAPHY,1466-1381,"1,055",0.898,0.831,1.382,0.5,30,10.9,13,0.0009,0.528,96.67,37.333,0.1107
3880,ETHNOHISTORY,ETHNOHISTORY,0014-1801,427,0.641,0.462,0.44,0.133,30,20.5,21.1,0.00018,0.119,100,51.083,0.02285
3881,ETHNOS,ETHNOS,0014-1844,870,1.681,1.648,1.559,0.844,45,9.6,11.7,0.0016,0.683,100,72.778,0.19576
3882,ETHOLOGY,ETHOLOGY,0179-1613,"4,291",1.467,1.39,1.524,0.287,101,12.7,13.6,0.00347,0.512,98.02,38.908,0.42416
3883,ETHOLOGY ECOLOGY & EVOLUTION,ETHOL ECOL EVOL,0394-9370,932,1.022,0.978,1.384,0.41,39,12.5,13.4,0.00089,0.401,100,25.24,0.10946
3884,ETHOS,ETHOS,0091-2131,"1,036",1.078,0.922,1.664,0.214,28,14.2,13.5,0.00096,0.643,100,42.826,0.11795
3885,Etikk i Praksis,ETIKK PRAKSIS,1890-3991,60,0.308,0.308,0.429,0.083,12,Not Available,8.1,0.00007,0.089,100,10,0.00861
