Journal name,JCR Abbreviated Title,ISSN,eISSN,Category,Total Citations,Journal Impact Factor,JIF Quartile,JIF Percentile,Article Influence Score,AIS Quartile,Journal Citation Indicator (JCI),JCI Percentile,% of OA Gold,5 Year JIF,JIF Without Self Cites,Immediacy Index,Eigenfactor,Normalized Eigenfactor,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
Dynamic Games and Applications,DYN GAMES APPL,2153-0785,2153-0793,MATHEMATICS. INTERDISCIPLINARY APPLICATIONS - SCIE,525,1.296,Q4,17.13,0.582,Q3,0.43,26.89,19.08,1.486,1.217,0.162,0.0012,0.25742,37,100,4.5,11.4,37
DYNAMICAL SYSTEMS-AN INTERNATIONAL JOURNAL,DYNAM SYST,1468-9367,1468-9375,Multiple,509,0.663,Q4,9.18,0.386,Q3,0.25,8.36,0.85,0.608,0.614,0.147,0.00066,0.14198,34,100,12.1,18.9,34
DYNAMICS OF ATMOSPHERES AND OCEANS,DYNAM ATMOS OCEANS,0377-0265,1872-6879,Multiple,1.448,2.049,Q3,43.1,0.585,Q3,0.49,46.5,10.08,1.96,1.951,0.328,0.00096,0.20552,58,98.28,13.1,10.8,57
Dynamics of Partial Differential Equations,DYNAM PART DIFFER EQ,1548-159X,1548-159X,MATHEMATICS. APPLIED - SCIE,319,1.032,Q3,27.15,0.691,Q2,0.56,37.07,0,1.213,0.968,0.375,0.00052,0.11229,16,100,9.3,11.8,16
Dynamis,DYNAMIS,0211-9536,N/A,Multiple,247,0.545,N/A,29.84,0.662,Q2,0.24,22.6,78.57,0.644,0.485,0,0.00056,0.12098,9,100,12.5,21.1,9
DYSLEXIA,DYSLEXIA,1076-9242,1099-0909,Multiple,1.263,2.066,Q2,57.95,0.68,Q2,0.89,63.5,19.78,2.634,1.902,0.667,0.00084,0.18082,30,96.67,10.5,11.6,29
DYSPHAGIA,DYSPHAGIA,0179-051X,1432-0460,OTORHINOLARYNGOLOGY - SCIE,5.452,2.733,Q2,66.28,0.802,Q2,1.17,81.45,16.78,3.73,2.233,0.342,0.00374,0.80065,161,83.85,8.9,8.7,135
E & M Ekonomie a Management,E M EKON MANAG,1212-3609,2336-5064,Multiple,600,1.422,Q3,29.95,0.181,Q4,0.5,47.46,97.5,1.384,1.284,0.431,0.00048,0.10345,51,100,4.5,7.1,51
E-POLYMERS,E-POLYMERS,1618-7229,1618-7229,POLYMER SCIENCE - SCIE,1.402,3.074,Q2,55,0.27,Q3,0.49,50,92.07,2.364,2.63,0.489,0.00078,0.16724,92,93.48,5.2,6.4,86
EAR AND HEARING,EAR HEARING,0196-0202,1538-4667,Multiple,8.797,3.562,Q1,87.04,1.168,Q1,1.74,95.45,19.09,4.302,3.183,0.961,0.00726,1.55348,155,94.84,8.9,10.2,147
Early Child Development and Care,EARLY CHILD DEV CARE,0300-4430,1476-8275,Multiple,3.372,1.206,Q4,12.92,0.347,Q4,0.56,42.42,6.29,1.446,1.107,0.519,0.00301,0.64326,237,95.78,7.1,11.8,227
Early Childhood Education Journal,EARLY CHILD EDUC J,1082-3301,1573-1707,EDUCATION & EDUCATIONAL RESEARCH - SSCI,2.395,1.656,Q4,23.03,0.536,Q4,0.93,64.61,11.17,2.123,1.471,0.329,0.00223,0.47762,146,98.63,7.9,8.4,144
EARLY CHILDHOOD RESEARCH QUARTERLY,EARLY CHILD RES Q,0885-2006,1873-7706,Multiple,6.917,3.815,Q1,80.34,1.413,Q1,1.83,95.11,6.33,4.91,3.357,0.809,0.00642,1.37402,141,98.58,8.2,10.3,139
Early Education and Development,EARLY EDUC DEV,1040-9289,1556-6935,Multiple,3.426,2.115,Q3,39.14,0.862,Q2,0.79,56.63,5.24,3.03,1.845,0.398,0.00298,0.6372,93,98.92,8.3,10.3,92
EARLY HUMAN DEVELOPMENT,EARLY HUM DEV,0378-3782,1872-6232,Multiple,8.4,2.699,Q2,51.92,0.697,Q2,0.84,66.58,9.39,2.765,2.534,0.61,0.0053,1.1337,146,94.52,9.4,8.6,138
Early Intervention in Psychiatry,EARLY INTERV PSYCHIA,1751-7885,1751-7893,Multiple,3.254,2.721,Q3,34.86,0.85,Q3,0.64,43.77,12.2,2.936,2.459,0.66,0.00578,1.23673,156,91.67,3.8,8.1,143
Early Science and Medicine,EARLY SCI MED,1383-7427,1573-3823,Multiple,245,0.375,N/A,18.55,0.815,Q1,0.37,37.02,13.43,0.644,0.35,0,0.00078,0.16706,27,96.3,9.7,25.9,26
Early Years,EARLY YEARS-ABINGDON,0957-5146,1472-4421,EDUCATION & EDUCATIONAL RESEARCH - SSCI,730,1.069,Q4,9.55,0.385,Q4,0.55,41.88,15.38,1.429,0.989,0.667,0.00062,0.13278,69,98.55,7.4,9.7,68
Earth and Environmental Science Transactions of the Royal Society of Edinburgh,EARTH ENV SCI T R SO,1755-6910,1755-6929,Multiple,2.994,1.75,Q3,48.11,0.483,Q3,0.78,59.22,5.45,1.981,1.74,0.429,0.00073,0.15703,14,100,25.8,14.8,14
EARTH AND PLANETARY SCIENCE LETTERS,EARTH PLANET SC LETT,0012-821X,1385-013X,GEOCHEMISTRY & GEOPHYSICS - SCIE,80.715,5.785,Q1,90.23,2.197,Q1,1.67,94.5,15.93,6.162,5.485,1.478,0.05762,12.31439,464,100,12.5,10.5,464
Earth and Space Science,EARTH SPACE SCI,N/A,2333-5084,Multiple,2.688,3.68,Q2,64.49,1.218,Q1,0.73,67.28,95.66,3.754,3.479,0.832,0.00654,1.39934,315,99.37,2.4,9.3,313
Earth Interactions,EARTH INTERACT,N/A,1087-3562,GEOSCIENCES. MULTIDISCIPLINARY - SCIE,1.104,2,Q3,27.61,0.684,Q3,0.7,52.25,100,2.731,2,0.462,0.00043,0.09303,13,100,11.1,8.2,13
EARTH MOON AND PLANETS,EARTH MOON PLANETS,0167-9295,1573-0794,Multiple,605,0.308,Q4,2.17,0.209,Q4,0.15,20.37,16.67,0.679,0.308,0.4,0.00011,0.02377,5,100,16.7,8.3,5
EARTH PLANETS AND SPACE,EARTH PLANETS SPACE,N/A,1880-5981,GEOSCIENCES. MULTIDISCIPLINARY - SCIE,7.174,3.362,Q2,57.46,1.079,Q2,0.81,62.91,100,3.442,2.472,1.468,0.00869,1.85725,201,99.5,6.5,10.2,200
Earth Science Informatics,EARTH SCI INFORM,1865-0473,1865-0481,Multiple,1.24,2.705,Q3,44.53,0.379,Q4,0.57,44.9,6.35,2.447,2.503,0.639,0.00112,0.24095,169,95.86,3,7.2,162
EARTH SCIENCES HISTORY,EARTH SCI HIST,0736-623X,1944-6187,Multiple,115,0.357,Q4,16.94,0.11,Q4,0.2,14.9,0,0.276,0.286,0.467,0.0001,0.02189,15,100,10.4,46.4,15
Earth Sciences Research Journal,EARTH SCI RES J,1794-6190,2339-3459,GEOSCIENCES. MULTIDISCIPLINARY - SCIE,495,1.043,Q4,6.72,0.175,Q4,0.16,9.63,91.85,1.264,0.915,0.122,0.00032,0.06985,41,100,5.8,11,41
Earth Surface Dynamics,EARTH SURF DYNAM,2196-6311,2196-632X,Multiple,1.837,4.336,Q2,73.38,1.494,Q1,1.09,79.71,97.42,4.929,4.092,0.813,0.00397,0.84958,75,100,4.1,11.5,75
EARTH SURFACE PROCESSES AND LANDFORMS,EARTH SURF PROC LAND,0197-9337,1096-9837,Multiple,15.72,3.956,Q2,66.42,0.999,Q2,1.04,77.66,21.53,4.343,3.457,0.969,0.01001,2.13955,225,99.56,10.5,11.4,224
Earth System Dynamics,EARTH SYST DYNAM,2190-4979,2190-4987,GEOSCIENCES. MULTIDISCIPLINARY - SCIE,2.781,5.458,Q1,86.82,1.913,Q1,1.39,89.14,100,5.163,5.025,3.657,0.00592,1.26635,70,98.57,4.2,7.1,69
Earth System Science Data,EARTH SYST SCI DATA,1866-3508,1866-3516,Multiple,8.462,11.815,Q1,98.4,4.139,Q1,2.11,98.61,99.49,12.88,11.131,2.337,0.02072,4.42836,288,98.96,3,8.5,285
EARTH-SCIENCE REVIEWS,EARTH-SCI REV,0012-8252,1872-6828,GEOSCIENCES. MULTIDISCIPLINARY - SCIE,33.708,12.038,Q1,98.26,3.862,Q1,1.88,97.34,16.01,14.424,11.54,2.859,0.03804,8.13128,291,51.55,6.6,12.5,150
EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS,EARTHQ ENG STRUCT D,0098-8847,1096-9845,Multiple,16.804,4.06,Q2,70.65,1.142,Q1,1.09,83.14,10.07,5.041,3.524,0.917,0.00722,1.54417,169,100,13.1,10.2,169
Earthquake Engineering and Engineering Vibration,EARTHQ ENG ENG VIB,1671-3664,1993-503X,Multiple,2.538,2.81,Q3,48.19,0.422,Q3,0.63,58,0,2.727,2.254,0.583,0.00123,0.26397,72,98.61,7.9,10.6,71
EARTHQUAKE SPECTRA,EARTHQ SPECTRA,8755-2930,1944-8201,Multiple,8.906,4.33,Q2,74.28,1.009,Q1,0.96,79.71,4.36,3.735,3.777,1.113,0.00478,1.02266,124,100,10.1,9.1,124
Earthquakes and Structures,EARTHQ STRUCT,2092-7614,2092-7622,Multiple,1.926,2.025,Q3,32.97,0.289,Q3,0.56,51.71,0,2.081,1.51,0.443,0.00152,0.32513,97,98.97,5.1,9.1,96
Earths Future,EARTHS FUTURE,N/A,2328-4277,Multiple,5.307,8.852,Q1,96.77,2.605,Q1,1.74,95.7,95.43,9.274,8.39,1.475,0.01131,2.41716,162,96.3,3.5,6.3,156
East Asian Journal on Applied Mathematics,E ASIAN J APPL MATH,2079-7362,2079-7370,MATHEMATICS. APPLIED - SCIE,441,2.011,Q2,71.72,0.338,Q4,0.99,69.56,93.57,1.442,1.739,0.417,0.00069,0.14896,48,100,3.3,8.7,48
East Asian Science Technology and Society-An International Journal,E ASIAN SCI TECH SOC,1875-2160,1875-2152,Multiple,322,1.2,N/A,54.17,0.466,Q1,1.53,89.5,21.84,1.186,0.9,0.243,0.0005,0.10695,37,100,7.1,10.5,37
EAST EUROPEAN POLITICS AND SOCIETIES,E EUR POLIT SOC,0888-3254,1533-8371,Multiple,818,1.225,Q2,57.74,0.66,Q2,0.99,67.16,12.82,1.285,1.134,0.189,0.00171,0.36704,53,98.11,6.6,12.9,52
Eastern European Countryside,EAST EUR COUNTRYSIDE,1232-8855,2300-8717,SOCIOLOGY - SSCI,83,0.229,Q4,3.04,0.115,Q4,0.16,15.07,0,0.657,0.2,0,0.00007,0.01629,9,100,N/A,10.5,9
EASTERN EUROPEAN ECONOMICS,EASTERN EUR ECON,0012-8775,1557-9298,ECONOMICS - SSCI,424,1.365,Q3,28.89,0.288,Q4,0.4,37.46,5.26,1.4,1.308,0.083,0.00034,0.07306,24,100,7.4,9.5,24
EASTERN MEDITERRANEAN HEALTH JOURNAL,E MEDITERR HEALTH J,1020-3397,1687-1634,Multiple,3.418,2.087,Q3,25.57,0.402,Q4,0.49,31.76,73.07,1.872,1.986,0.344,0.00232,0.4965,125,84.8,8.8,7.2,106
Eating and Weight Disorders-Studies on Anorexia Bulimia and Obesity,EAT WEIGHT DISORD-ST,1124-4909,1590-1262,PSYCHIATRY - SCIE,4.179,3.008,Q3,32.58,0.651,Q4,0.79,56.61,16.67,3.558,2.564,0.929,0.00473,1.01175,252,90.48,3.6,8.2,228
Eating Behaviors,EAT BEHAV,1471-0153,1873-7358,Multiple,4.447,2.936,Q3,41.2,0.812,Q3,0.74,52.33,4.1,3.561,2.745,0.485,0.0032,0.68397,103,99.03,7.5,9,102
Eating Disorders,EAT DISORD,1064-0266,1532-530X,Multiple,1.916,3.663,Q2,66.46,0.759,Q3,0.92,69.46,4.08,3.323,3.093,1.852,0.00144,0.30984,61,90.16,7.9,9,55
EBioMedicine,EBIOMEDICINE,2352-3964,2352-3964,MEDICINE. RESEARCH & EXPERIMENTAL - SCIE,22.555,11.205,Q1,90.29,2.524,Q1,2.26,94.62,98.75,10.481,11.038,2.532,0.04603,9.83828,380,90,2.9,5.3,342
ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES,ECHOCARDIOGR-J CARD,0742-2822,1540-8175,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,4.259,1.874,Q4,19.93,0.489,Q4,0.34,32.13,6.47,1.818,1.742,0.431,0.00519,1.11104,188,86.7,6,7.5,163
Eco mont-Journal on Protected Mountain Areas Research,ECO MONT,2073-106X,2073-1558,Multiple,136,0.839,Q4,14.62,0.146,Q4,0.21,17.86,98.48,0.84,0.613,0.114,0.00012,0.02777,35,97.14,4.8,8.2,34
ECOGRAPHY,ECOGRAPHY,0906-7590,1600-0587,Multiple,17.627,6.802,Q1,90,2.179,Q1,1.5,93.57,69.45,7.739,6.48,0.965,0.01689,3.60952,144,91.67,8.3,8.5,132
EcoHealth,ECOHEALTH,1612-9202,1612-9210,ENVIRONMENTAL SCIENCES - SCIE,3.173,4.464,Q2,62.19,0.944,Q2,0.69,57.56,21.92,3.895,4.381,0.429,0.00281,0.60162,49,97.96,7.3,8.4,48
Ecohydrology,ECOHYDROLOGY,1936-0584,1936-0592,Multiple,3.962,3.166,Q2,56.36,0.706,Q2,0.67,55.4,12.34,3.369,2.965,0.684,0.0038,0.81325,117,97.44,6,9.6,114
ECOHYDROLOGY & HYDROBIOLOGY,ECOHYDROL HYDROBIOL,1642-3593,2080-3397,Multiple,1.155,2.957,Q2,51.73,0.478,Q3,0.79,65.73,4.52,3.1,2.861,1.048,0.00094,0.20299,62,96.77,4.5,10.7,60
ECOLOGICAL APPLICATIONS,ECOL APPL,1051-0761,1939-5582,Multiple,26.273,6.105,Q1,85.84,1.502,Q1,1.14,82.56,26.53,6.131,5.901,1.623,0.01291,2.7601,236,99.58,12.3,8.8,235
Ecological Chemistry and Engineering S-Chemia I Inzynieria Ekologiczna S,ECOL CHEM ENG S,1898-6196,2084-4549,ENVIRONMENTAL SCIENCES - SCIE,766,1.663,Q4,13.44,0.202,Q4,0.3,16.51,99.21,1.707,1.439,0.786,0.00044,0.09501,28,92.86,5.6,6.6,26
Ecological Complexity,ECOL COMPLEX,1476-945X,1476-9840,ECOLOGY - SCIE,2.449,2.969,Q2,52.31,0.546,Q3,0.54,42.06,7.24,2.593,2.867,0.944,0.00142,0.30497,54,100,8.5,9.3,54
ECOLOGICAL ECONOMICS,ECOL ECON,0921-8009,1873-6106,Multiple,36.096,6.536,Q1,91.95,1.452,Q1,1.58,92.75,18.2,7.3,5.927,1.825,0.01999,4.27244,348,98.28,10,7.7,342
ECOLOGICAL ENGINEERING,ECOL ENG,0925-8574,1872-6992,Multiple,25.821,4.379,Q2,73.12,0.741,Q2,0.75,62.68,4.83,5.191,4.158,0.94,0.0147,3.14207,284,97.18,6.8,9.2,276
ECOLOGICAL ENTOMOLOGY,ECOL ENTOMOL,0307-6946,1365-2311,ENTOMOLOGY - SCIE,5.345,2.233,Q2,64.5,0.554,Q1,0.89,70.95,12.53,2.27,2.089,0.657,0.00297,0.63678,99,96.97,13.2,11.3,96
ECOLOGICAL INDICATORS,ECOL INDIC,1470-160X,1872-7034,ENVIRONMENTAL SCIENCES - SCIE,44.44,6.263,Q1,76.16,0.986,Q2,1.32,87.5,62.19,6.643,5.545,1.762,0.03925,8.38952,1.514,97.23,4.3,7.9,1.472
Ecological Informatics,ECOL INFORM,1574-9541,1878-0512,ECOLOGY - SCIE,3.848,4.498,Q2,74.86,0.748,Q2,1.04,77.51,9.96,4.18,4.215,0.966,0.00338,0.72414,263,97.72,5.1,6.6,257
ECOLOGICAL MANAGEMENT & RESTORATION,ECOL MANAG RESTOR,1442-7001,1442-8903,ECOLOGY - SCIE,1.182,2.211,Q3,36.13,0.497,Q3,0.45,34.13,8.8,2.539,1.947,2.265,0.00066,0.14222,68,89.71,7,9,61
ECOLOGICAL MODELLING,ECOL MODEL,0304-3800,1872-7026,ECOLOGY - SCIE,23.647,3.512,Q2,61.56,0.722,Q2,0.8,62.17,13.26,3.554,3.237,0.779,0.00958,2.04923,249,97.19,12.5,10.3,242
ECOLOGICAL MONOGRAPHS,ECOL MONOGR,0012-9615,1557-7015,ECOLOGY - SCIE,14.142,9.814,Q1,95.66,3.189,Q1,2.22,97.62,25.93,10.989,9.674,1.633,0.00566,1.2107,49,89.8,16.8,10.9,44
Ecological Processes,ECOL PROCESS,N/A,2192-1709,Multiple,1.318,4.394,Q2,73.7,N/A,N/A,0.65,52.31,99.43,N/A,4.24,1,0.00153,0.32861,70,95.71,3.9,9.2,67
ECOLOGICAL PSYCHOLOGY,ECOL PSYCHOL,1040-7413,1532-6969,PSYCHOLOGY. EXPERIMENTAL - SSCI,1.181,1.688,Q4,13.89,0.565,Q4,0.63,31.44,14.29,1.699,1.594,0.5,0.00044,0.09527,10,90,18,12,9
ECOLOGICAL RESEARCH,ECOL RES,0912-3814,1440-1703,ECOLOGY - SCIE,4.62,2.056,Q3,30.35,0.475,Q3,0.5,39.42,19.73,2.253,1.94,0.608,0.00236,0.50593,79,98.73,10.8,11.2,78
Ecological Restoration,ECOL RESTOR,1543-4060,1543-4079,ECOLOGY - SCIE,604,1,Q4,13.58,0.283,Q4,0.23,15.61,0,1.354,1,1.6,0.0003,0.06484,20,100,10,8.8,20
ECOLOGY,ECOLOGY,0012-9658,1939-9170,ECOLOGY - SCIE,72.018,6.431,Q1,87.57,1.769,Q1,1.36,88.62,18.96,6.33,6.242,1.421,0.02446,5.2284,271,100,16.5,10.4,271
Ecology and Evolution,ECOL EVOL,2045-7758,2045-7758,Multiple,23.69,3.167,Q2,56.94,0.853,Q2,0.68,53.7,96.06,3.445,2.992,0.643,0.04052,8.65934,1.308,96.94,4,10.5,1.268
ECOLOGY AND SOCIETY,ECOL SOC,1708-3087,N/A,Multiple,16.035,4.653,Q1,76.01,1.432,Q1,1.05,78.57,98.02,6.486,4.294,0.906,0.01084,2.31669,139,98.56,8.1,8.3,137
ECOLOGY LAW QUARTERLY,ECOL LAW QUART,0046-1121,0046-1121,Multiple,355,0.575,Q4,15.91,0.294,Q4,0.44,41.71,0,0.694,0.575,0.5,0.00041,0.0877,4,100,12.4,6.6,4
ECOLOGY LETTERS,ECOL LETT,1461-023X,1461-0248,ECOLOGY - SCIE,42.643,11.274,Q1,96.82,3.717,Q1,2.27,98.15,28.62,11.865,10.805,1.511,0.02998,6.40718,225,89.78,10.4,9.3,202
ECOLOGY OF FOOD AND NUTRITION,ECOL FOOD NUTR,0367-0244,1543-5237,NUTRITION & DIETETICS - SCIE,1.405,1.763,Q4,17.22,0.402,Q4,0.36,27.06,7.09,2.065,1.667,0.375,0.0007,0.15115,48,97.92,10.1,7,47
ECOLOGY OF FRESHWATER FISH,ECOL FRESHW FISH,0906-6691,1600-0633,Multiple,2.602,2.434,Q2,61.5,0.585,Q2,0.8,73.97,7.18,2.485,2.287,0.25,0.00199,0.42671,52,100,9.6,12.9,52
Econ Journal Watch,ECON J WATCH,1933-527X,1933-527X,ECONOMICS - SSCI,191,0.72,Q4,8.58,0.236,Q4,0.09,6.58,0,0.591,0.4,0.85,0.00019,0.0421,20,100,9.5,13.5,20
Econometric Reviews,ECONOMET REV,0747-4938,1532-4168,Multiple,2.544,1.605,Q2,52.4,1.041,Q1,0.6,57.98,8.38,1.686,1.581,0.605,0.00283,0.60681,43,97.67,13,15.1,42
ECONOMETRIC THEORY,ECONOMET THEOR,0266-4666,1469-4360,Multiple,3.913,1.968,Q2,64.4,2.088,Q1,0.71,69.02,14.71,2.286,1.73,0.288,0.00375,0.80141,73,100,17.3,16,73
ECONOMETRICA,ECONOMETRICA,0012-9682,1468-0262,Multiple,47.762,6.383,Q1,97.2,12.007,Q1,2.25,99.23,0,8.252,6.234,2.315,0.0357,7.63025,92,100,32.5,11.4,92
Econometrics Journal,ECONOMET J,1368-4221,1368-423X,Multiple,1.747,3.071,Q1,85.2,4.37,Q1,1.6,93.56,13.16,4.602,3,0.676,0.00386,0.82507,34,100,12.3,11,34
Economia Politica,ECON POLIT-ITALY,1120-2890,1973-820X,ECONOMICS - SSCI,332,1.143,Q4,19.39,0.35,Q4,0.4,37.46,22.05,1.36,1.088,0.5,0.00057,0.12208,36,100,3.7,7.2,36
Economic Analysis and Policy,ECON ANAL POLICY,0313-5926,0313-5926,ECONOMICS - SSCI,2.092,4.444,Q1,82.72,0.601,Q3,1.41,86.4,4.85,3.636,4.059,2.082,0.00195,0.41869,184,99.46,2.5,7.1,183
ECONOMIC AND INDUSTRIAL DEMOCRACY,ECON IND DEMOCRACY,0143-831X,1461-7099,INDUSTRIAL RELATIONS & LABOR - SSCI,1.37,1.913,Q3,35,0.675,Q3,1.08,75.49,18.5,2.209,1.543,0.83,0.00141,0.30144,100,98,7.7,11.4,98
Economic and Labour Relations Review,ECON LABOUR RELAT RE,1035-3046,1838-2673,Multiple,649,2.5,Q2,59.5,0.887,Q2,0.73,63.6,7.29,2.819,2.145,0.265,0.00125,0.26831,34,97.06,4.8,7.1,33
ECONOMIC AND SOCIAL REVIEW,ECON SOC REV,0012-9984,0012-9984,Multiple,386,0.72,Q4,14.53,0.37,Q4,0.33,30.96,0,0.823,0.7,0.188,0.00039,0.08482,16,100,9.1,7.6,16
Economic Anthropology,ECON ANTHROPOL,2330-4847,2330-4847,ANTHROPOLOGY - SSCI,248,1.236,Q3,42.47,0.78,Q2,1.04,77.41,14.81,1.598,1.145,0.692,0.00086,0.18522,26,100,3.7,10.2,26
ECONOMIC BOTANY,ECON BOT,0013-0001,1874-9364,PLANT SCIENCES - SCIE,3.681,2.351,Q2,53.15,0.476,Q2,0.52,49.81,22.78,2.708,2.281,0.273,0.00065,0.13908,22,90.91,22.7,10.3,20
Economic Change and Restructuring,ECON CHANG RESTRUCT,1573-9414,1574-0277,ECONOMICS - SSCI,456,1.708,Q3,37.34,0.306,Q4,0.76,65.35,4.61,1.803,1.573,0.54,0.00039,0.08501,63,100,3.9,8.4,63
Economic Computation and Economic Cybernetics Studies and Research,ECON COMPUT ECON CYB,0424-267X,1842-3264,Multiple,537,0.899,Q4,13.06,0.132,Q4,0.35,33.25,97.79,0.997,0.792,0.13,0.00046,0.09935,77,100,4.9,7.9,77
ECONOMIC DEVELOPMENT AND CULTURAL CHANGE,ECON DEV CULT CHANGE,0013-0079,1539-2988,Multiple,3.165,1.507,Q2,67.26,1.462,Q1,0.96,75.18,3.94,2.169,1.48,1.096,0.00205,0.43925,52,100,19.1,11.2,52
ECONOMIC DEVELOPMENT QUARTERLY,ECON DEV Q,0891-2424,1552-3543,Multiple,1.073,1.077,Q4,17.55,0.469,Q3,0.41,38.51,0,1.61,0.885,0.231,0.00054,0.11723,26,96.15,12.3,11.9,25
ECONOMIC GEOGRAPHY,ECON GEOGR,0013-0095,1944-8287,Multiple,5.464,14.921,Q1,99.6,3.997,Q1,2.36,96.69,27.42,16.845,14.605,2.042,0.00368,0.78717,24,100,11.1,8.3,24
ECONOMIC GEOLOGY,ECON GEOL,0361-0128,1554-0774,Multiple,16.636,5.086,Q1,84.48,1.281,Q1,1.57,95.16,12.17,5.451,4.77,1.808,0.00485,1.038,78,100,18.1,15.7,78
ECONOMIC HISTORY REVIEW,ECON HIST REV,0013-0117,1468-0289,Multiple,2.342,2.487,N/A,99.51,1.781,Q1,3.26,98.86,25.61,2.157,2,0.286,0.00429,0.91864,49,100,13,21.6,49
ECONOMIC INQUIRY,ECON INQ,0095-2583,1465-7295,ECONOMICS - SSCI,4.34,1.71,Q3,37.86,1.15,Q2,0.6,54.3,14.45,2.095,1.657,0.418,0.00632,1.35205,91,97.8,10.4,10.2,89
ECONOMIC JOURNAL,ECON J,0013-0133,1468-0297,ECONOMICS - SSCI,17.209,3.721,Q2,74.01,4.563,Q1,1.3,82.89,15.13,4.919,3.662,0.904,0.02314,4.94714,136,99.26,16.9,11.4,135
ECONOMIC MODELLING,ECON MODEL,0264-9993,1873-6122,ECONOMICS - SSCI,13.142,3.875,Q1,76.12,0.73,Q3,1.28,82.54,5.94,3.807,3.396,1.514,0.01033,2.20918,385,100,6.3,10.2,385
ECONOMIC POLICY,ECON POLICY,0266-4658,1468-0327,ECONOMICS - SSCI,2.064,3.844,Q1,75.59,5.2,Q1,1.09,78.86,8.16,6.654,3.813,0.706,0.004,0.85527,17,100,10.7,9.1,17
ECONOMIC RECORD,ECON REC,0013-0249,1475-4932,ECONOMICS - SSCI,1.338,1.034,Q4,16.49,0.37,Q4,0.36,34.12,3.75,1.384,0.914,0.091,0.00055,0.11929,22,100,13.2,8.3,22
Economic Research-Ekonomska Istrazivanja,ECON RES-EKON ISTRAZ,1331-677X,1848-9664,ECONOMICS - SSCI,3.65,3.08,Q2,68.73,0.384,Q4,1.06,77.98,99.38,3.151,2.686,0.911,0.00302,0.64628,271,98.15,2.9,5.3,266
Economic Systems,ECON SYST,0939-3625,1878-5433,ECONOMICS - SSCI,1.544,2.31,Q2,54.49,0.636,Q3,0.94,74.65,5.19,3.131,2.298,0.647,0.00134,0.28684,51,100,6.4,10.2,51
Economic Systems Research,ECON SYST RES,0953-5314,1469-5758,ECONOMICS - SSCI,1.842,2.081,Q3,50,0.651,Q3,0.71,62.19,26.72,2.94,1.826,0.267,0.00103,0.22207,30,100,8.6,7.6,30
ECONOMIC THEORY,ECON THEOR,0938-2259,1432-0479,ECONOMICS - SSCI,2.77,1.423,Q3,30.21,0.893,Q2,0.56,51.67,20.88,1.304,1.102,0.683,0.00351,0.75084,82,100,13.4,14.9,82
ECONOMICA,ECONOMICA,0013-0427,1468-0335,ECONOMICS - SSCI,2.988,1.53,Q3,33.38,2.058,Q1,0.63,55.7,20.97,2.436,1.506,0.146,0.00349,0.74779,41,100,15.4,9.8,41
Economics & Human Biology,ECON HUM BIOL,1570-677X,1873-6130,Multiple,2.311,2.774,Q2,63.72,0.856,Q2,0.86,70.79,15.05,2.773,2.22,0.635,0.00297,0.63473,115,100,6.5,8.8,115
Economics & Politics,ECON POLIT-OXFORD,0954-1985,1468-0343,Multiple,1.087,1.262,Q3,27.54,1.334,Q2,0.66,57.98,12.33,1.931,1.238,0.323,0.0011,0.23559,31,100,14.8,10.5,31
ECONOMICS AND PHILOSOPHY,ECON PHILOS,0266-2671,1474-0028,Multiple,767,1.615,Q2,50.89,1.044,Q1,0.54,49.91,20.55,1.678,1.41,0.5,0.00089,0.19085,34,100,14.1,14.3,34
ECONOMICS LETTERS,ECON LETT,0165-1765,1873-7374,ECONOMICS - SSCI,14.959,1.469,Q3,31.79,0.699,Q3,0.69,60.61,7.2,2.123,1.411,0.455,0.01364,2.91573,396,100,9.7,8.5,396
ECONOMICS OF EDUCATION REVIEW,ECON EDUC REV,0272-7757,1873-7382,Multiple,5.22,2.083,Q2,50.26,1.751,Q1,1.07,78.16,12.1,3.055,1.923,0.329,0.00701,1.5001,79,100,10.3,9,79
Economics of Energy & Environmental Policy,ECON ENERGY ENV POL,2160-5882,2160-5890,Multiple,405,1.8,Q3,41.29,0.862,Q2,0.51,48.68,6.15,2.333,1.725,0.68,0.00068,0.14708,25,100,5.6,6.4,25
Economics of Governance,ECON GOV,1435-6104,1435-8131,ECONOMICS - SSCI,495,0.781,Q4,9.89,0.291,Q4,0.25,22.37,12.24,0.756,0.75,0.294,0.00021,0.04603,17,94.12,13.4,13.6,16
Economics of Innovation and New Technology,ECON INNOV NEW TECH,1043-8599,1476-8364,ECONOMICS - SSCI,2.153,2.213,Q2,52.64,0.666,Q3,0.86,70.79,11.23,3.008,2.081,2.137,0.00167,0.35698,50,100,8.1,11,50
ECONOMICS OF TRANSITION,ECON TRANSIT,0967-0750,1468-0351,ECONOMICS - SSCI,896,0.951,Q4,14.38,0.398,Q4,0.38,35.88,0,1.151,0.951,N/A,0.00044,0.09605,0,N/A,14,N/A,0
