Journal	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
J VERTEBR PALEONTOL	0.777	0.777	0.777	0.777	0.777	0.777	0.777	0.777	0.777	0.777	0.777	0.632	0.779	0.849	0.809	0.606	0.673	0.734	0.734	0.691	0.631	0.652	0.627	0.64
J ALLOY COMPD	0.486	0.486	0.486	0.486	0.486	0.486	0.486	0.486	0.486	0.486	0.486	0.503	0.488	0.471	0.509	0.547	0.534	0.557	0.558	0.551	0.574	0.601	0.63	0.719
J EXP MAR BIOL ECOL	0.758	0.758	0.758	0.758	0.758	0.758	0.758	0.758	0.758	0.758	0.758	0.766	0.741	0.744	0.776	0.767	0.819	0.727	0.757	0.71	0.629	0.689	0.626	0.678
J TROP ECOL	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.74	0.669	0.62	0.611	0.762	0.576	0.576	0.453	0.462	0.431	0.434	0.39	0.359	0.446
MAR PETROL GEOL	1.086	1.086	1.086	1.086	1.086	1.086	1.086	1.086	1.086	1.086	1.086	1.046	0.98	1.054	0.952	1.015	0.835	1.039	0.898	1.007	1.067	1.044	1.014	1.045
THIN SOLID FILMS	0.653	0.653	0.653	0.653	0.653	0.653	0.653	0.653	0.653	0.653	0.653	0.641	0.595	0.642	0.596	0.551	0.51	0.456	0.426	0.383	0.356	0.324	0.329	0.352
ACAD MED	1.103	1.103	1.103	1.103	1.103	1.103	1.103	1.103	1.103	1.103	1.103	0.944	0.973	1.02	1.132	1.189	1.347	1.388	1.651	1.798	1.831	2.104	2.364	2.71
ATMOS OCEAN	0.887	0.887	0.887	0.887	0.887	0.887	0.887	0.887	0.887	0.887	0.887	0.794	0.751	0.81	0.901	0.672	0.671	0.674	0.747	0.618	0.501	0.63	0.524	0.537
ACTA MATH-DJURSHOLM	4.286	4.286	4.286	4.286	4.286	4.286	4.286	4.286	4.286	4.286	4.286	3.343	4.531	5.568	5.916	6.443	7.489	5.996	6.454	6.32	5.541	5.252	5.622	5.514
RESP MED	0.642	0.642	0.642	0.642	0.642	0.642	0.642	0.642	0.642	0.642	0.642	0.663	0.674	0.676	0.764	0.817	0.917	0.907	0.927	0.989	0.993	1.071	0.959	1.166
COMBUST FLAME	1.084	1.084	1.084	1.084	1.084	1.084	1.084	1.084	1.084	1.084	1.084	0.856	1.232	0.857	1.17	0.965	1.278	0.947	1.349	0.887	1.202	0.922	1.122	0.868
PEDIATR NEPHROL	0.447	0.447	0.447	0.447	0.447	0.447	0.447	0.447	0.447	0.447	0.447	0.504	0.568	0.517	0.627	0.711	0.742	0.887	0.754	0.736	0.755	0.715	0.715	0.822
SIAM J CONTROL OPTIM	1.268	1.268	1.268	1.268	1.268	1.268	1.268	1.268	1.268	1.268	1.268	1.094	1.091	1.27	1.407	1.44	1.588	1.443	1.381	1.406	1.512	1.439	1.296	1.486
GEOL MAG	0.78	0.78	0.78	0.78	0.78	0.78	0.78	0.78	0.78	0.78	0.78	0.843	0.798	0.925	0.947	0.944	0.789	0.902	0.765	0.783	0.808	0.739	0.884	0.78
MAR ENVIRON RES	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.663	0.592	0.631	0.72	0.713	0.69	0.747	0.826	0.799	0.804	0.849	0.766	0.896
HISTOL HISTOPATHOL	0.567	0.567	0.567	0.567	0.567	0.567	0.567	0.567	0.567	0.567	0.567	0.599	0.612	0.654	0.626	0.636	0.66	0.596	0.564	0.485	0.451	0.431	0.406	0.409
INFLAMMATION	0.386	0.386	0.386	0.386	0.386	0.386	0.386	0.386	0.386	0.386	0.386	0.478	0.45	0.522	0.56	0.528	0.497	0.5	0.566	0.598	0.6	0.565	0.63	0.713
TOXICOL PATHOL	0.539	0.539	0.539	0.539	0.539	0.539	0.539	0.539	0.539	0.539	0.539	0.562	0.61	0.654	0.734	0.732	0.634	0.648	0.648	0.613	0.557	0.423	0.427	0.524
EUR J PLANT PATHOL	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.59	0.554	0.644	0.505	0.482	0.578	0.498	0.45	0.468	0.423	0.432	0.419	0.401	0.401
J SYN ORG CHEM JPN	0.168	0.168	0.168	0.168	0.168	0.168	0.168	0.168	0.168	0.168	0.168	0.158	0.157	0.156	0.135	0.162	0.173	0.15	0.115	0.075	0.086	0.079	0.061	0.063
NEUROL RES	0.498	0.498	0.498	0.498	0.498	0.498	0.498	0.498	0.498	0.498	0.498	0.568	0.56	0.535	0.478	0.361	0.4	0.401	0.433	0.414	0.373	0.4	0.443	0.525
JETP LETT+	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.55	0.511	0.638	0.574	0.555	0.614	0.495	0.464	0.434	0.384	0.363	0.326	0.346	0.326
TRANSFUSION MED	0.423	0.423	0.423	0.423	0.423	0.423	0.423	0.423	0.423	0.423	0.423	0.428	0.451	0.514	0.534	0.452	0.47	0.463	0.545	0.432	0.466	0.571	0.705	0.549
ZOOL SCR	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.833	0.969	1.031	1.055	1.068	1.027	1.129	1.067	0.938	1.008	1.015	0.884	0.986
IEEE T MICROW THEORY	1.247	1.247	1.247	1.247	1.247	1.247	1.247	1.247	1.247	1.247	1.247	1.268	1.217	1.141	1.197	1.226	1.228	1.174	0.988	1.079	1.153	1.102	0.985	1.019
SUPPORT CARE CANCER	0.542	0.542	0.542	0.542	0.542	0.542	0.542	0.542	0.542	0.542	0.542	0.6	0.631	0.621	0.848	0.922	0.843	0.824	0.853	0.869	0.861	0.877	0.798	0.993
ASAIO J	0.339	0.339	0.339	0.339	0.339	0.339	0.339	0.339	0.339	0.339	0.339	0.265	0.395	0.41	0.445	0.4	0.425	0.481	0.644	0.614	0.642	0.646	0.768	0.866
B MATH BIOL	0.748	0.748	0.748	0.748	0.748	0.748	0.748	0.748	0.748	0.748	0.748	0.794	0.81	0.912	0.885	0.851	0.715	0.629	0.662	0.533	0.601	0.58	0.648	0.774
J CHEM THERMODYN	0.536	0.536	0.536	0.536	0.536	0.536	0.536	0.536	0.536	0.536	0.536	0.62	0.574	0.6	0.543	0.569	0.543	0.58	0.517	0.527	0.503	0.436	0.398	0.46
Z GASTROENTEROL	0.211	0.211	0.211	0.211	0.211	0.211	0.211	0.211	0.211	0.211	0.211	0.183	0.193	0.216	0.211	0.229	0.255	0.247	0.28	0.3	0.279	0.276	0.272	0.411
J MARINE SYST	0.929	0.929	0.929	0.929	0.929	0.929	0.929	0.929	0.929	0.929	0.929	0.979	0.906	0.883	1.042	1.107	1.114	1.052	0.887	0.887	0.818	0.88	0.87	0.845
J ATMOS OCEAN TECH	0.998	0.998	0.998	0.998	0.998	0.998	0.998	0.998	0.998	0.998	0.998	1.001	0.851	0.887	1.026	1.116	1.283	1.072	0.935	0.994	0.959	0.887	0.824	0.851
NEURAL NETWORKS	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	0.93	0.968	0.868	0.918	0.856	0.785	0.835	0.914	0.987	1.501	1.665	1.899	2.206
P JPN ACAD B-PHYS	0.356	0.356	0.356	0.356	0.356	0.356	0.356	0.356	0.356	0.356	0.356	0.306	0.386	0.437	0.821	0.931	1.029	1.008	0.839	0.923	0.826	0.808	0.874	1.004
CAN J EARTH SCI	0.553	0.553	0.553	0.553	0.553	0.553	0.553	0.553	0.553	0.553	0.553	0.535	0.46	0.528	0.473	0.537	0.606	0.63	0.599	0.527	0.49	0.457	0.432	0.459
MED CHEM RES	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.132	0.131	0.149	0.216	0.222	0.248	0.223	0.223	0.244	0.233	0.251	0.247	0.231	0.255
MEM AM MATH SOC	2.413	2.413	2.413	2.413	2.413	2.413	2.413	2.413	2.413	2.413	2.413	2.594	3.075	3.405	3.49	3.058	3.538	3.168	2.538	2.268	0.0	2.084	2.819	3.244
J CLIN APHERESIS	0.323	0.323	0.323	0.323	0.323	0.323	0.323	0.323	0.323	0.323	0.323	0.361	0.418	0.359	0.364	0.425	0.381	0.501	0.571	0.465	0.521	0.6	0.466	0.62
J NON-CRYST SOLIDS	0.535	0.535	0.535	0.535	0.535	0.535	0.535	0.535	0.535	0.535	0.535	0.542	0.467	0.511	0.46	0.45	0.42	0.438	0.428	0.442	0.427	0.414	0.44	0.511
HYPERTENS PREGNANCY	0.503	0.503	0.503	0.503	0.503	0.503	0.503	0.503	0.503	0.503	0.503	0.529	0.454	0.484	0.52	0.464	0.454	0.435	0.347	0.488	0.483	0.504	0.509	0.585
NUCL INSTRUM METH B	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.351	0.363	0.35	0.333	0.365	0.407	0.392	0.407	0.426	0.339	0.367	0.362	0.299	0.308
APMIS	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.595	0.573	0.515	0.577	0.565	0.63	0.624	0.588	0.566	0.493	0.555	0.505	0.52	0.662
PALAIOS	0.981	0.981	0.981	0.981	0.981	0.981	0.981	0.981	0.981	0.981	0.981	0.804	0.759	0.713	0.782	0.821	0.745	0.597	0.673	0.647	0.582	0.58	0.616	0.611
CURR MICROBIOL	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.43	0.418	0.432	0.474	0.449	0.429	0.42	0.411	0.384	0.363	0.402	0.384	0.412
ESTUAR COAST SHELF S	0.752	0.752	0.752	0.752	0.752	0.752	0.752	0.752	0.752	0.752	0.752	0.794	0.737	0.778	0.845	0.848	0.873	0.801	0.801	0.702	0.741	0.756	0.706	0.702
IEEE T ANTENN PROPAG	0.774	0.774	0.774	0.774	0.774	0.774	0.774	0.774	0.774	0.774	0.774	0.792	0.739	0.721	0.824	0.803	0.853	0.889	0.829	0.909	1.003	0.956	0.903	0.947
J ECONOMETRICS	2.951	2.951	2.951	2.951	2.951	2.951	2.951	2.951	2.951	2.951	2.951	2.284	2.657	3.016	2.839	3.254	3.091	2.833	2.767	2.605	2.604	2.546	2.16	2.726
NUCL MED COMMUN	0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.395	0.367	0.347	0.365	0.399	0.433	0.373	0.428	0.408	0.403	0.384	0.353	0.315	0.386
CYTOPATHOLOGY	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.344	0.872	0.401	0.386	0.409	0.397	0.328	0.323	0.446	0.363	0.453	0.379	0.452
CONTRIB PLASM PHYS	0.416	0.416	0.416	0.416	0.416	0.416	0.416	0.416	0.416	0.416	0.416	0.405	0.49	0.466	0.513	0.475	0.394	0.28	0.353	0.402	0.387	0.343	0.329	0.348
LETT APPL MICROBIOL	0.552	0.552	0.552	0.552	0.552	0.552	0.552	0.552	0.552	0.552	0.552	0.548	0.538	0.528	0.509	0.522	0.58	0.521	0.483	0.465	0.44	0.456	0.448	0.498
J PSYCHOSOM RES	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.08	0.905	0.982	0.974	1.123	1.186	1.213	1.157	1.094	1.087	1.055	1.045	0.991	1.149
ELECTRON LETT	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.424	0.433	0.408	0.415	0.405	0.424	0.385	0.354	0.345	0.356	0.34	0.313	0.291
BIOL FERT SOILS	0.661	0.661	0.661	0.661	0.661	0.661	0.661	0.661	0.661	0.661	0.661	0.613	0.574	0.569	0.678	0.75	0.77	0.793	0.831	0.819	0.887	0.928	1.003	1.154
J APPL ELECTROCHEM	0.539	0.539	0.539	0.539	0.539	0.539	0.539	0.539	0.539	0.539	0.539	0.527	0.538	0.478	0.496	0.486	0.478	0.515	0.47	0.514	0.441	0.399	0.412	0.43
STAT MED	1.178	1.178	1.178	1.178	1.178	1.178	1.178	1.178	1.178	1.178	1.178	1.128	1.244	1.33	1.513	1.661	1.584	1.517	1.399	1.442	1.422	1.553	1.463	1.911
ANAL LETT	0.316	0.316	0.316	0.316	0.316	0.316	0.316	0.316	0.316	0.316	0.316	0.28	0.264	0.239	0.22	0.221	0.208	0.183	0.179	0.197	0.195	0.186	0.202	0.252
BIORHEOLOGY	0.611	0.611	0.611	0.611	0.611	0.611	0.611	0.611	0.611	0.611	0.611	0.717	0.642	0.741	0.706	0.601	0.667	0.559	0.453	0.387	0.343	0.406	0.327	0.404
B AM MUS NAT HIST	1.904	1.904	1.904	1.904	1.904	1.904	1.904	1.904	1.904	1.904	1.904	1.772	3.103	2.716	2.722	1.598	2.015	2.061	2.096	2.248	1.875	1.202	1.198	1.32
CONDOR	0.665	0.665	0.665	0.665	0.665	0.665	0.665	0.665	0.665	0.665	0.665	0.681	0.722	0.677	0.655	0.584	0.467	0.428	0.494	0.546	0.61	0.698	0.826	0.714
EXP AGING RES	0.434	0.434	0.434	0.434	0.434	0.434	0.434	0.434	0.434	0.434	0.434	0.519	0.533	0.554	0.614	0.478	0.538	0.485	0.421	0.464	0.452	0.476	0.504	0.469
FACIES	0.424	0.424	0.424	0.424	0.424	0.424	0.424	0.424	0.424	0.424	0.424	0.534	0.535	0.556	0.544	0.624	0.466	0.491	0.528	0.501	0.5	0.477	0.545	0.531
INT J PRIMATOL	0.789	0.789	0.789	0.789	0.789	0.789	0.789	0.789	0.789	0.789	0.789	0.586	0.673	0.655	0.634	0.638	0.679	0.663	0.612	0.552	0.588	0.509	0.521	0.672
J MATH PURE APPL	1.371	1.371	1.371	1.371	1.371	1.371	1.371	1.371	1.371	1.371	1.371	1.473	1.733	1.767	1.485	1.648	1.644	2.076	1.973	2.051	2.396	2.366	2.252	2.123
LUNG	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.357	0.407	0.431	0.527	0.572	0.707	0.626	0.642	0.613	0.584	0.558	0.565	0.534	0.68
NANOTECHNOLOGY	1.261	1.261	1.261	1.261	1.261	1.261	1.261	1.261	1.261	1.261	1.261	1.233	1.164	1.24	1.236	1.205	1.088	1.041	0.961	0.912	0.791	0.744	0.706	0.68
PHYTOPARASITICA	0.163	0.163	0.163	0.163	0.163	0.163	0.163	0.163	0.163	0.163	0.163	0.159	0.152	0.18	0.248	0.225	0.252	0.259	0.272	0.249	0.278	0.309	0.294	0.318
PROG PHOTOVOLTAICS	0.851	0.851	0.851	0.851	0.851	0.851	0.851	0.851	0.851	0.851	0.851	0.887	1.231	1.752	1.83	1.971	2.378	2.109	1.924	1.601	1.32	1.194	1.083	1.27
RIV NUOVO CIMENTO	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.283	1.076	1.257	1.216	1.566	1.573	1.031	1.006	0.618	1.058	1.559	1.91	1.71
TISSUE CELL	0.381	0.381	0.381	0.381	0.381	0.381	0.381	0.381	0.381	0.381	0.381	0.301	0.294	0.474	0.308	0.364	0.352	0.398	0.37	0.312	0.327	0.318	0.325	0.421
VIRAL IMMUNOL	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.68	0.691	0.672	0.604	0.583	0.527	0.579	0.425	0.449	0.434	0.43	0.402	0.406	0.478
EUR UROL	1.066	1.066	1.066	1.066	1.066	1.066	1.066	1.066	1.066	1.066	1.066	1.222	1.614	1.741	2.078	2.393	2.961	3.573	4.006	4.313	4.778	5.094	4.833	6.273
AQUACULTURE	0.514	0.514	0.514	0.514	0.514	0.514	0.514	0.514	0.514	0.514	0.514	0.46	0.473	0.547	0.623	0.592	0.612	0.586	0.589	0.584	0.602	0.643	0.639	0.664
AM J PREV MED	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.739	1.819	1.891	1.828	1.921	1.97	1.821	2.132	2.363	2.24	2.179	2.29	2.267	2.548
TOXICOL IN VITRO	0.537	0.537	0.537	0.537	0.537	0.537	0.537	0.537	0.537	0.537	0.537	0.572	0.555	0.627	0.639	0.643	0.676	0.662	0.73	0.696	0.64	0.621	0.569	0.625
J PEDIATR SURG	0.393	0.393	0.393	0.393	0.393	0.393	0.393	0.393	0.393	0.393	0.393	0.396	0.397	0.381	0.429	0.435	0.412	0.463	0.471	0.52	0.603	0.564	0.541	0.666
J ULTRAS MED	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.361	0.349	0.354	0.378	0.39	0.379	0.454	0.494	0.531	0.485	0.512	0.519	0.486	0.574
OTOLARYNG CLIN N AM	0.332	0.332	0.332	0.332	0.332	0.332	0.332	0.332	0.332	0.332	0.332	0.415	0.402	0.515	0.577	0.55	0.535	0.56	0.581	0.543	0.569	0.498	0.575	0.845
IEEE MICRO	0.922	0.922	0.922	0.922	0.922	0.922	0.922	0.922	0.922	0.922	0.922	0.874	1.522	1.299	1.451	1.505	1.521	1.087	1.274	1.073	0.898	0.774	1.039	1.179
J MAMMAL	0.647	0.647	0.647	0.647	0.647	0.647	0.647	0.647	0.647	0.647	0.647	0.673	0.643	0.645	0.673	0.76	0.677	0.709	0.76	0.712	0.692	0.636	0.648	0.751
PHYSICA B	0.314	0.314	0.314	0.314	0.314	0.314	0.314	0.314	0.314	0.314	0.314	0.328	0.343	0.323	0.324	0.351	0.302	0.309	0.309	0.295	0.28	0.29	0.281	0.35
CONNECT TISSUE RES	0.594	0.594	0.594	0.594	0.594	0.594	0.594	0.594	0.594	0.594	0.594	0.777	0.522	0.603	0.521	0.585	0.609	0.529	0.494	0.58	0.551	0.595	0.637	0.792
BIOL J LINN SOC	1.273	1.273	1.273	1.273	1.273	1.273	1.273	1.273	1.273	1.273	1.273	1.156	0.996	0.888	0.824	0.784	0.845	0.772	0.73	0.717	0.756	0.726	0.796	0.757
J WILDLIFE MANAGE	0.715	0.715	0.715	0.715	0.715	0.715	0.715	0.715	0.715	0.715	0.715	0.555	0.604	0.605	0.633	0.622	0.642	0.643	0.723	0.623	0.697	0.628	0.651	0.661
ANTI-CANCER DRUG	0.572	0.572	0.572	0.572	0.572	0.572	0.572	0.572	0.572	0.572	0.572	0.588	0.579	0.579	0.644	0.59	0.541	0.504	0.47	0.43	0.43	0.436	0.394	0.399
J MICROELECTROMECH S	1.326	1.326	1.326	1.326	1.326	1.326	1.326	1.326	1.326	1.326	1.326	0.971	1.074	0.897	0.935	0.847	0.747	0.706	0.665	0.509	0.506	0.466	0.529	0.525
J QUANT SPECTROSC RA	0.707	0.707	0.707	0.707	0.707	0.707	0.707	0.707	0.707	0.707	0.707	0.727	0.611	0.628	0.664	0.733	0.812	0.818	0.756	0.668	0.62	0.669	0.602	0.588
ENDOCR-RELAT CANCER	1.783	1.783	1.783	1.783	1.783	1.783	1.783	1.783	1.783	1.783	1.783	1.756	1.752	1.661	1.659	1.741	1.646	1.602	1.511	1.51	1.569	1.583	1.284	1.575
RES VET SCI	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.399	0.378	0.393	0.474	0.444	0.428	0.417	0.461	0.421	0.449	0.444	0.432	0.492
SIAM J SCI COMPUT	1.523	1.523	1.523	1.523	1.523	1.523	1.523	1.523	1.523	1.523	1.523	1.162	1.503	1.536	1.458	1.584	1.702	1.706	1.67	1.72	1.554	1.654	1.569	1.513
HUM BIOL	0.518	0.518	0.518	0.518	0.518	0.518	0.518	0.518	0.518	0.518	0.518	0.427	0.358	0.426	0.367	0.524	0.517	0.51	0.539	0.539	0.594	0.642	0.388	0.497
J LOW TEMP PHYS	0.396	0.396	0.396	0.396	0.396	0.396	0.396	0.396	0.396	0.396	0.396	0.45	0.39	0.403	0.445	0.437	0.408	0.419	0.322	0.266	0.337	0.285	0.307	0.314
J RADIAT RES	0.377	0.377	0.377	0.377	0.377	0.377	0.377	0.377	0.377	0.377	0.377	0.45	0.439	0.489	0.515	0.44	0.515	0.452	0.474	0.492	0.46	0.508	0.529	0.575
TROP MED INT HEALTH	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	1.059	0.811	0.896	0.995	1.033	1.057	1.034	1.006	1.071	1.006	1.09	1.177	1.139	1.082
CLIN PERINATOL	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.42	0.468	0.627	0.732	0.869	0.913	0.984	0.972	1.019	1.374	1.066	1.089	1.081	1.334
INT J ENVIRON AN CH	0.27	0.27	0.27	0.27	0.27	0.27	0.27	0.27	0.27	0.27	0.27	0.252	0.325	0.27	0.255	0.287	0.266	0.245	0.24	0.215	0.22	0.226	0.202	0.293
PUBLIC HEALTH REP	0.782	0.782	0.782	0.782	0.782	0.782	0.782	0.782	0.782	0.782	0.782	0.727	0.637	0.604	0.681	0.732	0.67	0.812	0.95	0.903	1.102	1.324	1.254	1.562
ZOOL J LINN SOC-LOND	1.168	1.168	1.168	1.168	1.168	1.168	1.168	1.168	1.168	1.168	1.168	0.959	0.91	0.977	0.934	0.947	0.943	1.04	1.025	0.931	0.973	1.012	0.975	1.03
CAN MINERAL	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.465	0.547	0.477	0.53	0.48	0.481	0.593	0.487	0.437	0.468	0.459	0.442	0.414	0.467
EYE	0.683	0.683	0.683	0.683	0.683	0.683	0.683	0.683	0.683	0.683	0.683	0.669	0.586	0.632	0.664	0.664	0.637	0.65	0.759	0.78	0.851	0.816	0.789	1.138
CAN J ZOOL	0.756	0.756	0.756	0.756	0.756	0.756	0.756	0.756	0.756	0.756	0.756	0.672	0.643	0.613	0.571	0.545	0.547	0.579	0.6	0.471	0.538	0.541	0.534	0.452
DYSPHAGIA	0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.407	0.448	0.492	0.408	0.609	0.532	0.577	0.531	0.639	0.691	0.751	0.842	0.962
POLYM J	0.345	0.345	0.345	0.345	0.345	0.345	0.345	0.345	0.345	0.345	0.345	0.328	0.341	0.282	0.273	0.332	0.304	0.34	0.39	0.424	0.429	0.46	0.452	0.464
AM SURGEON	0.458	0.458	0.458	0.458	0.458	0.458	0.458	0.458	0.458	0.458	0.458	0.45	0.458	0.499	0.499	0.401	0.364	0.365	0.341	0.268	0.252	0.247	0.215	0.259
ECOL ECON	0.768	0.768	0.768	0.768	0.768	0.768	0.768	0.768	0.768	0.768	0.768	0.756	0.866	0.975	1.081	1.255	1.271	1.296	1.236	1.087	1.144	1.113	1.105	1.454
INT STAT REV	0.775	0.775	0.775	0.775	0.775	0.775	0.775	0.775	0.775	0.775	0.775	0.517	0.806	0.625	0.532	0.696	1.551	1.2	1.894	1.142	1.698	1.955	1.833	1.882
J MORPHOL	0.615	0.615	0.615	0.615	0.615	0.615	0.615	0.615	0.615	0.615	0.615	0.581	0.634	0.701	0.608	0.552	0.536	0.541	0.593	0.507	0.564	0.505	0.506	0.519
FUEL PROCESS TECHNOL	0.622	0.622	0.622	0.622	0.622	0.622	0.622	0.622	0.622	0.622	0.622	0.806	0.824	0.925	0.801	0.892	0.903	0.911	0.894	0.832	0.866	0.842	0.848	0.939
HAEMOPHILIA	0.428	0.428	0.428	0.428	0.428	0.428	0.428	0.428	0.428	0.428	0.428	0.481	0.515	0.405	0.648	0.674	0.664	0.538	0.655	0.934	0.712	0.721	0.631	0.92
AM J PHYS MED REHAB	0.519	0.519	0.519	0.519	0.519	0.519	0.519	0.519	0.519	0.519	0.519	0.517	0.558	0.586	0.527	0.58	0.656	0.68	0.74	0.663	0.626	0.641	0.597	0.713
PLANT CELL REP	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.49	0.508	0.568	0.592	0.605	0.639	0.644	0.652	0.693	0.74	0.721	0.84	0.833	0.923
J COMP PHYSIOL B	0.608	0.608	0.608	0.608	0.608	0.608	0.608	0.608	0.608	0.608	0.608	0.577	0.598	0.737	0.738	0.67	0.74	0.696	0.673	0.719	0.755	0.631	0.56	0.651
WATER AIR SOIL POLL	0.552	0.552	0.552	0.552	0.552	0.552	0.552	0.552	0.552	0.552	0.552	0.527	0.505	0.529	0.513	0.528	0.483	0.451	0.411	0.386	0.373	0.333	0.327	0.372
CLIN INVEST MED	0.352	0.352	0.352	0.352	0.352	0.352	0.352	0.352	0.352	0.352	0.352	0.308	0.337	0.321	0.452	0.413	0.359	0.387	0.31	0.32	0.323	0.336	0.305	0.307
J PHYSIOL PHARMACOL	0.729	0.729	0.729	0.729	0.729	0.729	0.729	0.729	0.729	0.729	0.729	0.594	0.48	0.51	0.464	0.489	0.534	0.496	0.476	0.489	0.44	0.445	0.483	0.482
J CLIN ANESTH	0.345	0.345	0.345	0.345	0.345	0.345	0.345	0.345	0.345	0.345	0.345	0.351	0.4	0.416	0.408	0.387	0.361	0.391	0.424	0.445	0.411	0.686	0.794	1.044
ARTHROSCOPY	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.686	0.987	0.78	1.094	1.089	1.097	1.211	1.252	1.233	1.273	1.226	1.397
DIABETES RES CLIN PR	0.563	0.563	0.563	0.563	0.563	0.563	0.563	0.563	0.563	0.563	0.563	0.572	0.602	0.664	0.706	0.755	0.781	0.875	0.989	0.941	0.929	1.005	1.063	1.217
ECOTOX ENVIRON SAFE	0.682	0.682	0.682	0.682	0.682	0.682	0.682	0.682	0.682	0.682	0.682	0.719	0.648	0.661	0.63	0.611	0.646	0.654	0.719	0.697	0.738	0.757	0.764	0.909
EXP CLIN ENDOCR DIAB	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.443	0.501	0.469	0.44	0.469	0.391	0.388	0.418	0.423	0.46	0.401	0.538
J MICROBIOL METH	0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.796	0.813	0.761	0.771	0.756	0.716	0.672	0.625	0.558	0.516	0.511	0.484	0.495
J NEUROGENET	0.499	0.499	0.499	0.499	0.499	0.499	0.499	0.499	0.499	0.499	0.499	0.463	0.409	0.906	1.074	0.763	0.916	0.647	0.715	0.776	0.69	0.701	0.547	0.513
PHYSIOL ENTOMOL	0.609	0.609	0.609	0.609	0.609	0.609	0.609	0.609	0.609	0.609	0.609	0.56	0.506	0.49	0.475	0.477	0.481	0.397	0.498	0.469	0.42	0.484	0.461	0.451
CARBOHYD POLYM	0.586	0.586	0.586	0.586	0.586	0.586	0.586	0.586	0.586	0.586	0.586	0.653	0.739	0.765	0.746	0.729	0.729	0.783	0.807	0.852	0.832	0.857	0.939	1.08
HUM HERED	1.745	1.745	1.745	1.745	1.745	1.745	1.745	1.745	1.745	1.745	1.745	1.526	1.296	1.137	1.043	0.873	0.728	0.77	0.727	0.69	0.539	0.755	0.743	0.365
GEN RELAT GRAVIT	0.606	0.606	0.606	0.606	0.606	0.606	0.606	0.606	0.606	0.606	0.606	0.556	0.74	0.735	0.81	0.729	0.673	0.612	0.59	0.542	0.528	0.433	0.485	0.519
J GASTROEN HEPATOL	0.537	0.537	0.537	0.537	0.537	0.537	0.537	0.537	0.537	0.537	0.537	0.571	0.596	0.677	0.732	0.854	0.997	0.929	0.962	0.985	0.99	0.965	0.924	1.156
MAGN RESON CHEM	0.482	0.482	0.482	0.482	0.482	0.482	0.482	0.482	0.482	0.482	0.482	0.453	0.39	0.372	0.354	0.377	0.34	0.316	0.283	0.357	0.347	0.32	0.389	0.389
FISH B-NOAA	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.62	0.616	0.466	0.528	0.492	0.62	0.698	0.681	0.51	0.473	0.418	0.393	0.326
