Journal	JournalFullName	ISSN	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
EXP CLIN TRANSPLANT	EXPERIMENTAL AND CLINICAL TRANSPLANTATION	1304-0855	0.189	0.189	0.189	0.189	0.189	0.189	0.189	0.189	0.189	0.189	0.189	0.189	0.189	0.189	0.189	0.189	0.23	0.205	0.197	0.173	0.195	0.19	0.206	0.243	0.224	0.199	0.199
EXP DERMATOL	EXPERIMENTAL DERMATOLOGY	0906-6705	0.659	0.659	0.659	0.659	0.659	0.659	0.659	0.659	0.659	0.659	0.659	0.716	0.818	0.888	0.907	0.957	0.923	0.887	0.827	0.815	0.686	0.673	0.747	0.748	0.824	0.794	0.794
EXP ECON	EXPERIMENTAL ECONOMICS	1386-4157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.964	1.811	2.144	1.994	2.151	2.065	2.312	2.312
EXP EYE RES	EXPERIMENTAL EYE RESEARCH	0014-4835	0.797	0.797	0.797	0.797	0.797	0.797	0.797	0.797	0.797	0.797	0.797	0.843	0.831	0.911	0.863	0.959	0.87	0.868	0.914	0.91	0.981	0.96	0.832	0.937	0.783	0.777	0.777
EXP FLUIDS	EXPERIMENTS IN FLUIDS	0723-4864	0.708	0.708	0.708	0.708	0.708	0.708	0.708	0.708	0.708	0.708	0.708	0.859	0.914	0.856	0.826	0.758	0.94	0.734	0.793	0.705	0.801	0.718	0.797	0.823	0.807	0.716	0.716
EXP GERONTOL	EXPERIMENTAL GERONTOLOGY	0531-5565	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.058	1.048	1.094	1.168	1.114	1.055	1.019	1.039	1.08	1.014	0.962	0.934	0.888	0.993	0.932	0.895	0.895
EXP HEAT TRANSFER	EXPERIMENTAL HEAT TRANSFER	0891-6152	0.281	0.281	0.281	0.281	0.281	0.281	0.281	0.281	0.281	0.281	0.281	0.259	0.237	0.317	0.293	0.248	0.315	0.335	0.281	0.279	0.27	0.28	0.338	0.357	0.4	0.374	0.374
EXP HEMATOL	EXPERIMENTAL HEMATOLOGY	0301-472X	1.255	1.255	1.255	1.255	1.255	1.255	1.255	1.255	1.255	1.255	1.255	1.247	1.121	1.173	1.087	1.033	1.016	0.963	0.897	0.905	0.854	0.858	0.838	0.988	1.061	0.995	0.995
EXP HEMATOL ONCOL	EXPERIMENTAL HEMATOLOGY & ONCOLOGY	2162-3619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.111	1.539	1.539
EXP LUNG RES	EXPERIMENTAL LUNG RESEARCH	0190-2148	0.418	0.418	0.418	0.418	0.418	0.418	0.418	0.418	0.418	0.418	0.418	0.455	0.486	0.428	0.421	0.478	0.427	0.43	0.407	0.399	0.44	0.394	0.408	0.495	0.441	0.379	0.379
EXP MATH	EXPERIMENTAL MATHEMATICS	1058-6458	0.719	0.719	0.719	0.719	0.719	0.719	0.719	0.719	0.719	0.719	0.719	0.713	0.749	0.791	0.976	0.95	1.031	0.834	0.804	0.955	0.966	0.812	0.704	0.743	0.802	0.627	0.627
EXP MECH	EXPERIMENTAL MECHANICS	0014-4851	0.617	0.617	0.617	0.617	0.617	0.617	0.617	0.617	0.617	0.617	0.617	0.606	0.644	0.744	0.809	0.712	0.764	0.71	0.744	0.662	0.593	0.675	0.666	0.668	0.58	0.566	0.566
EXP MOL MED	EXPERIMENTAL AND MOLECULAR MEDICINE	1226-3613	0.611	0.611	0.611	0.611	0.611	0.611	0.611	0.611	0.611	0.611	0.611	0.652	0.638	0.743	0.659	0.698	0.649	0.811	0.998	1.291	1.465	1.391	1.505	2.028	2.43	2.715	2.715
EXP MOL PATHOL	EXPERIMENTAL AND MOLECULAR PATHOLOGY	0014-4800	0.535	0.535	0.535	0.535	0.535	0.535	0.535	0.535	0.535	0.535	0.535	0.562	0.554	0.72	0.697	0.697	0.781	0.665	0.59	0.551	0.599	0.533	0.537	0.567	0.576	0.548	0.548
EXP NEUROBIOL	EXPERIMENTAL NEUROBIOLOGY	1226-2560	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.868	0.758	0.758
EXP NEUROL	EXPERIMENTAL NEUROLOGY	0014-4886	1.235	1.235	1.235	1.235	1.235	1.235	1.235	1.235	1.235	1.235	1.235	1.339	1.303	1.328	1.375	1.388	1.308	1.398	1.43	1.44	1.454	1.407	1.351	1.32	1.267	1.165	1.165
EXP PARASITOL	EXPERIMENTAL PARASITOLOGY	0014-4894	0.434	0.434	0.434	0.434	0.434	0.434	0.434	0.434	0.434	0.434	0.434	0.434	0.43	0.477	0.508	0.523	0.548	0.47	0.482	0.466	0.476	0.459	0.452	0.445	0.381	0.371	0.371
EXP PHYSIOL	EXPERIMENTAL PHYSIOLOGY	0958-0670	0.857	0.857	0.857	0.857	0.857	0.857	0.857	0.857	0.857	0.857	0.857	0.968	0.965	1.087	1.046	0.975	1.011	1.006	0.999	0.927	0.877	0.772	0.735	0.85	0.745	0.708	0.708
EXP PSYCHOL	EXPERIMENTAL PSYCHOLOGY	1618-3169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.888	0.749	0.877	0.674	0.631	0.486	0.572	0.572
EXP TECHNIQUES	EXPERIMENTAL TECHNIQUES	0732-8818	0.244	0.244	0.244	0.244	0.244	0.244	0.244	0.244	0.244	0.244	0.244	0.134	0.179	0.131	0.188	0.189	0.213	0.275	0.235	0.272	0.216	0.222	0.207	0.237	0.241	0.312	0.312
EXP THER MED	EXPERIMENTAL AND THERAPEUTIC MEDICINE	1792-0981	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.038	0.07	0.185	0.269	0.284	0.294	0.281	0.291	0.324	0.414	0.397	0.413	0.413
EXP THERM FLUID SCI	EXPERIMENTAL THERMAL AND FLUID SCIENCE	0894-1777	0.658	0.658	0.658	0.658	0.658	0.658	0.658	0.658	0.658	0.658	0.658	0.477	0.623	0.574	0.633	0.638	0.735	0.643	0.723	0.765	0.764	0.801	0.859	0.885	0.798	0.742	0.742
EXPERT OPIN BIOL TH	EXPERT OPINION ON BIOLOGICAL THERAPY	1471-2598	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.825	0.815	0.795	0.821	0.882	0.839	0.859	0.918	0.824	0.903	0.855	0.847	0.728	0.897	0.929	0.874	0.874
EXPERT OPIN DRUG DEL	EXPERT OPINION ON DRUG DELIVERY	1742-5247	1.238	1.238	1.238	1.238	1.238	1.238	1.238	1.238	1.238	1.238	1.238	1.238	1.238	1.238	1.238	1.238	1.122	1.16	1.208	1.168	1.128	1.12	0.984	1.121	1.114	1.036	1.036
EXPERT OPIN DRUG DIS	EXPERT OPINION ON DRUG DISCOVERY	1746-0441	0.367	0.367	0.367	0.367	0.367	0.367	0.367	0.367	0.367	0.367	0.367	0.367	0.367	0.464	0.408	0.471	0.676	0.764	0.937	0.917	1.017	1.065	1.133	1.415	1.259	1.207	1.207
EXPERT OPIN DRUG MET	EXPERT OPINION ON DRUG METABOLISM & TOXICOLOGY	1742-5255	0.942	0.942	0.942	0.942	0.942	0.942	0.942	0.942	0.942	0.942	0.942	0.942	0.942	0.942	0.942	0.868	0.811	0.726	0.695	0.718	0.746	0.778	0.78	0.901	0.874	0.891	0.891
EXPERT OPIN DRUG SAF	EXPERT OPINION ON DRUG SAFETY	1474-0338	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.748	0.79	0.836	0.802	0.924	0.828	0.911	0.829	1.0	0.92	0.774	0.774
EXPERT OPIN EMERG DR	EXPERT OPINION ON EMERGING DRUGS	1472-8214	0.745	0.745	0.745	0.745	0.745	0.745	0.745	0.745	0.745	0.745	0.745	0.745	0.745	0.745	0.787	0.74	0.673	0.65	0.657	0.667	0.818	0.67	0.679	0.781	0.887	0.765	0.765
EXPERT OPIN INV DRUG	EXPERT OPINION ON INVESTIGATIONAL DRUGS	1354-3784	0.843	0.843	0.843	0.843	0.843	0.843	0.843	0.843	0.843	0.843	0.843	0.902	0.945	1.019	1.126	1.114	1.269	1.28	1.194	1.074	1.017	0.933	0.925	1.131	1.164	1.195	1.195
EXPERT OPIN ORPHAN D	EXPERT OPINION ON ORPHAN DRUGS	2167-8707	0.124	0.124	0.124	0.124	0.124	0.124	0.124	0.124	0.124	0.124	0.124	0.124	0.124	0.124	0.124	0.124	0.124	0.124	0.144	0.181	0.172	0.188	0.228	0.201	0.181	0.19	0.19
EXPERT OPIN PHARMACO	EXPERT OPINION ON PHARMACOTHERAPY	1465-6566	0.445	0.445	0.445	0.445	0.445	0.445	0.445	0.445	0.445	0.445	0.445	0.445	0.448	0.511	0.631	0.612	0.695	0.737	0.78	0.863	0.797	0.769	0.673	0.804	0.753	0.714	0.714
EXPERT OPIN THER PAT	EXPERT OPINION ON THERAPEUTIC PATENTS	1354-3776	0.379	0.379	0.379	0.379	0.379	0.379	0.379	0.379	0.379	0.379	0.379	0.309	0.328	0.398	0.609	0.725	0.788	0.895	0.921	0.817	0.779	0.821	0.855	0.898	0.954	1.026	1.026
EXPERT OPIN THER TAR	EXPERT OPINION ON THERAPEUTIC TARGETS	1472-8222	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.018	1.023	1.076	1.145	1.269	1.307	1.242	1.293	1.164	1.168	1.202	1.347	1.335	1.543	1.543
EXPERT REV ANTICANC	EXPERT REVIEW OF ANTICANCER THERAPY	1473-7140	0.738	0.738	0.738	0.738	0.738	0.738	0.738	0.738	0.738	0.738	0.738	0.738	0.738	0.738	0.708	0.604	0.655	0.568	0.564	0.516	0.522	0.544	0.632	0.789	0.783	0.96	0.96
EXPERT REV ANTI-INFE	EXPERT REVIEW OF ANTI-INFECTIVE THERAPY	1478-7210	0.978	0.978	0.978	0.978	0.978	0.978	0.978	0.978	0.978	0.978	0.978	0.978	0.978	0.978	0.978	0.978	0.938	1.171	1.132	1.159	1.114	1.178	1.129	1.3	1.158	1.176	1.176
EXPERT REV CLIN IMMU	EXPERT REVIEW OF CLINICAL IMMUNOLOGY	1744-666X	0.724	0.724	0.724	0.724	0.724	0.724	0.724	0.724	0.724	0.724	0.724	0.724	0.724	0.724	0.724	0.724	0.724	0.7	0.759	0.843	0.973	0.918	0.876	1.044	1.226	1.238	1.238
EXPERT REV CLIN PHAR	EXPERT REVIEW OF CLINICAL PHARMACOLOGY	1751-2433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.677	0.704	0.74	0.947	0.936	0.93	0.93
EXPERT REV GASTROENT	EXPERT REVIEW OF GASTROENTEROLOGY & HEPATOLOGY	1747-4124	0.832	0.832	0.832	0.832	0.832	0.832	0.832	0.832	0.832	0.832	0.832	0.832	0.832	0.832	0.832	0.832	0.832	0.832	0.832	0.751	0.718	0.735	0.761	0.932	0.914	1.011	1.011
EXPERT REV HEMATOL	EXPERT REVIEW OF HEMATOLOGY	1747-4086	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.409	0.678	0.653	0.718	0.862	0.697	0.674	0.682	0.741	0.746	1.027	0.843	0.843
EXPERT REV MED DEVIC	EXPERT REVIEW OF MEDICAL DEVICES	1743-4440	0.558	0.558	0.558	0.558	0.558	0.558	0.558	0.558	0.558	0.558	0.558	0.652	0.546	0.669	0.692	0.671	0.678	0.748	0.622	0.685	0.584	0.64	0.676	0.796	0.777	0.815	0.815
EXPERT REV MOL DIAGN	EXPERT REVIEW OF MOLECULAR DIAGNOSTICS	1473-7159	0.797	0.797	0.797	0.797	0.797	0.797	0.797	0.797	0.797	0.797	0.797	0.797	0.917	1.018	1.103	1.012	1.087	0.979	0.888	0.846	0.882	0.939	0.975	1.082	1.103	1.126	1.126
EXPERT REV MOL MED	EXPERT REVIEWS IN MOLECULAR MEDICINE	1462-3994	2.155	2.155	2.155	2.155	2.155	2.155	2.155	2.155	2.155	2.155	2.155	2.155	2.155	2.155	2.155	2.155	2.155	2.155	1.913	1.908	1.356	1.413	1.341	1.242	1.424	1.068	1.068
EXPERT REV NEUROTHER	EXPERT REVIEW OF NEUROTHERAPEUTICS	1473-7175	0.929	0.929	0.929	0.929	0.929	0.929	0.929	0.929	0.929	0.929	0.929	0.929	0.929	0.929	0.929	0.929	0.929	0.929	0.831	0.903	0.868	0.865	0.953	1.099	0.988	1.074	1.074
EXPERT REV PHARM OUT	EXPERT REVIEW OF PHARMACOECONOMICS & OUTCOMES RESEARCH	1473-7167	0.699	0.699	0.699	0.699	0.699	0.699	0.699	0.699	0.699	0.699	0.699	0.699	0.699	0.699	0.699	0.699	0.699	0.699	0.699	0.644	0.633	0.644	0.663	0.697	0.668	0.644	0.644
EXPERT REV PROTEOMIC	EXPERT REVIEW OF PROTEOMICS	1478-9450	1.118	1.118	1.118	1.118	1.118	1.118	1.118	1.118	1.118	1.118	1.118	0.91	0.897	0.952	0.858	0.978	0.933	0.867	0.935	0.843	0.877	0.804	0.864	0.906	0.809	0.767	0.767
EXPERT REV RESP MED	EXPERT REVIEW OF RESPIRATORY MEDICINE	1747-6348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.695	0.666	0.71	0.953	0.977	0.982	0.982
EXPERT REV VACCINES	EXPERT REVIEW OF VACCINES	1476-0584	1.153	1.153	1.153	1.153	1.153	1.153	1.153	1.153	1.153	1.153	1.153	1.153	1.153	1.153	1.187	1.086	1.078	1.205	1.381	1.37	1.28	1.326	1.464	1.686	1.8	1.553	1.553
EXPERT SYST	EXPERT SYSTEMS	0266-4720	0.191	0.191	0.191	0.191	0.191	0.191	0.191	0.191	0.191	0.191	0.191	0.256	0.241	0.18	0.156	0.253	0.244	0.2	0.237	0.297	0.266	0.274	0.266	0.368	0.372	0.444	0.444
EXPERT SYST APPL	EXPERT SYSTEMS WITH APPLICATIONS	0957-4174	0.377	0.377	0.377	0.377	0.377	0.377	0.377	0.377	0.377	0.377	0.377	0.354	0.403	0.43	0.468	0.498	0.541	0.594	0.658	0.719	0.763	0.79	0.915	1.171	1.239	1.276	1.276
EXPLOR ECON HIST	EXPLORATIONS IN ECONOMIC HISTORY	0014-4983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.051	1.151	1.122	1.386	2.178	2.447	2.343	2.343
EXPLOR GEOPHYS	EXPLORATION GEOPHYSICS	0812-3985	0.378	0.378	0.378	0.378	0.378	0.378	0.378	0.378	0.378	0.378	0.378	0.378	0.378	0.378	0.378	0.378	0.312	0.342	0.376	0.37	0.457	0.351	0.372	0.361	0.342	0.342	0.342
EXPLORE-NY	EXPLORE-THE JOURNAL OF SCIENCE AND HEALING	1550-8307	0.194	0.194	0.194	0.194	0.194	0.194	0.194	0.194	0.194	0.194	0.194	0.197	0.194	0.291	0.231	0.245	0.262	0.396	0.295	0.325	0.312	0.308	0.308	0.397	0.492	0.474	0.474
EXPO MATH	EXPOSITIONES MATHEMATICAE	0723-0869	0.684	0.684	0.684	0.684	0.684	0.684	0.684	0.684	0.684	0.684	0.684	0.684	0.928	0.639	1.042	0.719	1.041	0.785	0.915	0.625	0.82	0.725	0.841	1.13	0.861	0.741	0.741
EXPOS HEALTH	EXPOSURE AND HEALTH	2451-9766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.997	0.755	0.985	1.374	1.158	1.115	1.115
EXPRESS POLYM LETT	EXPRESS POLYMER LETTERS	1788-618X	0.358	0.358	0.358	0.358	0.358	0.358	0.358	0.358	0.358	0.358	0.358	0.358	0.358	0.396	0.515	0.552	0.61	0.633	0.679	0.676	0.665	0.543	0.472	0.511	0.462	0.4	0.4
EXTRACT IND SOC	EXTRACTIVE INDUSTRIES AND SOCIETY-AN INTERNATIONAL JOURNAL	2214-790X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.724	0.712	0.712
EXTREME MECH LETT	EXTREME MECHANICS LETTERS	2352-4316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.253	1.291	1.291
EXTREMES	EXTREMES	1386-1999	1.129	1.129	1.129	1.129	1.129	1.129	1.129	1.129	1.129	1.129	1.129	1.129	1.129	1.129	1.129	1.129	1.129	1.034	1.332	1.333	0.876	1.684	0.991	1.046	0.877	0.857	0.857
EXTREMOPHILES	EXTREMOPHILES	1431-0651	0.76	0.76	0.76	0.76	0.76	0.76	0.76	0.76	0.76	0.76	0.76	0.778	0.738	0.72	0.805	0.758	0.803	0.712	0.652	0.645	0.548	0.576	0.509	0.551	0.52	0.495	0.495
EYE	EYE	0950-222X	0.683	0.683	0.683	0.683	0.683	0.683	0.683	0.683	0.683	0.683	0.683	0.669	0.586	0.632	0.664	0.664	0.637	0.65	0.759	0.78	0.851	0.816	0.789	1.138	1.072	1.05	1.05
EYE CONTACT LENS	EYE & CONTACT LENS-SCIENCE AND CLINICAL PRACTICE	1542-2321	0.504	0.504	0.504	0.504	0.504	0.504	0.504	0.504	0.504	0.504	0.504	0.504	0.504	0.504	0.504	0.504	0.504	0.378	0.37	0.421	0.469	0.565	0.434	0.539	0.616	0.562	0.562
EYE VISION	EYE AND VISION	2326-0254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.164	0.93	0.93
FACETS	FACETS	2371-1671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.747	0.726	0.726
FACIAL PLAST SURG	FACIAL PLASTIC SURGERY	0736-6825	0.347	0.347	0.347	0.347	0.347	0.347	0.347	0.347	0.347	0.347	0.347	0.347	0.347	0.347	0.347	0.347	0.328	0.269	0.261	0.208	0.194	0.276	0.299	0.362	0.347	0.357	0.357
FACIAL PLAST SURG AE	FACIAL PLASTIC SURGERY & AESTHETIC MEDICINE	2689-3614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.498	0.422	0.422
FACIAL PLAST SURG CL	FACIAL PLASTIC SURGERY CLINICS OF NORTH AMERICA	1064-7406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.321	0.291	0.367	0.462	0.544	0.544	0.538	0.538
FACIES	FACIES	0172-9179	0.424	0.424	0.424	0.424	0.424	0.424	0.424	0.424	0.424	0.424	0.424	0.534	0.535	0.556	0.544	0.624	0.466	0.491	0.528	0.501	0.5	0.477	0.545	0.531	0.532	0.544	0.544
FACTA UNIV-SER MECH	FACTA UNIVERSITATIS-SERIES MECHANICAL ENGINEERING	0354-2025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.383	0.651	0.651
FAM BUS REV	FAMILY BUSINESS REVIEW	0894-4865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.735	1.131	1.538	1.455	2.372	1.943	2.406	2.406
FAM CANCER	FAMILIAL CANCER	1389-9600	0.695	0.695	0.695	0.695	0.695	0.695	0.695	0.695	0.695	0.695	0.695	0.695	0.695	0.695	0.598	0.616	0.53	0.689	0.72	0.682	0.676	0.797	0.635	0.876	0.657	0.823	0.823
FAM COMMUNITY HEALTH	FAMILY & COMMUNITY HEALTH	0160-6379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.363	0.402	0.409	0.386	0.542	0.551	0.808	0.808
FAM MED	FAMILY MEDICINE	0742-3225	0.516	0.516	0.516	0.516	0.516	0.516	0.516	0.516	0.516	0.516	0.516	0.499	0.664	0.541	0.554	0.483	0.469	0.564	0.46	0.446	0.425	0.431	0.414	0.51	0.587	0.631	0.631
FAM PRACT	FAMILY PRACTICE	0263-2136	0.661	0.661	0.661	0.661	0.661	0.661	0.661	0.661	0.661	0.661	0.661	0.619	0.699	0.717	0.686	0.736	0.662	0.676	0.805	0.7	0.701	0.821	0.779	0.826	0.756	0.714	0.714
FAM PROCESS	FAMILY PROCESS	0014-7370	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.624	0.763	0.741	0.709	0.982	0.992	1.019	1.019
FAM RELAT	FAMILY RELATIONS	0197-6664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.645	0.714	0.583	0.599	0.889	0.711	0.776	0.776
FAM RELATSH SOC	FAMILIES RELATIONSHIPS AND SOCIETIES	2046-7435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.244	0.29	0.277	0.233	0.412	0.331	0.354	0.354
FAM SOC	FAMILIES IN SOCIETY-THE JOURNAL OF CONTEMPORARY SOCIAL SERVICES	1044-3894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.156	0.244	0.252	0.398	0.382	0.379	0.379
FAM SYST HEALTH	FAMILIES SYSTEMS & HEALTH	1091-7527	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.67	0.638	0.47	0.517	0.564	0.507	0.696	0.581	0.542	0.542
FARADAY DISCUSS	FARADAY DISCUSSIONS	1359-6640	1.892	1.892	1.892	1.892	1.892	1.892	1.892	1.892	1.892	1.892	1.892	1.778	1.581	1.572	1.755	1.605	1.589	1.678	1.445	1.34	1.306	1.157	1.055	1.133	0.986	0.887	0.887
FARMACIA	FARMACIA	0014-8237	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.043	0.04	0.067	0.067	0.068	0.059	0.074	0.094	0.119	0.112	0.092	0.083	0.083
FASEB J	FASEB JOURNAL	0892-6638	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.491	2.614	2.52	2.521	2.243	2.185	2.097	1.973	1.878	1.808	1.732	1.675	1.549	1.48	1.304	1.184	1.184
FASH TEXT	FASHION AND TEXTILES	2198-0802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.473	0.473
FATIGUE FRACT ENG M	FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES	8756-758X	0.486	0.486	0.486	0.486	0.486	0.486	0.486	0.486	0.486	0.486	0.486	0.606	0.559	0.507	0.555	0.455	0.439	0.544	0.481	0.496	0.471	0.458	0.465	0.564	0.534	0.568	0.568
FEBS J	FEBS JOURNAL	1742-464X	1.369	1.369	1.369	1.369	1.369	1.369	1.369	1.369	1.369	1.369	1.369	1.353	1.218	1.142	1.183	1.231	1.243	1.341	1.358	1.38	1.361	1.443	1.303	1.505	1.341	1.408	1.408
FEBS LETT	FEBS LETTERS	0014-5793	1.342	1.342	1.342	1.342	1.342	1.342	1.342	1.342	1.342	1.342	1.342	1.303	1.299	1.305	1.288	1.339	1.32	1.208	1.231	1.161	1.145	1.091	1.074	1.107	0.972	1.092	1.092
FEBS OPEN BIO	FEBS OPEN BIO	2211-5463	0.511	0.511	0.511	0.511	0.511	0.511	0.511	0.511	0.511	0.511	0.511	0.511	0.511	0.511	0.511	0.511	0.511	0.511	0.587	0.612	0.568	0.544	0.539	0.553	0.476	0.506	0.506
FED RESERVE BANK ST	FEDERAL RESERVE BANK OF ST LOUIS REVIEW	0014-9187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.377	0.826	0.274	0.498	0.528	0.857	0.857
FEM CRIMINOL	FEMINIST CRIMINOLOGY	1557-0851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.434	0.473	0.59	0.524	1.016	1.017	0.931	0.931
FEM ECON	FEMINIST ECONOMICS	1354-5701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.704	0.8	0.645	0.845	0.954	1.135	1.621	1.621
FEM LEGAL STUD	FEMINIST LEGAL STUDIES	0966-3622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.466	0.3	0.271	0.437	1.036	1.071	0.839	0.839
FEM MEDIA STUD	FEMINIST MEDIA STUDIES	1468-0777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.411	1.025	1.025
FEM PSYCHOL	FEMINISM & PSYCHOLOGY	0959-3535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.395	0.52	0.439	0.481	0.746	1.31	1.673	1.673
FEM THEOR	FEMINIST THEORY	1464-7001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.038	0.9	0.656	0.56	1.089	0.954	1.237	1.237
FEMALE PELVIC MED RE	FEMALE PELVIC MEDICINE AND RECONSTRUCTIVE SURGERY	2151-8378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.461	0.454	0.408	0.523	0.647	0.603	0.556	0.556
