Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
Aquaculture Environment Interactions,AQUACULT ENV INTERAC,1869-215X,"1,311",3.074,2.723,3.475,0.905,42,5.0,9.2,0.001380,0.616,95.24,80.227,0.29102
AQUACULTURE INTERNATIONAL,AQUACULT INT,0967-6120,"4,071",2.235,2.130,2.616,0.740,181,6.9,10.3,0.002550,0.397,93.37,60.909,0.53571
AQUACULTURE NUTRITION,AQUACULT NUTR,1353-5773,"6,742",3.497,2.904,3.780,0.690,239,8.1,10.3,0.003680,0.524,97.91,82.727,0.77171
Aquaculture Reports,AQUACULT REP,2352-5134,"1,080",3.216,2.897,3.812,0.646,319,3.1,9.6,0.001500,0.637,99.06,79.091,0.31472
AQUACULTURE RESEARCH,AQUAC RES,1355-557X,"13,276",2.082,1.747,2.415,0.408,711,8.7,10.4,0.007540,0.356,97.05,57.273,1.58114
Aquatic Biology,AQUAT BIOL,1864-7790,"1,469",1.800,1.767,1.945,0.000,15,9.6,12.8,0.000520,0.464,100.00,49.545,0.11011
AQUATIC BOTANY,AQUAT BOT,0304-3770,"6,719",2.473,2.178,2.417,0.744,82,15.1,11.4,0.002140,0.475,97.56,64.637,0.44988
AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,AQUAT CONSERV,1052-7613,"5,268",2.771,2.431,3.370,0.801,246,6.7,10.1,0.005180,0.785,97.15,56.834,1.08617
AQUATIC ECOLOGY,AQUAT ECOL,1386-2588,"2,221",1.641,1.551,2.796,0.527,93,10.8,12.5,0.001280,0.576,98.92,36.519,0.26818
AQUATIC ECOSYSTEM HEALTH & MANAGEMENT,AQUAT ECOSYST HEALTH,1463-4988,"1,077",1.047,0.965,1.261,0.367,30,10.4,14.1,0.000650,0.293,100.00,13.786,0.13782
AQUATIC GEOCHEMISTRY,AQUAT GEOCHEM,1380-6165,"1,225",1.517,1.345,1.755,0.500,22,12.2,14.2,0.000480,0.442,90.91,32.386,0.10116
AQUATIC INSECTS,AQUAT INSECT,0165-0424,481,1.070,1.000,1.024,0.429,28,12.9,17.4,0.000280,0.330,100.00,32.843,0.05984
Aquatic Invasions,AQUAT INVASIONS,1798-6540,"1,688",2.170,2.045,2.370,1.051,39,7.8,11.3,0.001230,0.548,94.87,51.320,0.25900
AQUATIC LIVING RESOURCES,AQUAT LIVING RESOUR,0990-7440,"1,817",1.885,1.803,1.629,0.160,25,16.1,13.0,0.000530,0.371,100.00,52.045,0.11213
AQUATIC MAMMALS,AQUAT MAMM,0167-5427,"1,544",1.382,1.195,1.383,0.300,60,11.9,13.9,0.001010,0.348,100.00,39.136,0.21175
AQUATIC MICROBIAL ECOLOGY,AQUAT MICROB ECOL,0948-3055,"4,446",1.759,1.747,2.970,0.129,31,14.5,10.9,0.001630,0.797,100.00,29.219,0.34218
AQUATIC SCIENCES,AQUAT SCI,1015-1621,"3,551",2.744,2.615,3.638,0.778,90,9.2,11.5,0.002690,0.870,97.78,66.464,0.56513
AQUATIC TOXICOLOGY,AQUAT TOXICOL,0166-445X,"18,894",4.964,4.706,5.071,0.950,218,7.9,9.2,0.011840,0.851,98.62,89.084,2.48136
Arab Journal of Gastroenterology,ARAB J GASTROENTEROL,1687-1979,504,2.076,2.061,1.541,1.184,49,3.8,7.3,0.000490,0.264,83.67,8.152,0.10301
ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,ARAB J SCI ENG,2193-567X,"8,349",2.334,2.180,2.205,0.633,"1,022",3.3,7.1,0.008350,0.317,98.63,48.630,1.74970
Arabian Journal of Chemistry,ARAB J CHEM,1878-5352,"13,511",5.165,4.989,5.397,2.648,736,3.4,7.7,0.011990,0.676,95.11,70.112,2.51259
Arabian Journal of Geosciences,ARAB J GEOSCI,1866-7511,"10,206",1.827,1.563,1.985,0.382,"1,281",4.3,10.0,0.012440,0.328,97.27,26.382,2.60746
ARCHAEA-AN INTERNATIONAL MICROBIOLOGICAL JOURNAL,ARCHAEA,1472-3646,764,3.273,3.227,3.355,0.167,12,7.6,7.1,0.000680,0.879,100.00,44.161,0.14416
Archaeological and Anthropological Sciences,ARCHAEOL ANTHROP SCI,1866-9557,"2,450",1.989,1.644,2.098,1.344,276,2.2,13.2,0.005750,0.740,97.83,50.013,1.20580
Archaeological and Anthropological Sciences,ARCHAEOL ANTHROP SCI,1866-9557,"2,450",1.989,1.644,2.098,1.344,276,2.2,13.2,0.005750,0.740,97.83,50.013,1.20580
Archaeological Prospection,ARCHAEOL PROSPECT,1075-2196,"1,032",2.569,2.155,2.500,0.255,47,8.8,10.4,0.000890,0.655,100.00,46.985,0.18663
ARCHAEOLOGY IN OCEANIA,ARCHAEOL OCEAN,0728-4896,596,1.379,1.207,1.400,0.563,16,14.4,12.6,0.000540,0.553,100.00,50.568,0.11343
ARCHAEOMETRY,ARCHAEOMETRY,0003-813X,"3,946",1.886,1.642,1.873,0.605,129,13.4,12.6,0.002670,0.646,98.45,31.310,0.56024
Architectural Engineering and Design Management,ARCHIT ENG DES MANAG,1745-2007,708,2.600,2.291,2.650,0.388,67,5.4,7.5,0.000470,0.340,97.01,52.011,0.10045
ARCHIV DER MATHEMATIK,ARCH MATH,0003-889X,"2,538",0.608,0.570,0.689,0.119,176,18.5,16.1,0.003630,0.549,100.00,16.818,0.76212
ARCHIV DER PHARMAZIE,ARCH PHARM,0365-6233,"3,783",3.751,3.309,2.947,0.958,165,8.4,5.9,0.001610,0.364,86.06,57.751,0.33846
ARCHIV FUR MOLLUSKENKUNDE,ARCH MOLLUSKENKD,1869-0963,279,0.704,0.667,0.812,0.063,16,23.5,31.6,0.000140,0.208,100.00,11.364,0.03092
ARCHIVE FOR HISTORY OF EXACT SCIENCES,ARCH HIST EXACT SCI,0003-9519,511,0.594,0.531,0.605,0.242,33,22.8,48.4,0.001040,1.182,100.00,19.610,0.21923
ARCHIVE FOR MATHEMATICAL LOGIC,ARCH MATH LOGIC,0933-5846,358,0.287,0.259,0.306,0.194,72,11.5,23.2,0.001100,0.401,100.00,6.634,0.23168
ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,ARCH RATION MECH AN,0003-9527,"11,527",2.793,2.558,3.236,0.810,168,20.4,14.2,0.016140,2.517,100.00,73.464,3.38305
Archive for the Psychology of Religion-Archiv fur Religionspsychologie,ARCH PSYCHOL RELIG,0084-6724,248,0.903,0.839,0.810,0.300,20,8.3,11.6,0.000210,0.260,100.00,16.786,0.04432
ARCHIVE OF APPLIED MECHANICS,ARCH APPL MECH,0939-1533,"3,617",1.976,1.682,1.869,0.595,232,8.2,9.8,0.002830,0.409,97.41,35.662,0.59340
Archives Animal Breeding,ARCH ANIM BREED,0003-9438,421,1.528,1.447,1.723,0.235,51,3.1,11.0,0.000650,0.274,96.08,43.651,0.13660
ARCHIVES DE PEDIATRIE,ARCH PEDIATRIE,0929-693X,"1,673",1.180,1.115,0.654,0.785,107,7.6,7.8,0.001500,0.160,78.50,12.016,0.31530
Archives des Maladies Professionnelles et de l Environnement,ARCH MAL PROF ENVIRO,1775-8785,122,0.205,0.151,0.192,0.212,33,9.3,7.7,0.000080,0.041,90.91,1.232,0.01767
ARCHIVES EUROPEENNES DE SOCIOLOGIE,ARCH EUR SOCIOL,0003-9756,778,1.500,1.500,1.885,0.300,10,17.8,13.6,0.000580,0.935,100.00,34.564,0.12308
ARCHIVES ITALIENNES DE BIOLOGIE,ARCH ITAL BIOL,0003-9829,624,1.000,0.926,1.043,0.333,6,11.5,11.4,0.000190,0.206,100.00,3.846,0.04138
Archives of Acoustics,ARCH ACOUST,0137-5075,617,0.913,0.761,0.954,0.200,70,5.3,9.8,0.000570,0.161,98.57,23.438,0.11983
Archives of Agronomy and Soil Science,ARCH AGRON SOIL SCI,0365-0340,"3,381",3.092,2.813,2.745,0.749,350,4.1,9.5,0.003080,0.418,96.86,65.385,0.64682
ARCHIVES OF ANIMAL NUTRITION,ARCH ANIM NUTR,1745-039X,"1,551",2.242,2.182,2.601,0.469,32,10.6,10.3,0.000860,0.486,100.00,70.635,0.18143
ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,ARCH BIOCHEM BIOPHYS,0003-9861,"26,354",4.013,3.916,4.076,0.935,306,16.2,8.0,0.011160,0.845,91.83,63.723,2.33955
Archives of Biological Sciences,ARCH BIOL SCI,0354-4664,"1,183",0.956,0.913,0.943,0.085,59,7.6,10.5,0.000760,0.156,100.00,17.742,0.16011
Archives of Budo,ARCH BUDO,1643-8698,441,1.113,0.746,1.016,0.212,33,6.5,8.7,0.000350,0.183,90.91,9.659,0.07454
Archives of Cardiovascular Diseases,ARCH CARDIOVASC DIS,1875-2136,"2,077",2.340,2.102,3.093,1.187,75,5.3,6.4,0.003240,0.885,69.33,36.268,0.67947
Archives of Civil and Mechanical Engineering,ARCH CIV MECH ENG,1644-9665,"3,225",4.369,4.135,3.859,0.778,144,4.1,7.0,0.003890,0.673,93.75,77.485,0.81540
ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,ARCH CLIN NEUROPSYCH,0887-6177,"6,262",2.813,2.665,3.490,1.322,87,11.7,10.0,0.004000,0.944,91.95,49.886,0.83900
ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,ARCH CLIN NEUROPSYCH,0887-6177,"6,262",2.813,2.665,3.490,1.322,87,11.7,10.0,0.004000,0.944,91.95,49.886,0.83900
Archives of Clinical Psychiatry,ARCH CLIN PSYCHIAT,0101-6083,479,0.909,0.909,0.943,0.095,21,9.5,10.9,0.000340,0.237,100.00,7.372,0.07203
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,ARCH COMPUT METHOD E,1134-3060,"3,082",7.302,6.729,8.169,2.161,180,4.4,8.0,0.003880,2.132,0.56,95.370,0.81430
Archives of Control Sciences,ARCH CONTROL SCI,2300-2611,280,1.088,0.897,1.118,0.212,33,4.1,7.9,0.000280,0.166,100.00,23.178,0.06053
ARCHIVES OF DERMATOLOGICAL RESEARCH,ARCH DERMATOL RES,0340-3696,"4,961",3.017,2.948,3.169,0.903,185,9.5,7.0,0.003060,0.670,84.32,53.676,0.64162
ARCHIVES OF DISEASE IN CHILDHOOD,ARCH DIS CHILD,0003-9888,"17,160",3.791,3.638,3.960,2.122,180,13.5,7.5,0.012790,1.284,83.89,87.984,2.68096
Archives of Disease in Childhood-Education and Practice Edition,ARCH DIS CHILDHOOD-E,1743-0585,699,1.309,1.272,2.005,0.580,50,5.3,8.1,0.001230,0.602,84.00,15.116,0.25855
Archives of Disease in Childhood-Fetal and Neonatal Edition,ARCH DIS CHILD-FETAL,1359-2998,"7,952",5.747,5.361,5.191,2.215,107,9.5,7.5,0.008340,1.721,85.98,95.736,1.74852
Archives of Endocrinology Metabolism,ARCH ENDOCRIN METAB,2359-3997,"1,088",2.309,2.212,3.105,0.495,103,3.4,7.9,0.002340,0.684,87.38,14.828,0.49146
Archives of Environmental & Occupational Health,ARCH ENVIRON OCCUP H,1933-8244,"2,459",1.663,1.542,1.706,0.500,128,19.8,8.8,0.000920,0.418,96.09,20.002,0.19308
ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,ARCH ENVIRON CON TOX,0090-4341,"8,527",2.804,2.696,3.399,0.593,118,12.4,9.6,0.003420,0.572,98.31,35.516,0.71675
Archives of Environmental Protection,ARCH ENVIRON PROT,2083-4772,718,1.489,1.319,1.952,0.457,46,4.8,8.1,0.000600,0.257,97.83,14.416,0.12696
ARCHIVES OF GERONTOLOGY AND GERIATRICS,ARCH GERONTOL GERIAT,0167-4943,"8,210",3.250,3.005,3.734,1.209,244,7.1,7.9,0.008010,0.909,90.16,36.792,1.67870
ARCHIVES OF GYNECOLOGY AND OBSTETRICS,ARCH GYNECOL OBSTET,0932-0067,"9,502",2.344,2.192,2.670,0.463,471,6.0,7.7,0.011330,0.654,86.20,36.747,2.37503
ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,ARCH INSECT BIOCHEM,0739-4462,"2,445",1.698,1.590,1.758,0.871,116,14.8,9.6,0.001010,0.347,87.93,25.673,0.21328
Archives of Iranian Medicine,ARCH IRAN MED,1029-2977,"2,787",1.354,1.297,1.777,1.771,131,6.2,7.9,0.002620,0.411,80.92,31.065,0.54914
ARCHIVES OF MECHANICS,ARCH MECH,0373-2029,687,1.380,1.320,1.380,0.250,24,13.4,12.0,0.000400,0.327,100.00,25.414,0.08546
ARCHIVES OF MEDICAL RESEARCH,ARCH MED RES,0188-4409,"4,362",2.235,2.201,2.935,4.284,88,8.2,6.4,0.002330,0.564,71.59,22.500,0.48940
Archives of Medical Science,ARCH MED SCI,1734-1922,"4,209",3.318,3.000,3.257,1.162,154,4.4,8.0,0.005000,0.589,92.21,70.118,1.04894
ARCHIVES OF METALLURGY AND MATERIALS,ARCH METALL MATER,1733-3490,"2,123",0.767,0.688,0.748,0.181,199,5.2,9.4,0.002210,0.125,99.50,16.875,0.46314
ARCHIVES OF MICROBIOLOGY,ARCH MICROBIOL,0302-8933,"8,271",2.552,2.403,2.475,0.613,401,18.4,9.3,0.003270,0.475,92.77,27.372,0.68584
Archives of Mining Sciences,ARCH MIN SCI,0860-7001,695,1.127,1.051,1.045,0.185,54,6.1,8.9,0.000580,0.183,100.00,16.667,0.12332
ARCHIVES OF NATURAL HISTORY,ARCH NAT HIST,0260-9541,173,0.158,0.158,0.197,0.138,29,16.1,77.1,0.000150,0.101,100.00,0.918,0.03198
ARCHIVES OF NATURAL HISTORY,ARCH NAT HIST,0260-9541,173,0.158,0.158,0.197,0.138,29,16.1,77.1,0.000150,0.101,100.00,0.918,0.03198
ARCHIVES OF ORAL BIOLOGY,ARCH ORAL BIOL,0003-9969,"10,005",2.633,2.468,2.681,0.604,278,9.0,8.3,0.006910,0.536,88.49,55.495,1.44903
ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY,ARCH ORTHOP TRAUM SU,0936-8051,"8,816",3.067,2.303,2.950,0.770,426,7.5,8.5,0.008580,0.767,90.38,68.198,1.79806
Archives of Osteoporosis,ARCH OSTEOPOROS,1862-3522,"2,272",2.617,2.392,3.205,0.489,182,3.9,7.9,0.003880,0.889,88.46,38.261,0.81290
ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,ARCH PATHOL LAB MED,0003-9985,"13,569",5.534,5.369,5.329,3.635,156,9.0,6.9,0.013270,1.552,83.97,80.728,2.78165
ARCHIVES OF PHARMACAL RESEARCH,ARCH PHARM RES,0253-6269,"8,561",4.946,4.578,3.483,1.283,99,9.1,7.0,0.004310,0.555,45.45,75.608,0.90409
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,ARCH PHYS MED REHAB,0003-9993,"30,690",3.966,3.705,4.489,1.394,236,12.1,8.7,0.017860,1.222,83.05,83.907,3.74275
ARCHIVES OF PHYSIOLOGY AND BIOCHEMISTRY,ARCH PHYSIOL BIOCHEM,1381-3455,"1,656",4.076,3.831,3.061,0.856,278,4.2,8.4,0.001150,0.486,86.33,64.270,0.24105
ARCHIVES OF PSYCHIATRIC NURSING,ARCH PSYCHIAT NURS,0883-9417,"2,788",2.218,2.134,2.637,0.337,92,6.1,7.1,0.003070,0.585,96.74,47.360,0.64390
ARCHIVES OF PSYCHIATRIC NURSING,ARCH PSYCHIAT NURS,0883-9417,"2,788",2.218,2.134,2.637,0.337,92,6.1,7.1,0.003070,0.585,96.74,47.360,0.64390
Archives of Public Health,ARCH PUBLIC HEALTH,0778-7367,"1,678",2.589,2.488,3.260,0.463,123,5.2,6.6,0.002890,0.937,86.99,51.467,0.60653
Archives of Public Health,ARCH PUBLIC HEALTH,0778-7367,"1,678",2.589,2.488,3.260,0.463,123,5.2,6.6,0.002890,0.937,86.99,51.467,0.60653
Archives of Rheumatology,ARCH RHEUMATOL,2148-5046,386,1.472,1.402,1.161,0.139,79,3.0,9.3,0.000800,0.258,93.67,10.294,0.16939
ARCHIVES OF SEXUAL BEHAVIOR,ARCH SEX BEHAV,0004-0002,"10,812",4.507,3.761,4.735,1.373,284,7.3,8.8,0.012080,1.320,97.18,86.785,2.53153
ARCHIVES OF SUICIDE RESEARCH,ARCH SUICIDE RES,1381-1118,"2,259",3.033,2.802,3.518,0.676,188,7.5,8.8,0.002580,1.122,92.02,62.991,0.54236
ARCHIVES OF TOXICOLOGY,ARCH TOXICOL,0340-5761,"14,046",5.153,4.653,6.352,1.634,295,5.6,8.0,0.012910,1.135,84.07,83.333,2.70569
ARCHIVES OF VIROLOGY,ARCH VIROL,0304-8608,"13,818",2.574,2.349,2.466,0.736,424,7.6,7.8,0.013270,0.601,95.75,29.167,2.78135
Archives of Womens Mental Health,ARCH WOMEN MENT HLTH,1434-1816,"4,723",3.633,3.440,4.552,0.898,118,6.8,8.3,0.005890,1.296,77.12,55.449,1.23594
Archivos Argentinos de Pediatria,ARCH ARGENT PEDIATR,0325-0075,950,0.635,0.569,0.708,0.149,175,4.7,7.4,0.001290,0.157,96.00,4.264,0.27166
ARCHIVOS DE BRONCONEUMOLOGIA,ARCH BRONCONEUMOL,0300-2896,"2,531",4.872,4.314,4.412,3.567,67,5.4,5.6,0.002650,0.966,86.57,72.656,0.55654
ARCHIVOS ESPANOLES DE UROLOGIA,ARCH ESP UROL,0004-0614,598,0.436,0.419,0.498,0.144,104,7.9,6.7,0.000550,0.112,97.12,2.778,0.11641
ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS,ARCH IMMUNOL THER EX,0004-069X,"2,389",4.291,4.266,4.070,0.618,34,7.3,7.6,0.002010,0.808,55.88,51.543,0.42181
ARCTIC,ARCTIC,0004-0843,"2,337",1.783,1.667,2.074,0.250,32,17.2,11.0,0.001130,0.625,96.88,20.263,0.23728
ARCTIC ANTARCTIC AND ALPINE RESEARCH,ARCT ANTARCT ALP RES,1523-0430,"3,803",2.500,2.424,2.583,0.217,46,14.5,11.2,0.001740,0.702,100.00,36.022,0.36652
ARCTIC ANTHROPOLOGY,ARCTIC ANTHROPOL,0066-6939,443,0.696,0.652,0.821,0.000,12,20.6,21.8,0.000260,0.391,100.00,22.159,0.05649
Arctic Science,ARCT SCI,****-****,358,2.500,2.290,2.930,0.759,29,3.0,9.7,0.000970,0.830,93.10,41.865,0.20404
ARDEA,ARDEA,0373-2266,"1,118",1.020,0.959,1.190,0.250,20,18.4,12.6,0.000350,0.329,100.00,41.071,0.07443
Ardeola-International Journal of Ornithology,ARDEOLA,0570-7358,502,1.471,1.265,1.461,0.480,25,10.4,13.3,0.000380,0.369,100.00,62.500,0.08124
AREA,AREA,0004-0894,"3,915",2.280,2.147,3.341,1.624,141,9.4,8.2,0.003600,1.030,98.58,39.412,0.75561
Argumenta Oeconomica,ARGUM OECON,1233-5835,94,0.368,0.368,0.367,0.148,27,Not Available,12.0,0.000100,0.071,100.00,2.255,0.02142
Argumentation,ARGUMENTATION,0920-427X,506,1.089,0.667,1.162,0.244,45,11.4,13.2,0.000490,0.408,100.00,29.822,0.10300
Arhiv za Higijenu Rada i Toksikologiju-Archives of Industrial Hygiene and Toxicology,ARH HIG RADA TOKSIKO,0004-1254,"1,113",1.948,1.857,2.172,0.128,39,7.4,9.9,0.000740,0.375,74.36,19.270,0.15534
ARID LAND RESEARCH AND MANAGEMENT,ARID LAND RES MANAG,1532-4982,726,1.696,1.643,1.747,0.614,44,7.8,10.4,0.000510,0.324,97.73,20.154,0.10780
ARKIV FOR MATEMATIK,ARK MAT,0004-2080,930,0.896,0.896,0.944,0.227,22,33.1,24.4,0.001030,0.935,100.00,46.515,0.21590
ARKIVOC,ARKIVOC,1551-7004,"3,259",1.140,1.094,1.125,0.119,101,11.3,11.3,0.001140,0.166,91.09,23.684,0.23885
ARMED FORCES & SOCIETY,ARMED FORCES SOC,0095-327X,"1,196",1.829,1.171,1.821,0.437,71,11.2,10.9,0.001460,0.794,98.59,44.339,0.30655
ARQUIVO BRASILEIRO DE MEDICINA VETERINARIA E ZOOTECNIA,ARQ BRAS MED VET ZOO,0102-0935,"1,933",0.442,0.415,0.468,0.047,297,9.1,11.7,0.001310,0.105,99.66,11.986,0.27603
Arquivos Brasileiros de Cardiologia,ARQ BRAS CARDIOL,0066-782X,"3,975",2.000,1.518,2.415,1.146,185,6.6,6.5,0.003170,0.458,90.81,23.592,0.66601
ARQUIVOS BRASILEIROS DE OFTALMOLOGIA,ARQ BRAS OFTALMOL,0004-2749,"1,235",0.872,0.783,1.139,0.344,90,6.7,8.6,0.001250,0.264,92.22,4.032,0.26332
ARQUIVOS DE NEURO-PSIQUIATRIA,ARQ NEURO-PSIQUIAT,0004-282X,"3,770",1.420,1.328,1.455,0.519,108,9.6,7.6,0.002600,0.359,83.33,10.325,0.54669
ARS COMBINATORIA,ARS COMBINATORIA,0381-7032,"1,348",0.263,0.260,0.273,0.042,71,12.9,13.6,0.001340,0.137,100.00,1.061,0.28083
ARS Mathematica Contemporanea,ARS MATH CONTEMP,1855-3966,423,0.669,0.604,0.877,0.167,48,4.6,14.8,0.001740,0.537,100.00,16.479,0.36635
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,ARTERIOSCL THROM VAS,1079-5642,"38,412",8.311,7.096,7.542,2.329,255,10.1,7.5,0.027830,2.079,82.75,90.946,5.83150
Artery Research,ARTERY RES,1872-9312,301,0.597,0.537,1.027,0.211,38,5.3,8.4,0.000370,0.245,84.21,0.769,0.07879
Arthritis & Rheumatology,ARTHRITIS RHEUMATOL,2326-5191,"16,730",10.995,10.422,10.423,4.487,230,4.1,6.8,0.042830,3.373,96.96,92.647,8.97356
ARTHRITIS CARE & RESEARCH,ARTHRIT CARE RES,2151-464X,"20,470",4.794,4.459,5.308,2.171,245,8.9,8.3,0.018690,1.674,90.61,63.235,3.91578
ARTHRITIS RESEARCH & THERAPY,ARTHRITIS RES THER,1478-6354,"21,255",5.156,4.969,5.548,0.880,274,7.4,7.1,0.023000,1.522,94.89,75.000,4.82014
ARTHROPOD STRUCTURE & DEVELOPMENT,ARTHROPOD STRUCT DEV,1467-8039,"1,594",2.010,1.712,1.929,0.289,45,8.8,15.6,0.001800,0.621,93.33,65.196,0.37768
Arthropod Systematics & Phylogeny,ARTHROPOD SYST PHYLO,1863-7221,439,2.354,2.333,2.191,0.556,18,5.5,17.4,0.000840,0.746,94.44,73.039,0.17711
ARTHROPODA SELECTA,ARTHROPODA SEL,0136-006X,415,0.670,0.408,0.618,0.241,54,9.5,16.9,0.000350,0.156,98.15,16.176,0.07409
Arthropod-Plant Interactions,ARTHROPOD-PLANT INTE,1872-8855,"1,446",1.988,1.889,2.059,0.493,75,5.7,11.5,0.001790,0.491,97.33,63.235,0.37613
ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,ARTHROSCOPY,0749-8063,"20,208",4.772,3.666,5.067,1.948,271,8.0,6.1,0.020680,1.397,86.72,88.586,4.33385
Artificial Cells Nanomedicine and Biotechnology,ARTIF CELL NANOMED B,2169-1401,"8,530",5.678,5.581,5.246,1.691,136,2.5,5.8,0.011380,0.717,99.26,77.966,2.38562
ARTIFICIAL INTELLIGENCE,ARTIF INTELL,0004-3702,"10,734",9.088,8.803,7.525,2.773,97,12.1,9.6,0.009340,2.420,100.00,92.500,1.95822
Artificial Intelligence and Law,ARTIF INTELL LAW,0924-8463,476,2.667,2.333,3.260,0.469,32,4.9,10.3,0.001080,1.439,93.75,61.397,0.22655
Artificial Intelligence and Law,ARTIF INTELL LAW,0924-8463,476,2.667,2.333,3.260,0.469,32,4.9,10.3,0.001080,1.439,93.75,61.397,0.22655
ARTIFICIAL INTELLIGENCE IN MEDICINE,ARTIF INTELL MED,0933-3657,"4,245",5.326,4.928,5.602,1.457,162,5.8,6.0,0.004220,1.194,91.98,77.209,0.88599
ARTIFICIAL INTELLIGENCE REVIEW,ARTIF INTELL REV,0269-2821,"4,715",8.139,7.563,7.857,2.230,261,5.2,6.7,0.004080,1.453,73.56,90.357,0.85591
ARTIFICIAL LIFE,ARTIF LIFE,1064-5462,789,0.667,0.467,0.984,1.000,20,13.4,11.4,0.000300,0.229,95.00,9.010,0.06374
ARTIFICIAL ORGANS,ARTIF ORGANS,0160-564X,"5,333",3.094,2.191,2.677,0.710,221,8.0,6.7,0.004140,0.543,92.31,49.167,0.86886
Arts & Health,ARTS HEALTH,1753-3015,430,1.850,1.525,1.670,0.595,37,6.8,8.1,0.000470,0.460,78.38,30.966,0.09924
ARTS IN PSYCHOTHERAPY,ART PSYCHOTHER,0197-4556,"1,558",1.404,1.138,1.774,0.323,65,8.0,9.8,0.001010,0.369,100.00,17.209,0.21179
ASAIO JOURNAL,ASAIO J,1058-2916,"4,888",2.872,2.591,2.966,2.636,195,5.4,6.6,0.006370,0.866,93.85,44.944,1.33621
ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems Part A-Civil Engineering,ASCE-ASME J RISK U A,2376-7642,488,1.926,1.617,2.266,0.597,62,3.3,9.1,0.001180,0.576,95.16,34.191,0.24730
ASHRAE JOURNAL,ASHRAE J,0001-2491,834,0.418,0.367,0.292,0.141,78,15.0,6.9,0.000260,0.062,100.00,4.223,0.05587
Asia & the Pacific Policy Studies,ASIA PAC POLICY STUD,2050-2680,404,2.014,2.014,1.672,0.318,22,3.8,7.2,0.001020,0.486,100.00,85.625,0.21382
Asia Europe Journal,ASIA EUR J,1610-2932,368,1.846,1.577,1.316,0.389,36,5.7,6.2,0.000540,0.387,97.22,49.468,0.11359
Asia Pacific Business Review,ASIA PAC BUS REV,1360-2381,999,2.361,2.097,1.771,0.722,54,8.0,11.4,0.000530,0.290,85.19,22.457,0.11184
Asia Pacific Education Review,ASIA PAC EDUC REV,1598-1037,"1,210",1.573,1.539,1.793,0.280,50,7.8,10.7,0.001240,0.499,96.00,24.053,0.26061
Asia Pacific Journal of Anthropology,ASIA PAC J ANTHROPOL,1444-2213,276,0.788,0.769,0.746,0.360,24,7.7,12.6,0.000360,0.291,100.00,25.568,0.07654
ASIA PACIFIC JOURNAL OF CLINICAL NUTRITION,ASIA PAC J CLIN NUTR,0964-7058,"4,135",1.662,1.595,1.837,0.358,106,10.5,7.7,0.002710,0.405,87.74,16.292,0.56788
Asia Pacific Journal of Education,ASIA PAC J EDUC,0218-8791,878,1.057,0.857,1.847,0.216,102,6.8,9.6,0.000950,0.492,98.04,11.932,0.20080
Asia Pacific Journal of Human Resources,ASIA PAC J HUM RESOU,1038-4111,"1,030",4.143,3.918,3.347,0.909,44,6.9,11.2,0.000800,0.648,95.45,66.829,0.16917
Asia Pacific Journal of Management,ASIA PAC J MANAG,0217-4561,"3,996",5.616,4.791,6.721,1.716,81,7.7,11.8,0.002560,1.239,98.77,70.133,0.53744
Asia Pacific Journal of Marketing and Logistics,ASIA PAC J MARKET LO,1355-5855,"2,303",3.979,2.380,3.735,1.245,155,4.7,9.6,0.001020,0.334,96.77,47.386,0.21456
ASIA PACIFIC JOURNAL OF SOCIAL WORK AND DEVELOPMENT,ASIA PAC J SOC WORK,0218-5385,238,0.932,0.886,0.888,0.500,46,6.3,7.9,0.000170,0.172,100.00,5.682,0.03639
Asia Pacific Journal of Tourism Research,ASIA PAC J TOUR RES,1094-1665,"2,843",3.677,3.389,3.726,1.105,95,5.1,8.8,0.002390,0.555,97.89,49.138,0.50169
Asia Pacific Law Review,ASIA PAC LAW REV,1019-2557,78,0.542,0.542,0.759,0.182,11,Not Available,7.5,0.000180,0.333,100.00,11.589,0.03881
