JournalFullName,Journal,ISSN,eISSN,2022IF,2022AI
ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,ENVIRON TOXICOL PHAR,1382-6689,1872-7077,4.3,0.71
ENVIRONMENTAL VALUES,ENVIRON VALUE,0963-2719,1752-7015,2.2,0.58
ENVIRONMETRICS,ENVIRONMETRICS,1180-4009,1099-095X,1.7,0.699
ENZYME AND MICROBIAL TECHNOLOGY,ENZYME MICROB TECH,0141-0229,1879-0909,3.4,0.508
EPE JOURNAL,EPE J,0939-8368,2376-9319,0.5,0.088
EPHEMERIDES THEOLOGICAE LOVANIENSES,EPHEMER THEOL LOVAN,0013-9513,1783-1423,0.2,0.307
EPIDEMICS,EPIDEMICS-NETH,1755-4365,1878-0067,3.8,1.483
EPIDEMIOLOGIA & PREVENZIONE,EPIDEMIOL PREV,1120-9763,2385-1937,1.4,0.28
EPIDEMIOLOGIC REVIEWS,EPIDEMIOL REV,0193-936X,1478-6729,5.5,3.113
EPIDEMIOLOGIE MIKROBIOLOGIE IMUNOLOGIE,EPIDEMIOL MIKROBI IM,1210-7913,N/A,0.5,0.112
EPIDEMIOLOGY,EPIDEMIOLOGY,1044-3983,1531-5487,5.4,3.055
EPIDEMIOLOGY AND INFECTION,EPIDEMIOL INFECT,0950-2688,1469-4409,4.2,0.859
EPIDEMIOLOGY AND PSYCHIATRIC SCIENCES,EPIDEMIOL PSYCH SCI,2045-7960,2045-7979,8.1,2.807
EPIGENETICS & CHROMATIN,EPIGENET CHROMATIN,N/A,1756-8935,3.9,2
EPIGENOMICS,EPIGENOMICS-UK,1750-1911,1750-192X,3.8,0.897
EPILEPSIA,EPILEPSIA,0013-9580,1528-1167,5.6,1.906
EPILEPSY & BEHAVIOR,EPILEPSY BEHAV,1525-5050,1525-5069,2.6,0.69
EPILEPSY CURRENTS,EPILEPSY CURR,1535-7597,1535-7511,3.6,1.527
EPILEPSY RESEARCH,EPILEPSY RES,0920-1211,1872-6844,2.2,0.752
EPILEPTIC DISORDERS,EPILEPTIC DISORD,1294-9361,1950-6945,2.3,0.615
EPISODES,EPISODES,0705-3797,N/A,3.1,0.847
EPISTEME-A JOURNAL OF INDIVIDUAL AND SOCIAL EPISTEMOLOGY,EPISTEME-J INDIV SOC,1742-3600,1750-0117,1.7,0.932
EPJ DATA SCIENCE,EPJ DATA SCI,N/A,2193-1127,3.6,1.444
EPL,EPL-EUROPHYS LETT,0295-5075,1286-4854,1.8,0.531
E-POLYMERS,E-POLYMERS,2197-4586,1618-7229,3.7,0.371
EQUINE VETERINARY EDUCATION,EQUINE VET EDUC,0957-7734,2042-3292,0.9,0.159
EQUINE VETERINARY JOURNAL,EQUINE VET J,0425-1644,2042-3306,2.2,0.457
ERDE,ERDE,0013-9998,0013-9998,1.6,0.38
ERDKUNDE,ERDKUNDE,0014-0015,0014-0015,1.4,0.344
ERGODIC THEORY AND DYNAMICAL SYSTEMS,ERGOD THEOR DYN SYST,0143-3857,1469-4417,0.9,0.891
ERGONOMICS,ERGONOMICS,0014-0139,1366-5847,2.4,0.61
ERKENNTNIS,ERKENNTNIS,0165-0106,1572-8420,0.9,0.643
ERWERBS-OBSTBAU,ERWERBS-OBSTBAU,0014-0309,1439-0302,1.3,0.132
ESAIM-PROBABILITY AND STATISTICS,ESAIM-PROBAB STAT,1292-8100,1262-3318,0.4,0.439
ESOPHAGUS,ESOPHAGUS-TOKYO,1612-9059,1612-9067,2.4,1.01
ESPRIT,ESPRIT,0014-0759,2111-4579,0.1,0.079
ESPRIT CREATEUR,ESPRIT CREATEUR,0014-0767,1931-0234,0.2,0.223
ESSAYS IN CRITICISM,ESSAYS CRITICISM,0014-0856,1471-6852,0.2,0.245
ESTONIAN JOURNAL OF ARCHAEOLOGY,EST J ARCHAEOL,1406-2933,1736-7484,1,0.279
ESTONIAN JOURNAL OF EARTH SCIENCES,EST J EARTH SCI,1736-4728,1736-7557,1.1,0.258
ESTRENO-CUADERNOS DEL TEATRO ESPANOL CONTEMPORANEO,ESTRENO,0097-8663,N/A,0.1,0.11
ESTUARINE COASTAL AND SHELF SCIENCE,ESTUAR COAST SHELF S,0272-7714,1096-0015,2.8,0.622
ESTUDIOS ATACAMENOS,ESTUD ATACAMENOS,0718-1043,0718-1043,0.5,0.374
ESTUDIOS GEOLOGICOS-MADRID,ESTUD GEOL-MADRID,0367-0449,1988-3250,0.7,0.224
ESTUDOS IBERO-AMERICANOS,ESTUD IBERO-AM,0101-4064,1980-864X,0.2,0.276
ETHICAL PERSPECTIVES,ETHICAL PERSPECT,1370-0049,1783-1431,0.4,0.135
ETHICAL THEORY AND MORAL PRACTICE,ETHICAL THEORY MORAL,1386-2820,1572-8447,1,0.818
ETHICS & BEHAVIOR,ETHICS BEHAV,1050-8422,1532-7019,2,0.514
ETHICS & GLOBAL POLITICS,ETHICS GLOB POLIT,1654-4951,1654-6369,0.7,0.431
ETHICS & INTERNATIONAL AFFAIRS,ETHICS INT AFF,0892-6794,1747-7093,1.3,0.792
ETHICS AND INFORMATION TECHNOLOGY,ETHICS INF TECHNOL,1388-1957,1572-8439,3.6,1.129
ETHIK IN DER MEDIZIN,ETHIK MED,0935-7335,1437-1618,0.6,0.092
ETHIOPIAN JOURNAL OF HEALTH DEVELOPMENT,ETHIOP J HEALTH DEV,1021-6790,1021-6790,0.6,0.258
ETHNIC AND RACIAL STUDIES,ETHNIC RACIAL STUD,0141-9870,1466-4356,2.5,1.477
ETHNICITIES,ETHNICITIES,1468-7968,1741-2706,1.3,1.016
ETHNICITY & DISEASE,ETHNIC DIS,1049-510X,1945-0826,3.2,1.363
ETHNICITY & HEALTH,ETHNIC HEALTH,1355-7858,1465-3419,3.1,0.994
ETHNOGRAPHY,ETHNOGRAPHY,1466-1381,1741-2714,1.2,0.714
ETHNOHISTORY,ETHNOHISTORY,0014-1801,1527-5477,0.4,0.532
ETHNOLOGIA SCANDINAVICA,ETHNOL SCAND,0348-9698,0348-9698,0.1,0.168
ETHNOMUSICOLOGY,ETHNOMUSICOLOGY,0014-1836,2156-7417,0.7,0.507
ETHNOMUSICOLOGY FORUM,ETHNOMUSICOL FORUM,1741-1912,1741-1920,0.8,0.459
ETHNOS,ETHNOS,0014-1844,1469-588X,1.3,0.793
ETHOLOGY,ETHOLOGY,0179-1613,1439-0310,1.7,0.49
ETHOLOGY ECOLOGY & EVOLUTION,ETHOL ECOL EVOL,0394-9370,1828-7131,1.2,0.322
ETHOS,ETHOS,0091-2131,1548-1352,0.6,0.64
ETIKK I PRAKSIS,ETIKK PRAKSIS,1890-3991,1890-4009,0.2,0.094
ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT,ETR&D-EDUC TECH RES,1042-1629,1556-6501,5,1.132
ETRI JOURNAL,ETRI J,1225-6463,2233-7326,1.4,0.222
ETUDES ANGLAISES,ETUD ANGLAISES,0014-195X,0014-195X,0.1,0.122
ETUDES CLASSIQUES,ETUD CLASSIQUES,0014-200X,0014-200X,0.1,0.045
ETUDES FRANCAISES,ETUD FR,0014-2085,1492-1405,0.1,0.12
ETUDES GERMANIQUES,ETUD GER,0014-2115,N/A,0.1,0.058
ETUDES INTERNATIONALES,ETUD INT,0014-2123,1703-7891,0.1,0.022
ETUDES LITTERAIRES,ETUD LITTERAIRES,0014-214X,0014-214X,0.1,0.445
ETUDES PHILOSOPHIQUES,ETUD PHILOS,0014-2166,2101-0056,0.1,0.047
ETUDES THEOLOGIQUES ET RELIGIEUSES,ETUD THEOL RELIG,0014-2239,N/A,0.1,0.052
EUPHORION-ZEITSCHRIFT FUR LITERATURGESCHICHTE,EUPHORION-Z LIT,0014-2328,0014-2328,0.1,0.02
EUPHYTICA,EUPHYTICA,0014-2336,1573-5060,1.9,0.35
EURASIAN GEOGRAPHY AND ECONOMICS,EURASIAN GEOGR ECON,1538-7216,1938-2863,3.8,1.121
EURASIAN SOIL SCIENCE,EURASIAN SOIL SCI+,1064-2293,1556-195X,1.4,0.188
EURASIP JOURNAL ON ADVANCES IN SIGNAL PROCESSING,EURASIP J ADV SIG PR,1687-6180,1687-6180,1.9,0.369
EURASIP JOURNAL ON AUDIO SPEECH AND MUSIC PROCESSING,EURASIP J AUDIO SPEE,1687-4722,1687-4722,2.4,0.342
EURASIP JOURNAL ON IMAGE AND VIDEO PROCESSING,EURASIP J IMAGE VIDE,1687-5176,1687-5281,2.4,0.399
EURASIP JOURNAL ON WIRELESS COMMUNICATIONS AND NETWORKING,EURASIP J WIREL COMM,1687-1472,1687-1499,2.6,0.497
EURE-REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES,EURE,0250-7161,0717-6236,0.7,0.339
EUROINTERVENTION,EUROINTERVENTION,1774-024X,1969-6213,6.2,1.721
EUROPACE,EUROPACE,1099-5129,1532-2092,6.1,1.694
EUROPEAN ACCOUNTING REVIEW,EUR ACCOUNT REV,0963-8180,1468-4497,3.3,0.942
EUROPEAN ADDICTION RESEARCH,EUR ADDICT RES,1022-6877,1421-9891,3.9,0.975
EUROPEAN ANNALS OF OTORHINOLARYNGOLOGY-HEAD AND NECK DISEASES,EUR ANN OTORHINOLARY,1879-7296,1879-730X,2.5,0.544
EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY,EUR ARCH OTO-RHINO-L,0937-4477,1434-4726,2.6,0.63
EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,EUR ARCH PSY CLIN N,0940-1334,1433-8491,4.7,1.255
EUROPEAN BIOPHYSICS JOURNAL WITH BIOPHYSICS LETTERS,EUR BIOPHYS J BIOPHY,0175-7571,1432-1017,2,0.447
EUROPEAN BUSINESS ORGANIZATION LAW REVIEW,EUR BUS ORGAN LAW RE,1566-7529,1741-6205,2.1,0.508
EUROPEAN CELLS & MATERIALS,EUR CELLS MATER,1473-2262,1473-2262,3.1,0.706
EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,EUR CHILD ADOLES PSY,1018-8827,1435-165X,6.4,1.802
EUROPEAN CONSTITUTIONAL LAW REVIEW,EUR CONST LAW REV,1574-0196,1744-5515,2.1,0.932
EUROPEAN CYTOKINE NETWORK,EUR CYTOKINE NETW,N/A,1952-4005,2.8,0.597
EUROPEAN EARLY CHILDHOOD EDUCATION RESEARCH JOURNAL,EUR EARLY CHILD EDUC,1350-293X,1752-1807,2.3,0.511
EUROPEAN EATING DISORDERS REVIEW,EUR EAT DISORD REV,1072-4133,1099-0968,5.3,1.182
EUROPEAN ECONOMIC REVIEW,EUR ECON REV,0014-2921,1873-572X,2.8,1.872
EUROPEAN FINANCIAL MANAGEMENT,EUR FINANC MANAG,1354-7798,1468-036X,2.2,0.732
EUROPEAN FOOD RESEARCH AND TECHNOLOGY,EUR FOOD RES TECHNOL,1438-2377,1438-2385,3.3,0.418
EUROPEAN GERIATRIC MEDICINE,EUR GERIATR MED,1878-7649,1878-7657,3.8,0.689
EUROPEAN HEART JOURNAL,EUR HEART J,0195-668X,1522-9645,39.3,10.592
EUROPEAN HEART JOURNAL SUPPLEMENTS,EUR HEART J SUPPL,1520-765X,1554-2815,1.6,0.491
EUROPEAN HEART JOURNAL-CARDIOVASCULAR IMAGING,EUR HEART J-CARD IMG,2047-2404,2047-2412,6.2,2.216
EUROPEAN HISTORY QUARTERLY,EUR HIST Q,0265-6914,1461-7110,0.3,0.885
EUROPEAN JOURNAL FOR PHILOSOPHY OF SCIENCE,EUR J PHILOS SCI,1879-4912,1879-4920,1.5,0.787
EUROPEAN JOURNAL OF AGEING,EUR J AGEING,1613-9372,1613-9380,3.8,1.143
EUROPEAN JOURNAL OF AGRONOMY,EUR J AGRON,1161-0301,1873-7331,5.2,1.009
EUROPEAN JOURNAL OF ANAESTHESIOLOGY,EUR J ANAESTH,0265-0215,1365-2346,3.6,1.246
EUROPEAN JOURNAL OF APPLIED MATHEMATICS,EUR J APPL MATH,0956-7925,1469-4425,1.9,0.909
EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,EUR J APPL PHYSIOL,1439-6319,1439-6327,3,0.82
EUROPEAN JOURNAL OF ARCHAEOLOGY,EUR J ARCHAEOL,1461-9571,1741-2722,1.5,0.901
EUROPEAN JOURNAL OF CANCER,EUR J CANCER,0959-8049,1879-0852,8.4,2.597
EUROPEAN JOURNAL OF CANCER CARE,EUR J CANCER CARE,0961-5423,1365-2354,2.1,0.736
EUROPEAN JOURNAL OF CANCER PREVENTION,EUR J CANCER PREV,0959-8278,1473-5709,2.4,0.684
EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY,EUR J CARDIO-THORAC,1010-7940,1873-734X,3.4,1.214
EUROPEAN JOURNAL OF CARDIOVASCULAR NURSING,EUR J CARDIOVASC NUR,1474-5151,1873-1953,2.9,0.766
EUROPEAN JOURNAL OF CELL BIOLOGY,EUR J CELL BIOL,0171-9335,1618-1298,6.6,0.988
EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,EUR J CLIN INVEST,0014-2972,1365-2362,5.5,1.178
EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES,EUR J CLIN MICROBIOL,0934-9723,1435-4373,4.5,0.939
EUROPEAN JOURNAL OF CLINICAL NUTRITION,EUR J CLIN NUTR,0954-3007,1476-5640,4.7,0.993
EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY,EUR J CLIN PHARMACOL,0031-6970,1432-1041,2.9,0.701
EUROPEAN JOURNAL OF COMBINATORICS,EUR J COMBIN,0195-6698,1095-9971,1,0.918
EUROPEAN JOURNAL OF COMMUNICATION,EUR J COMMUN,0267-3231,1460-3705,2.4,1.46
EUROPEAN JOURNAL OF CONTRACEPTION AND REPRODUCTIVE HEALTH CARE,EUR J CONTRACEP REPR,1362-5187,1473-0782,1.7,0.52
EUROPEAN JOURNAL OF CONTROL,EUR J CONTROL,0947-3580,1435-5671,3.4,0.696
EUROPEAN JOURNAL OF CRIMINOLOGY,EUR J CRIMINOL,1477-3708,1741-2609,1.9,0.755
EUROPEAN JOURNAL OF CULTURAL STUDIES,EUR J CULT STUD,1367-5494,1460-3551,2.4,1.174
EUROPEAN JOURNAL OF DENTAL EDUCATION,EUR J DENT EDUC,1396-5883,1600-0579,2.4,0.423
EUROPEAN JOURNAL OF DERMATOLOGY,EUR J DERMATOL,1167-1122,1952-4013,2.5,0.73
EUROPEAN JOURNAL OF DEVELOPMENT RESEARCH,EUR J DEV RES,0957-8811,1743-9728,2.5,0.726
EUROPEAN JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,EUR J DEV PSYCHOL,1740-5629,1740-5610,2,0.657
EUROPEAN JOURNAL OF DRUG METABOLISM AND PHARMACOKINETICS,EUR J DRUG METAB PH,0378-7966,2107-0180,1.9,0.411
EUROPEAN JOURNAL OF EDUCATION,EUR J EDUC,0141-8211,1465-3435,2.4,0.773
EUROPEAN JOURNAL OF EMERGENCY MEDICINE,EUR J EMERG MED,0969-9546,1473-5695,4.4,0.849
EUROPEAN JOURNAL OF ENDOCRINOLOGY,EUR J ENDOCRINOL,0804-4643,1479-683X,5.8,1.724
EUROPEAN JOURNAL OF ENGLISH STUDIES,EUR J ENGL STUD,1382-5577,1744-4233,0.5,0.391
EUROPEAN JOURNAL OF ENTOMOLOGY,EUR J ENTOMOL,N/A,1802-8829,1.3,0.338
EUROPEAN JOURNAL OF ENVIRONMENTAL AND CIVIL ENGINEERING,EUR J ENVIRON CIV EN,1964-8189,2116-7214,2.1,0.396
EUROPEAN JOURNAL OF EPIDEMIOLOGY,EUR J EPIDEMIOL,0393-2990,1573-7284,13.6,4.421
EUROPEAN JOURNAL OF FINANCE,EUR J FINANC,1351-847X,1466-4364,2.5,0.519
EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY,EUR J GASTROEN HEPAT,0954-691X,1473-5687,2.1,0.607
EUROPEAN JOURNAL OF GENERAL PRACTICE,EUR J GEN PRACT,1381-4788,1751-1402,3.4,1.497
EUROPEAN JOURNAL OF GYNAECOLOGICAL ONCOLOGY,EUR J GYNAECOL ONCOL,0392-2936,2709-0086,0.4,0.046
EUROPEAN JOURNAL OF HAEMATOLOGY,EUR J HAEMATOL,0902-4441,1600-0609,3.1,0.884
EUROPEAN JOURNAL OF HEALTH ECONOMICS,EUR J HEALTH ECON,1618-7598,1618-7601,4.4,1.164
EUROPEAN JOURNAL OF HEART FAILURE,EUR J HEART FAIL,1388-9842,1879-0844,18.2,5.247
EUROPEAN JOURNAL OF HISTOCHEMISTRY,EUR J HISTOCHEM,1121-760X,2038-8306,2,0.424
EUROPEAN JOURNAL OF HORTICULTURAL SCIENCE,EUR J HORTIC SCI,1611-4426,1611-4434,0.9,0.187
EUROPEAN JOURNAL OF HUMAN GENETICS,EUR J HUM GENET,1018-4813,1476-5438,5.2,1.687
EUROPEAN JOURNAL OF IMMUNOLOGY,EUR J IMMUNOL,0014-2980,1521-4141,5.4,1.565
EUROPEAN JOURNAL OF INDUSTRIAL ENGINEERING,EUR J IND ENG,1751-5254,1751-5262,1,0.219
EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS,EUR J IND RELAT,0959-6801,1461-7129,2.6,0.843
EUROPEAN JOURNAL OF INFLAMMATION,EUR J INFLAMM,1721-727X,2058-7392,0.7,0.105
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,EUR J INFORM SYST,0960-085X,1476-9344,9.5,1.961
EUROPEAN JOURNAL OF INORGANIC CHEMISTRY,EUR J INORG CHEM,1434-1948,1099-0682,2.3,0.392
EUROPEAN JOURNAL OF INTEGRATIVE MEDICINE,EUR J INTEGR MED,1876-3820,1876-3839,2.5,0.307
EUROPEAN JOURNAL OF INTERNAL MEDICINE,EUR J INTERN MED,0953-6205,1879-0828,8,1.44
EUROPEAN JOURNAL OF INTERNATIONAL LAW,EUR J INT LAW,0938-5428,1464-3596,1.2,0.945
EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,EUR J INT MANAG,1751-6757,1751-6765,1.8,0.361
EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS,EUR J INT RELAT,1354-0661,1460-3713,3.4,1.82
EUROPEAN JOURNAL OF JEWISH STUDIES,EUR J JEW STUD,1025-9996,1872-471X,0.4,0.604
EUROPEAN JOURNAL OF LAW AND ECONOMICS,EUR J LAW ECON,0929-1261,1572-9990,1.3,0.369
EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,EUR J LIPID SCI TECH,1438-7697,1438-9312,2.7,0.344
EUROPEAN JOURNAL OF MARKETING,EUR J MARKETING,0309-0566,1758-7123,4.4,1.172
EUROPEAN JOURNAL OF MASS SPECTROMETRY,EUR J MASS SPECTROM,1469-0667,1751-6838,1.3,0.183
EUROPEAN JOURNAL OF MECHANICS A-SOLIDS,EUR J MECH A-SOLID,0997-7538,1873-7285,4.1,0.766
EUROPEAN JOURNAL OF MECHANICS B-FLUIDS,EUR J MECH B-FLUID,0997-7546,1873-7390,2.6,0.512
EUROPEAN JOURNAL OF MEDICAL GENETICS,EUR J MED GENET,1769-7212,1878-0849,1.9,0.66
EUROPEAN JOURNAL OF MEDICAL RESEARCH,EUR J MED RES,0949-2321,2047-783X,4.2,0.733
EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,EUR J MED CHEM,0223-5234,1768-3254,6.7,0.963
EUROPEAN JOURNAL OF MIGRATION AND LAW,EUR J MIGR LAW,1388-364X,1571-8166,1,0.464
EUROPEAN JOURNAL OF MINERALOGY,EUR J MINERAL,0935-1221,1617-4011,2.1,0.527
EUROPEAN JOURNAL OF NEUROLOGY,EUR J NEUROL,1351-5101,1468-1331,5.1,1.54
EUROPEAN JOURNAL OF NEUROSCIENCE,EUR J NEUROSCI,0953-816X,1460-9568,3.4,0.97
EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,EUR J NUCL MED MOL I,1619-7070,1619-7089,9.1,2.051
EUROPEAN JOURNAL OF NUTRITION,EUR J NUTR,1436-6207,1436-6215,5,0.972
EUROPEAN JOURNAL OF OBSTETRICS & GYNECOLOGY AND REPRODUCTIVE BIOLOGY,EUR J OBSTET GYN R B,0301-2115,1872-7654,2.6,0.729
EUROPEAN JOURNAL OF ONCOLOGY NURSING,EUR J ONCOL NURS,1462-3889,1532-2122,2.8,0.757
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,EUR J OPER RES,0377-2217,1872-6860,6.4,1.395
EUROPEAN JOURNAL OF OPHTHALMOLOGY,EUR J OPHTHALMOL,1120-6721,1724-6016,1.7,0.428
EUROPEAN JOURNAL OF ORAL SCIENCES,EUR J ORAL SCI,0909-8836,1600-0722,1.9,0.529
EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,EUR J ORG CHEM,1434-193X,1099-0690,2.8,0.525
EUROPEAN JOURNAL OF ORTHODONTICS,EUR J ORTHODONT,0141-5387,1460-2210,2.6,0.677
EUROPEAN JOURNAL OF ORTHOPAEDIC SURGERY AND TRAUMATOLOGY,EUR J ORTHOP SURG TR,1633-8065,1432-1068,1.7,0
EUROPEAN JOURNAL OF PAEDIATRIC DENTISTRY,EUR J PAEDIATR DENT,1591-996X,2035-648X,3.6,0.366
EUROPEAN JOURNAL OF PAEDIATRIC NEUROLOGY,EUR J PAEDIATR NEURO,1090-3798,1532-2130,3.1,0.927
EUROPEAN JOURNAL OF PAIN,EUR J PAIN,1090-3801,1532-2149,3.6,1.121
EUROPEAN JOURNAL OF PEDIATRIC SURGERY,EUR J PEDIATR SURG,0939-7248,1439-359X,1.8,0.546
EUROPEAN JOURNAL OF PEDIATRICS,EUR J PEDIATR,0340-6199,1432-1076,3.6,0.982
EUROPEAN JOURNAL OF PERSONALITY,EUR J PERSONALITY,0890-2070,1099-0984,5.9,2.525
EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES,EUR J PHARM SCI,0928-0987,1879-0720,4.6,0.615
EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS,EUR J PHARM BIOPHARM,0939-6411,1873-3441,4.9,0.735
EUROPEAN JOURNAL OF PHARMACOLOGY,EUR J PHARMACOL,0014-2999,1879-0712,5,0.754
EUROPEAN JOURNAL OF PHILOSOPHY,EUR J PHILOS,0966-8373,1468-0378,0.9,0.728
EUROPEAN JOURNAL OF PHYCOLOGY,EUR J PHYCOL,0967-0262,1469-4433,2.4,0.712
EUROPEAN JOURNAL OF PHYSICAL AND REHABILITATION MEDICINE,EUR J PHYS REHAB MED,1973-9087,1973-9095,4.5,0.903
EUROPEAN JOURNAL OF PHYSICS,EUR J PHYS,0143-0807,1361-6404,0.7,0.185
EUROPEAN JOURNAL OF PLANT PATHOLOGY,EUR J PLANT PATHOL,0929-1873,1573-8469,1.8,0.345
EUROPEAN JOURNAL OF PLASTIC SURGERY,EUR J PLAST SURG,0930-343X,1435-0130,0.5,0.146
EUROPEAN JOURNAL OF POLITICAL ECONOMY,EUR J POLIT ECON,0176-2680,1873-5703,2,1.061
EUROPEAN JOURNAL OF POLITICAL RESEARCH,EUR J POLIT RES,0304-4130,1475-6765,5.3,3.054
EUROPEAN JOURNAL OF POPULATION-REVUE EUROPEENNE DE DEMOGRAPHIE,EUR J POPUL,0168-6577,1572-9885,2.5,1.25
EUROPEAN JOURNAL OF PREVENTIVE CARDIOLOGY,EUR J PREV CARDIOL,2047-4873,2047-4881,8.3,1.892
EUROPEAN JOURNAL OF PROTISTOLOGY,EUR J PROTISTOL,0932-4739,1618-0429,2.9,0.425
EUROPEAN JOURNAL OF PSYCHIATRY,EUR J PSYCHIAT,0213-6163,0213-6163,1.8,0.308
EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT,EUR J PSYCHOL ASSESS,1015-5759,2151-2426,2.5,0.936
EUROPEAN JOURNAL OF PSYCHOLOGY APPLIED TO LEGAL CONTEXT,EUR J PSYCHOL APPL L,1889-1861,1989-4007,9.5,1.393
EUROPEAN JOURNAL OF PSYCHOLOGY OF EDUCATION,EUR J PSYCHOL EDUC,0256-2928,1878-5174,3,0.88
EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY,EUR J PSYCHOTRAUMATO,2000-8198,2000-8066,5,1.625
EUROPEAN JOURNAL OF PUBLIC HEALTH,EUR J PUBLIC HEALTH,1101-1262,1464-360X,4.4,1.183
EUROPEAN JOURNAL OF RADIOLOGY,EUR J RADIOL,0720-048X,1872-7727,3.3,0.832
EUROPEAN JOURNAL OF REMOTE SENSING,EUR J REMOTE SENS,N/A,2279-7254,4,0.703
EUROPEAN JOURNAL OF SCANDINAVIAN STUDIES,EUR J SCAND STUD,2191-9399,2191-9402,0.1,0.092
EUROPEAN JOURNAL OF SCIENCE AND THEOLOGY,EUR J SCI THEOL,1841-0464,1842-8517,0.5,0.112
EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,EUR J SOC PSYCHOL,0046-2772,1099-0992,3.9,1.92
EUROPEAN JOURNAL OF SOCIAL THEORY,EUR J SOC THEORY,1368-4310,1461-7137,2.1,1.175
EUROPEAN JOURNAL OF SOCIAL WORK,EUR J SOC WORK,1369-1457,1468-2664,1.5,0.374
EUROPEAN JOURNAL OF SOIL BIOLOGY,EUR J SOIL BIOL,1164-5563,1778-3615,4.2,0.704
EUROPEAN JOURNAL OF SOIL SCIENCE,EUR J SOIL SCI,1351-0754,1365-2389,4.2,0.902
EUROPEAN JOURNAL OF SPECIAL NEEDS EDUCATION,EUR J SPEC NEEDS EDU,0885-6257,1469-591X,2.6,0.599
EUROPEAN JOURNAL OF SPORT SCIENCE,EUR J SPORT SCI,1746-1391,1536-7290,3.2,0.856
EUROPEAN JOURNAL OF TAXONOMY,EUR J TAXON,N/A,2118-9773,1.2,0.39
EUROPEAN JOURNAL OF TEACHER EDUCATION,EUR J TEACH EDUC,0261-9768,1469-5928,6.1,1.237
EUROPEAN JOURNAL OF THE HISTORY OF ECONOMIC THOUGHT,EUR J HIST ECON THOU,0967-2567,1469-5936,0.7,0.302
EUROPEAN JOURNAL OF TRANSPORT AND INFRASTRUCTURE RESEARCH,EUR J TRANSP INFRAST,1567-7133,1567-7141,1.7,0.336
EUROPEAN JOURNAL OF TRAUMA AND EMERGENCY SURGERY,EUR J TRAUMA EMERG S,1863-9933,1863-9941,2.1,0.598
EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,EUR J VASC ENDOVASC,1078-5884,1532-2165,5.7,1.967
EUROPEAN JOURNAL OF WILDLIFE RESEARCH,EUR J WILDLIFE RES,1612-4642,1439-0574,2,0.484
EUROPEAN JOURNAL OF WOMENS STUDIES,EUR J WOMENS STUD,1350-5068,1461-7420,1.4,0.962
EUROPEAN JOURNAL OF WOOD AND WOOD PRODUCTS,EUR J WOOD WOOD PROD,0018-3768,1436-736X,2.6,0.344
EUROPEAN JOURNAL OF WORK AND ORGANIZATIONAL PSYCHOLOGY,EUR J WORK ORGAN PSY,1359-432X,1464-0643,4.3,1.555
EUROPEAN JOURNAL ON CRIMINAL POLICY AND RESEARCH,EUR J CRIM POLICY RE,0928-1371,1572-9869,1.7,0.63
EUROPEAN LAW JOURNAL,EUR LAW J,1351-5993,1468-0386,1.9,0.7
EUROPEAN LAW REVIEW,EUR LAW REV,0307-5400,N/A,1,0.274
EUROPEAN LEGACY-TOWARD NEW PARADIGMS,EUR LEG,1084-8770,1470-1316,0.2,0.107
EUROPEAN MANAGEMENT JOURNAL,EUR MANAG J,0263-2373,1873-5681,7.5,1.341
EUROPEAN MANAGEMENT REVIEW,EUR MANAG REV,1740-4754,1740-4762,3.7,0.737
EUROPEAN NEUROLOGY,EUR NEUROL,0014-3022,1421-9913,2.4,0.642
