JournalFullName,Journal,ISSN,2021IF,2021AI
CELLULAR SIGNALLING,CELL SIGNAL,0898-6568,4.85,0.881
CELLULOSE,CELLULOSE,0969-0239,6.123,0.743
CELLULOSE CHEMISTRY AND TECHNOLOGY,CELL CHEM TECHNOL,0576-9787,1.387,0.138
CEMENT & CONCRETE COMPOSITES,CEMENT CONCRETE COMP,0958-9465,9.93,1.695
CEMENT AND CONCRETE RESEARCH,CEMENT CONCRETE RES,0008-8846,11.958,2.148
Cement Wapno Beton,CEM WAPNO BETON,1425-8129,0.759,0.065
CENTAURUS,CENTAURUS,0008-8994,1.198,0.497
Central Asian Survey,CENT ASIAN SURV,0263-4937,1.81,0.772
CENTRAL EUROPEAN HISTORY,CENT EUR HIST,0008-9389,0.52,0.463
Central European Journal of Energetic Materials,CENT EUR J ENERG MAT,1733-7178,1.104,0.207
Central European Journal of Immunology,CENT EUR J IMMUNOL,1426-3912,1.634,0.331
Central European Journal of Operations Research,CENT EUR J OPER RES,1435-246X,2.407,0.395
Central European Journal of Public Health,CENT EUR J PUBL HEAL,1210-7778,1.154,0.235
Cepal Review,CEPAL REV,0251-2920,0.631,0.29
CEPHALALGIA,CEPHALALGIA,0333-1024,6.075,1.961
CERAMICS INTERNATIONAL,CERAM INT,0272-8842,5.532,0.552
CERAMICS-SILIKATY,CERAM-SILIKATY,0862-5468,1.01,0.165
CEREAL CHEMISTRY,CEREAL CHEM,0009-0352,2.534,0.307
CEREAL RESEARCH COMMUNICATIONS,CEREAL RES COMMUN,0133-3720,1.24,0.176
CEREBELLUM,CEREBELLUM,1473-4222,3.648,0.983
CEREBRAL CORTEX,CEREB CORTEX,1047-3211,4.861,2.128
CEREBROVASCULAR DISEASES,CEREBROVASC DIS,1015-9770,3.104,1.032
Cerne,CERNE,0104-7760,1.01,0.257
CESifo Economic Studies,CESIFO ECON STUD,1610-241X,1.231,0.689
CESKA A SLOVENSKA NEUROLOGIE A NEUROCHIRURGIE,CESK SLOV NEUROL N,1210-7859,0.411,0.036
CESKOSLOVENSKA PSYCHOLOGIE,CESK PSYCHOL,0009-062X,0.252,0.071
Chalcogenide Letters,CHALCOGENIDE LETT,1584-8663,0.855,0.106
Channels,CHANNELS,1933-6950,3.493,0.728
CHAOS,CHAOS,1054-1500,3.741,0.807
CHAOS SOLITONS & FRACTALS,CHAOS SOLITON FRACT,0960-0779,9.922,1.107
CHELONIAN CONSERVATION AND BIOLOGY,CHELONIAN CONSERV BI,1071-8443,1.209,0.352
Chem,CHEM-US,2451-9294,25.832,6.714
CHEMBIOCHEM,CHEMBIOCHEM,1439-4227,3.461,0.757
ChemBioEng Reviews,CHEMBIOENG REV,2196-9744,6.207,1.112
ChemCatChem,CHEMCATCHEM,1867-3880,5.497,0.948
ChemElectroChem,CHEMELECTROCHEM,2196-0216,4.782,0.744
CHEMICAL & ENGINEERING NEWS,CHEM ENG NEWS,0009-2347,0.776,0.154
CHEMICAL & PHARMACEUTICAL BULLETIN,CHEM PHARM BULL,0009-2363,1.903,0.296
CHEMICAL AND BIOCHEMICAL ENGINEERING QUARTERLY,CHEM BIOCHEM ENG Q,0352-9568,1.677,0.228
Chemical and Biological Technologies in Agriculture,CHEM BIOL TECHNOL AG,2196-5641,4.839,0.771
Chemical and Process Engineering-Inzynieria Chemiczna I Procesowa,CHEM PROCESS ENG-INZ,0208-6425,0.679,0.113
Chemical Biology & Drug Design,CHEM BIOL DRUG DES,1747-0277,2.873,0.383
CHEMICAL COMMUNICATIONS,CHEM COMMUN,1359-7345,6.065,1.124
CHEMICAL ENGINEERING & TECHNOLOGY,CHEM ENG TECHNOL,0930-7516,2.215,0.293
Chemical Engineering and Processing-Process Intensification,CHEM ENG PROCESS,0255-2701,4.264,0.578
CHEMICAL ENGINEERING COMMUNICATIONS,CHEM ENG COMMUN,0098-6445,2.586,0.309
CHEMICAL ENGINEERING JOURNAL,CHEM ENG J,1385-8947,16.744,1.758
CHEMICAL ENGINEERING PROGRESS,CHEM ENG PROG,0360-7275,0.343,0.09
CHEMICAL ENGINEERING RESEARCH & DESIGN,CHEM ENG RES DES,0263-8762,4.119,0.563
CHEMICAL ENGINEERING SCIENCE,CHEM ENG SCI,0009-2509,4.889,0.718
CHEMICAL GEOLOGY,CHEM GEOL,0009-2541,4.685,1.358
Chemical Industry & Chemical Engineering Quarterly,CHEM IND CHEM ENG Q,1451-9372,0.925,0.128
CHEMICAL JOURNAL OF CHINESE UNIVERSITIES-CHINESE,CHEM J CHINESE U,0251-0790,0.786,0.048
CHEMICAL PAPERS,CHEM PAP,0366-6352,2.146,0.258
CHEMICAL PHYSICS,CHEM PHYS,0301-0104,2.552,0.376
CHEMICAL PHYSICS LETTERS,CHEM PHYS LETT,0009-2614,2.719,0.357
CHEMICAL RECORD,CHEM REC,1527-8999,6.935,1.19
CHEMICAL RESEARCH IN CHINESE UNIVERSITIES,CHEM RES CHINESE U,1005-9040,2.726,0.222
CHEMICAL RESEARCH IN TOXICOLOGY,CHEM RES TOXICOL,0893-228X,3.973,0.723
CHEMICAL REVIEWS,CHEM REV,0009-2665,72.087,16.865
Chemical Science,CHEM SCI,2041-6520,9.969,2.319
CHEMICAL SENSES,CHEM SENSES,0379-864X,4.985,1.052
CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,0306-0012,60.615,11.602
CHEMICKE LISTY,CHEM LISTY,0009-2770,0.356,0.027
CHEMICO-BIOLOGICAL INTERACTIONS,CHEM-BIOL INTERACT,0009-2797,5.168,0.669
CHEMIE IN UNSERER ZEIT,CHEM UNSERER ZEIT,0009-2851,0.518,0.055
CHEMIE INGENIEUR TECHNIK,CHEM-ING-TECH,0009-286X,1.794,0.267
Chemija,CHEMIJA,0235-7216,0.638,0.071
CHEMISTRY & BIODIVERSITY,CHEM BIODIVERS,1612-1872,2.745,0.334
CHEMISTRY & INDUSTRY,CHEM IND-LONDON,0009-3068,0.232,0.035
CHEMISTRY AND ECOLOGY,CHEM ECOL,0275-7540,2.381,0.277
CHEMISTRY AND PHYSICS OF LIPIDS,CHEM PHYS LIPIDS,0009-3084,3.57,0.654
CHEMISTRY AND TECHNOLOGY OF FUELS AND OILS,CHEM TECH FUELS OIL+,0009-3092,0.51,0.073
Chemistry Education Research and Practice,CHEM EDUC RES PRACT,1109-4028,3.367,0.623
CHEMISTRY LETTERS,CHEM LETT,0366-7022,1.715,0.275
Chemistry of Heterocyclic Compounds,CHEM HETEROCYCL COM+,0009-3122,1.49,0.181
CHEMISTRY OF MATERIALS,CHEM MATER,0897-4756,10.508,2.247
CHEMISTRY OF NATURAL COMPOUNDS,CHEM NAT COMPD+,0009-3130,0.83,0.089
CHEMISTRY-A EUROPEAN JOURNAL,CHEM-EUR J,0947-6539,5.02,0.974
Chemistry-An Asian Journal,CHEM-ASIAN J,1861-4728,4.839,0.746
ChemistryOpen,CHEMISTRYOPEN,2191-1363,2.63,0.481
ChemistrySelect,CHEMISTRYSELECT,2365-6549,2.307,0.282
ChemMedChem,CHEMMEDCHEM,1860-7179,3.54,0.674
ChemNanoMat,CHEMNANOMAT,2199-692X,3.82,0.577
CHEMOECOLOGY,CHEMOECOLOGY,0937-7409,2.169,0.523
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,CHEMOMETR INTELL LAB,0169-7439,4.175,0.656
Chemosensors,CHEMOSENSORS,2227-9040,4.229,0.528
Chemosensory Perception,CHEMOSENS PERCEPT,1936-5802,1.323,0.322
CHEMOSPHERE,CHEMOSPHERE,0045-6535,8.943,1.007
CHEMOTHERAPY,CHEMOTHERAPY,0009-3157,3.549,0.443
ChemPhotoChem,CHEMPHOTOCHEM,2367-0932,3.679,0.767
CHEMPHYSCHEM,CHEMPHYSCHEM,1439-4235,3.52,0.74
ChemPlusChem,CHEMPLUSCHEM,2192-6506,3.21,0.533
ChemSusChem,CHEMSUSCHEM,1864-5631,9.14,1.566
CHEST,CHEST,0012-3692,10.262,3.431
Chiang Mai Journal of Science,CHIANG MAI J SCI,0125-2526,0.507,0.079
CHILD & FAMILY BEHAVIOR THERAPY,CHILD FAM BEHAV THER,0731-7107,1.08,0.359
Child & Family Social Work,CHILD FAM SOC WORK,1356-7500,1.83,0.488
CHILD & YOUTH CARE FORUM,CHILD YOUTH CARE FOR,1053-1890,2.203,0.624
CHILD ABUSE & NEGLECT,CHILD ABUSE NEGLECT,0145-2134,4.863,1.477
Child Abuse Review,CHILD ABUSE REV,0952-9136,2.086,0.64
Child and Adolescent Mental Health,CHILD ADOL MENT H-UK,1475-357X,4.111,1.077
CHILD AND ADOLESCENT PSYCHIATRIC CLINICS OF NORTH AMERICA,CHILD ADOL PSYCH CL,1056-4993,3.019,0.88
Child and Adolescent Psychiatry and Mental Health,CHILD ADOL PSYCH MEN,1753-2000,7.494,1.312
Child and Adolescent Social Work Journal,CHILD ADOLESC SOC WO,0738-0151,1.744,0.577
CHILD CARE HEALTH AND DEVELOPMENT,CHILD CARE HLTH DEV,0305-1862,2.943,0.855
CHILD DEVELOPMENT,CHILD DEV,0009-3920,5.661,2.261
Child Development Perspectives,CHILD DEV PERSPECT,1750-8592,6.16,2.934
Child Indicators Research,CHILD INDIC RES,1874-897X,2.322,0.595
Child Language Teaching & Therapy,CHILD LANG TEACH THE,0265-6590,0.912,0.403
CHILD MALTREATMENT,CHILD MALTREATMENT,1077-5595,3.95,1.548
CHILD NEUROPSYCHOLOGY,CHILD NEUROPSYCHOL,0929-7049,2.597,0.868
CHILD PSYCHIATRY & HUMAN DEVELOPMENT,CHILD PSYCHIAT HUM D,0009-398X,2.776,0.897
Childhood Obesity,CHILD OBES,2153-2168,2.867,0.825
CHILDHOOD-A GLOBAL JOURNAL OF CHILD RESEARCH,CHILDHOOD,0907-5682,1.802,0.889
Children & Society,CHILD SOC,0951-0605,1.764,0.523
CHILDREN AND YOUTH SERVICES REVIEW,CHILD YOUTH SERV REV,0190-7409,2.519,0.703
Children-Basel,CHILDREN-BASEL,2227-9067,2.835,0.768
Childrens Geographies,CHILD GEOGR,1473-3285,2.307,0.665
CHILDRENS HEALTH CARE,CHILD HEALTH CARE,0273-9615,1.032,0.321
CHILDS NERVOUS SYSTEM,CHILD NERV SYST,0256-7040,1.532,0.388
Chilean Journal of Agricultural Research,CHIL J AGR RES,0718-5839,1.917,0.256
CHIMIA,CHIMIA,0009-4293,1.656,0.36
China & World Economy,CHINA WORLD ECON,1671-2234,2.451,0.565
China Agricultural Economic Review,CHINA AGR ECON REV,1756-137X,4.265,0.611
China Communications,CHINA COMMUN,1673-5447,3.17,0.399
CHINA ECONOMIC REVIEW,CHINA ECON REV,1043-951X,4.744,1.154
China Foundry,CHINA FOUNDRY,1672-6421,1.045,0.17
China Information,CHINA INFORM,0920-203X,1.34,0.797
CHINA JOURNAL,CHINA J,1324-9347,3.174,1.722
CHINA OCEAN ENGINEERING,CHINA OCEAN ENG,0890-5487,1.253,0.217
China Perspectives,CHINA PERSPECT,2070-3449,1.204,0.707
China Petroleum Processing & Petrochemical Technology,CHINA PET PROCESS PE,1008-6234,0.595,0.054
CHINA QUARTERLY,CHINA QUART,0305-7410,2.231,1.499
China Review-An Interdisciplinary Journal on Greater China,CHINA REV,1680-2012,1.712,0.828
China-An International Journal,CHINA INT J,0219-7472,0.756,0.28
CHINESE ANNALS OF MATHEMATICS SERIES B,CHINESE ANN MATH B,0252-9599,0.531,0.385
CHINESE CHEMICAL LETTERS,CHINESE CHEM LETT,1001-8417,8.455,0.735
Chinese Geographical Science,CHINESE GEOGR SCI,1002-0063,3.101,0.486
Chinese Journal of Aeronautics,CHINESE J AERONAUT,1000-9361,4.061,0.561
CHINESE JOURNAL OF ANALYTICAL CHEMISTRY,CHINESE J ANAL CHEM,0253-3820,1.193,0.117
Chinese Journal of Cancer Research,CHINESE J CANCER RES,1000-9604,4.026,0.821
CHINESE JOURNAL OF CATALYSIS,CHINESE J CATAL,0253-9837,12.92,1.1
CHINESE JOURNAL OF CHEMICAL ENGINEERING,CHINESE J CHEM ENG,1004-9541,3.898,0.454
CHINESE JOURNAL OF CHEMICAL PHYSICS,CHINESE J CHEM PHYS,1674-0068,1.09,0.168
CHINESE JOURNAL OF CHEMISTRY,CHINESE J CHEM,1001-604X,5.56,0.763
Chinese Journal of Communication,CHIN J COMMUN,1754-4750,3.698,1.182
CHINESE JOURNAL OF ELECTRONICS,CHINESE J ELECTRON,1022-4653,1.019,0.141
CHINESE JOURNAL OF GEOPHYSICS-CHINESE EDITION,CHINESE J GEOPHYS-CH,0001-5733,1.059,0.196
CHINESE JOURNAL OF INORGANIC CHEMISTRY,CHINESE J INORG CHEM,1001-4861,0.827,0.049
Chinese Journal of Integrative Medicine,CHIN J INTEGR MED,1672-0415,2.626,0.317
Chinese Journal of International Law,CHIN J INT LAW,1540-1650,1,0.525
Chinese Journal of International Politics,CHIN J INT POLIT,1750-8916,3.3,1.373
Chinese Journal of Mechanical Engineering,CHIN J MECH ENG-EN,1000-9345,2.964,0.457
Chinese Journal of Natural Medicines,CHIN J NAT MEDICINES,2095-6975,3.887,0.422
CHINESE JOURNAL OF ORGANIC CHEMISTRY,CHINESE J ORG CHEM,0253-2786,N/A,0.173
CHINESE JOURNAL OF PHYSICS,CHINESE J PHYS,0577-9073,3.957,0.438
CHINESE JOURNAL OF PHYSIOLOGY,CHINESE J PHYSIOL,0304-4920,1.568,0.249
CHINESE JOURNAL OF POLYMER SCIENCE,CHINESE J POLYM SCI,0256-7679,3.815,0.435
CHINESE JOURNAL OF STRUCTURAL CHEMISTRY,CHINESE J STRUC CHEM,0254-5861,0.847,0.063
Chinese Management Studies,CHIN MANAG STUD,1750-614X,2.351,0.303
CHINESE MEDICAL JOURNAL,CHINESE MED J-PEKING,0366-6999,6.133,0.777
Chinese Medicine,CHIN MED-UK,1749-8546,4.546,0.638
Chinese Optics Letters,CHIN OPT LETT,1671-7694,2.56,0.252
Chinese Physics B,CHINESE PHYS B,1674-1056,1.652,0.225
Chinese Physics C,CHINESE PHYS C,1674-1137,2.944,0.77
CHINESE PHYSICS LETTERS,CHINESE PHYS LETT,0256-307X,2.293,0.283
Chinese Sociological Review,CHINESE SOCIOL REV,2162-0555,3.667,1.021
CHIRALITY,CHIRALITY,0899-0042,2.183,0.357
Chiropractic & Manual Therapies,CHIROPR MAN THER,2045-709X,1.868,0.476
CHIRURG,CHIRURG,0009-4722,0.92,0.156
CHROMATOGRAPHIA,CHROMATOGRAPHIA,0009-5893,2.213,0.262
CHROMOSOMA,CHROMOSOMA,0009-5915,2.919,1.42
CHROMOSOME RESEARCH,CHROMOSOME RES,0967-3849,4.62,1.284
Chronic Illness,CHRONIC ILLN,1742-3953,1.639,0.573
Chronic Obstructive Pulmonary Diseases-Journal of the COPD Foundation,COPD-J COPD FDN,2372-952X,3.903,0.789
Chronic Respiratory Disease,CHRON RESP DIS,1479-9723,3.115,0.946
CHRONOBIOLOGY INTERNATIONAL,CHRONOBIOL INT,0742-0528,3.749,0.84
Chungara-Revista de Antropologia Chilena,CHUNGARA,0717-7356,0.897,0.483
Ciencia & Saude Coletiva,CIENC SAUDE COLETIVA,1413-8123,1.917,0.469
CIENCIA E AGROTECNOLOGIA,CIENC AGROTEC,1413-7054,1.39,0.36
Ciencia e Investigacion Agraria,CIENC INVESTIG AGRAR,0718-1620,1,0.167
Ciencia e Tecnica Vitivinicola,CIENC TEC VITIVINIC,2416-3953,1.25,0.203
CIENCIA FLORESTAL,CIENC FLOREST,0103-9954,0.63,0.182
CIENCIA RURAL,CIENC RURAL,0103-8478,0.901,0.197
CIENCIAS MARINAS,CIENC MAR,0185-3880,0.605,0.231
CIN-COMPUTERS INFORMATICS NURSING,CIN-COMPUT INFORM NU,1538-2931,2.146,0.504
CIRCUIT WORLD,CIRCUIT WORLD,0305-6120,1.027,0.118
CIRCUITS SYSTEMS AND SIGNAL PROCESSING,CIRC SYST SIGNAL PR,0278-081X,2.311,0.313
CIRCULATION,CIRCULATION,0009-7322,39.918,12.771
CIRCULATION JOURNAL,CIRC J,1346-9843,3.35,0.835
CIRCULATION RESEARCH,CIRC RES,0009-7330,23.213,6.852
Circulation-Arrhythmia and Electrophysiology,CIRC-ARRHYTHMIA ELEC,1941-3149,7.718,2.536
Circulation-Cardiovascular Imaging,CIRC-CARDIOVASC IMAG,1941-9651,8.589,3.672
Circulation-Cardiovascular Interventions,CIRC-CARDIOVASC INTE,1941-7640,7.514,3.212
Circulation-Cardiovascular Quality and Outcomes,CIRC-CARDIOVASC QUAL,1941-7705,8.271,3.626
Circulation-Genomic and Precision Medicine,CIRC-GENOM PRECIS ME,2574-8300,7.465,3.266
Circulation-Heart Failure,CIRC-HEART FAIL,1941-3289,10.447,4.097
Circulo de Linguistica Aplicada a la Comunicacion,CIRC LINGUIST APL CO,1576-4737,0.436,0.23
CIRP ANNALS-MANUFACTURING TECHNOLOGY,CIRP ANN-MANUF TECHN,0007-8506,4.482,0.984
CIRP Journal of Manufacturing Science and Technology,CIRP J MANUF SCI TEC,1755-5817,3.56,0.641
CIRUGIA ESPANOLA,CIR ESPAN,0009-739X,2.242,0.377
Cirugia y Cirujanos,CIR CIR,0009-7411,0.416,0.093
CITIES,CITIES,0264-2751,6.077,1.247
Citizenship Studies,CITIZENSHIP STUD,1362-1025,1.797,1.11
City & Community,CITY COMMUNITY,1535-6841,2.252,1.079
CIVIL ENGINEERING,CIVIL ENG,0885-7024,0.867,0.109
CIVIL ENGINEERING AND ENVIRONMENTAL SYSTEMS,CIV ENG ENVIRON SYST,1028-6608,2.913,0.272
Civil Szemle,CIV SZLE,1786-3341,0.243,0.011
CLADISTICS,CLADISTICS,0748-3007,4.714,2.145
CLASSICAL AND QUANTUM GRAVITY,CLASSICAL QUANT GRAV,0264-9381,3.853,1.165
CLAY MINERALS,CLAY MINER,0009-8558,1.734,0.391
CLAYS AND CLAY MINERALS,CLAY CLAY MINER,0009-8604,2.207,0.486
Clean Technologies and Environmental Policy,CLEAN TECHNOL ENVIR,1618-954X,4.7,0.483
CLEAN-Soil Air Water,CLEAN-SOIL AIR WATER,1863-0650,2.404,0.276
CLEFT PALATE-CRANIOFACIAL JOURNAL,CLEFT PALATE-CRAN J,1055-6656,1.915,0.393
CLEVELAND CLINIC JOURNAL OF MEDICINE,CLEV CLIN J MED,0891-1150,6.522,0.917
CLIMACTERIC,CLIMACTERIC,1369-7137,3.024,0.785
Climate and Development,CLIM DEV,1756-5529,4.653,1.059
Climate Change Economics,CLIM CHANG ECON,2010-0078,1.341,0.663
CLIMATE DYNAMICS,CLIM DYNAM,0930-7575,4.901,1.405
Climate of the Past,CLIM PAST,1814-9324,4.498,1.775
CLIMATE POLICY,CLIM POLICY,1469-3062,6.056,1.641
CLIMATE RESEARCH,CLIM RES,0936-577X,1.459,0.524
Climate Risk Management,CLIM RISK MANAG,2212-0963,5.266,1.561
Climate Services,CLIM SERV,2405-8807,4.381,N/A
CLIMATIC CHANGE,CLIMATIC CHANGE,0165-0009,5.174,1.67
CLINICA CHIMICA ACTA,CLIN CHIM ACTA,0009-8981,6.314,0.882
Clinica y Salud,CLIN SALUD,1130-5274,2.972,0.431
CLINICAL & EXPERIMENTAL METASTASIS,CLIN EXP METASTAS,0262-0898,4.51,0.841
Clinical & Translational Immunology,CLIN TRANSL IMMUNOL,2050-0068,6.515,1.7
Clinical & Translational Oncology,CLIN TRANSL ONCOL,1699-048X,3.34,0.599
CLINICAL ANATOMY,CLIN ANAT,0897-3806,2.409,0.557
CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS,CLIN APPL THROMB-HEM,1076-0296,3.512,0.694
CLINICAL AND EXPERIMENTAL ALLERGY,CLIN EXP ALLERGY,0954-7894,5.401,1.274
CLINICAL AND EXPERIMENTAL DERMATOLOGY,CLIN EXP DERMATOL,0307-6938,4.481,0.715
CLINICAL AND EXPERIMENTAL HYPERTENSION,CLIN EXP HYPERTENS,1064-1963,2.088,0.435
CLINICAL AND EXPERIMENTAL IMMUNOLOGY,CLIN EXP IMMUNOL,0009-9104,5.732,1.202
CLINICAL AND EXPERIMENTAL MEDICINE,CLIN EXP MED,1591-8890,5.057,0.746
Clinical and Experimental Nephrology,CLIN EXP NEPHROL,1342-1751,2.617,0.572
Clinical and Experimental Obstetrics & Gynecology,CLIN EXP OBSTET GYN,0390-6663,0.192,0.059
CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY,CLIN EXP OPHTHALMOL,1442-6404,4.383,1.172
Clinical and Experimental Optometry,CLIN EXP OPTOM,0816-4622,3.143,0.727
Clinical and Experimental Otorhinolaryngology,CLIN EXP OTORHINOLAR,1976-8710,3.34,0.595
CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY,CLIN EXP PHARMACOL P,0305-1870,2.963,0.478
CLINICAL AND EXPERIMENTAL RHEUMATOLOGY,CLIN EXP RHEUMATOL,0392-856X,4.862,0.841
Clinical and Investigative Medicine,CLIN INVEST MED,0147-958X,1.279,0.282
Clinical and Molecular Hepatology,CLIN MOL HEPATOL,2287-2728,8.337,1.258
Clinical and Translational Allergy,CLIN TRANSL ALLERGY,2045-7022,5.657,1.212
Clinical and Translational Gastroenterology,CLIN TRANSL GASTROEN,2155-384X,4.396,1.541
Clinical and Translational Imaging,CLIN TRANSL IMAGING,2281-5872,2.507,0.566
Clinical and Translational Medicine,CLIN TRANSL MED,2001-1326,8.554,1.568
CLINICAL AUTONOMIC RESEARCH,CLIN AUTON RES,0959-9851,5.625,1.02
CLINICAL BIOCHEMISTRY,CLIN BIOCHEM,0009-9120,3.625,0.769
CLINICAL BIOMECHANICS,CLIN BIOMECH,0268-0033,2.034,0.573
Clinical Breast Cancer,CLIN BREAST CANCER,1526-8209,3.078,0.793
CLINICAL CANCER RESEARCH,CLIN CANCER RES,1078-0432,13.801,3.869
CLINICAL CARDIOLOGY,CLIN CARDIOL,0160-9289,3.287,0.964
Clinical Case Studies,CLIN CASE STUD,1534-6501,0.64,0.164
CLINICAL CHEMISTRY,CLIN CHEM,0009-9147,12.167,2.842
CLINICAL CHEMISTRY AND LABORATORY MEDICINE,CLIN CHEM LAB MED,1434-6621,8.49,1.205
CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,CLIN CHILD FAM PSYCH,1096-4037,7.41,2.495
Clinical Child Psychology and Psychiatry,CLIN CHILD PSYCHOL P,1359-1045,2.087,0.631
Clinical Colorectal Cancer,CLIN COLORECTAL CANC,1533-0028,4.035,1.06
Clinical Cosmetic and Investigational Dermatology,CLIN COSMET INV DERM,1178-7015,2.765,0.653
CLINICAL DRUG INVESTIGATION,CLIN DRUG INVEST,1173-2563,3.58,0.763
CLINICAL DYSMORPHOLOGY,CLIN DYSMORPHOL,0962-8827,0.884,0.208
CLINICAL EEG AND NEUROSCIENCE,CLIN EEG NEUROSCI,1550-0594,2.046,0.473
CLINICAL ENDOCRINOLOGY,CLIN ENDOCRINOL,0300-0664,3.523,1.044
Clinical Epidemiology,CLIN EPIDEMIOL,1179-1349,5.814,1.908
Clinical Epigenetics,CLIN EPIGENETICS,1868-7075,7.259,1.558
Clinical Gastroenterology and Hepatology,CLIN GASTROENTEROL H,1542-3565,13.576,4.354
CLINICAL GENETICS,CLIN GENET,0009-9163,4.296,1.249
Clinical Genitourinary Cancer,CLIN GENITOURIN CANC,1558-7673,3.121,0.725
Clinical Gerontologist,CLIN GERONTOLOGIST,0731-7115,2.871,0.714
CLINICAL HEMORHEOLOGY AND MICROCIRCULATION,CLIN HEMORHEOL MICRO,1386-0291,2.411,0.314
CLINICAL IMAGING,CLIN IMAG,0899-7071,2.42,0.432
CLINICAL IMMUNOLOGY,CLIN IMMUNOL,1521-6616,10.19,1.521
Clinical Implant Dentistry and Related Research,CLIN IMPLANT DENT R,1523-0899,4.259,0.948
CLINICAL INFECTIOUS DISEASES,CLIN INFECT DIS,1058-4838,20.999,5.381
Clinical Interventions in Aging,CLIN INTERV AGING,1178-1998,3.829,1.041
Clinical Journal of Oncology Nursing,CLIN J ONCOL NURS,1092-1095,1.283,0.388
CLINICAL JOURNAL OF PAIN,CLIN J PAIN,0749-8047,3.423,1.139
CLINICAL JOURNAL OF SPORT MEDICINE,CLIN J SPORT MED,1050-642X,3.454,1.058
Clinical Journal of the American Society of Nephrology,CLIN J AM SOC NEPHRO,1555-9041,10.614,3.123
Clinical Kidney Journal,CLIN KIDNEY J,2048-8505,5.86,1.298
Clinical Laboratory,CLIN LAB,1433-6510,1.053,0.191
CLINICAL LINGUISTICS & PHONETICS,CLIN LINGUIST PHONET,0269-9206,1.339,0.407
Clinical Lung Cancer,CLIN LUNG CANCER,1525-7304,4.84,1.071
Clinical Lymphoma Myeloma & Leukemia,CL LYMPH MYELOM LEUK,2152-2650,2.822,0.827
Clinical Mass Spectrometry,CLIN MASS SPECTROM,2376-9998,2,0.445
CLINICAL MEDICINE,CLIN MED,1470-2118,5.41,1.312
Clinical Medicine Insights-Oncology,CLIN MED INSIGHTS-ON,1179-5549,1.795,0.681
CLINICAL MICROBIOLOGY AND INFECTION,CLIN MICROBIOL INFEC,1198-743X,13.31,2.951
CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,0893-8512,50.129,10.808
CLINICAL NEPHROLOGY,CLIN NEPHROL,0301-0430,1.243,0.314
CLINICAL NEUROLOGY AND NEUROSURGERY,CLIN NEUROL NEUROSUR,0303-8467,1.885,0.527
CLINICAL NEUROPATHOLOGY,CLIN NEUROPATHOL,0722-5091,1.136,0.331
CLINICAL NEUROPHARMACOLOGY,CLIN NEUROPHARMACOL,0362-5664,1.379,0.301
CLINICAL NEUROPHYSIOLOGY,CLIN NEUROPHYSIOL,1388-2457,4.861,1.169
CLINICAL NEUROPSYCHOLOGIST,CLIN NEUROPSYCHOL,1385-4046,4.373,0.98
Clinical Neuroradiology,CLIN NEURORADIOL,1869-1439,3.156,0.879
CLINICAL NUCLEAR MEDICINE,CLIN NUCL MED,0363-9762,10.782,1.466
Clinical Nurse Specialist,CLIN NURSE SPEC,0887-6274,1.143,0.284
Clinical Nursing Research,CLIN NURS RES,1054-7738,1.724,0.458
CLINICAL NUTRITION,CLIN NUTR,0261-5614,7.643,1.64
CLINICAL OBSTETRICS AND GYNECOLOGY,CLIN OBSTET GYNECOL,0009-9201,1.966,0.997
CLINICAL ONCOLOGY,CLIN ONCOL-UK,0936-6555,4.925,1.153
CLINICAL ORAL IMPLANTS RESEARCH,CLIN ORAL IMPLAN RES,0905-7161,5.021,1.173
Clinical Oral Investigations,CLIN ORAL INVEST,1432-6981,3.606,0.734
CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,CLIN ORTHOP RELAT R,0009-921X,4.755,1.775
CLINICAL OTOLARYNGOLOGY,CLIN OTOLARYNGOL,1749-4478,2.729,0.814
CLINICAL PEDIATRICS,CLIN PEDIATR,0009-9228,1.701,0.529
CLINICAL PHARMACOKINETICS,CLIN PHARMACOKINET,0312-5963,5.577,1.42
CLINICAL PHARMACOLOGY & THERAPEUTICS,CLIN PHARMACOL THER,0009-9236,6.903,1.869
Clinical Pharmacology in Drug Development,CLIN PHARM DRUG DEV,2160-7648,2.151,0.556
CLINICAL PHYSIOLOGY AND FUNCTIONAL IMAGING,CLIN PHYSIOL FUNCT I,1475-0961,2.121,0.533
Clinical Proteomics,CLIN PROTEOM,1542-6416,5,0.909
Clinical Psychological Science,CLIN PSYCHOL SCI,2167-7026,7.216,2.472
Clinical Psychologist,CLIN PSYCHOL-UK,1328-4207,2.133,0.666
CLINICAL PSYCHOLOGY & PSYCHOTHERAPY,CLIN PSYCHOL PSYCHOT,1063-3995,3.198,0.948
CLINICAL PSYCHOLOGY REVIEW,CLIN PSYCHOL REV,0272-7358,11.397,5.141
